     -3148.6012,	       9656.9640,	      -1382.5721 ; 		 //plane 0 point @1 
     -2628.6706,	       9659.4292,	      -1383.0635 ; 		 //plane 0 point @2 
      2384.4407,	      -4457.1482,	      -1455.3214 ; 		 //plane 0 point @3 
     -2971.4511,	      -4513.4629,	      -1450.4065 ; 		 //plane 0 point @4 
     -3148.6012,	       9656.9640,	      -1382.5721 ; 		 //plane 0 point @5 
       892.9074,	       6334.6677,	       7954.9267 ; 		 //plane 1 point @6 
     -3106.8250,	       6315.2423,	       7959.9953 ; 		 //plane 1 point @7 
     -2971.4511,	      -4513.4629,	       7846.0517 ; 		 //plane 1 point @8 
      2404.8998,	      -4456.9331,	       7839.5582 ; 		 //plane 1 point @9 
      2346.8052,	       -400.7764,	       7882.2483 ; 		 //plane 1 point @10 
      1863.3808,	       3541.2576,	       7924.3001 ; 		 //plane 1 point @11 
       892.9074,	       6334.6677,	       7954.9267 ; 		 //plane 1 point @12 
     -2628.6706,	       9659.4292,	      -1383.0635 ; 		 //plane 2 point @13 
     -3148.6012,	       9656.9640,	      -1382.5721 ; 		 //plane 2 point @14 
     -3106.8250,	       6315.2423,	       7959.9953 ; 		 //plane 2 point @15 
       892.9074,	       6334.6677,	       7954.9267 ; 		 //plane 2 point @16 
      1434.4288,	       6875.4633,	       6449.7549 ; 		 //plane 2 point @17 
      1268.2303,	       7338.2618,	       5153.9185 ; 		 //plane 2 point @18 
      -796.4583,	       9090.0075,	        231.3554 ; 		 //plane 2 point @19 
     -2628.6706,	       9659.4292,	      -1383.0635 ; 		 //plane 2 point @20 
     -3148.6012,	       9656.9640,	      -1382.5721 ; 		 //plane 3 point @21 
     -2971.4511,	      -4513.4629,	      -1450.4065 ; 		 //plane 3 point @22 
     -2971.4511,	      -4513.4629,	       7846.0517 ; 		 //plane 3 point @23 
     -3106.8250,	       6315.2423,	       7959.9953 ; 		 //plane 3 point @24 
     -3148.6012,	       9656.9640,	      -1382.5721 ; 		 //plane 3 point @25 
      2384.4407,	      -4457.1482,	      -1455.3214 ; 		 //plane 4 point @26 
