      2984.0197,	       9605.2947,	      -1346.2744 ; 		 //plane 0 point @1 
      2391.1900,	       9610.8292,	      -1346.3062 ; 		 //plane 0 point @2 
     -2456.4077,	      -4496.9149,	      -1395.5926 ; 		 //plane 0 point @3 
      2898.1320,	      -4500.8063,	      -1395.1452 ; 		 //plane 0 point @4 
      2984.0197,	       9605.2947,	      -1346.2744 ; 		 //plane 0 point @5 
     -1028.2339,	       6373.0195,	       8006.0399 ; 		 //plane 1 point @6 
      2964.1437,	       6340.8686,	       7991.6072 ; 		 //plane 1 point @7 
      2898.1320,	      -4500.8063,	       7897.7967 ; 		 //plane 1 point @8 
     -2452.3884,	      -4496.9178,	       7916.7992 ; 		 //plane 1 point @9 
     -2418.9819,	       -613.6739,	       7950.3654 ; 		 //plane 1 point @10 
     -1966.1291,	       3675.3068,	       7985.9641 ; 		 //plane 1 point @11 
     -1028.2339,	       6373.0195,	       8006.0399 ; 		 //plane 1 point @12 
      2391.1900,	       9610.8292,	      -1346.3062 ; 		 //plane 2 point @13 
      2984.0197,	       9605.2947,	      -1346.2744 ; 		 //plane 2 point @14 
      2964.1437,	       6340.8686,	       7991.6072 ; 		 //plane 2 point @15 
     -1028.2339,	       6373.0195,	       8006.0399 ; 		 //plane 2 point @16 
     -1584.0208,	       6878.3529,	       6575.4289 ; 		 //plane 2 point @17 
     -1373.0787,	       7433.2110,	       4982.7273 ; 		 //plane 2 point @18 
       446.9445,	       9016.8096,	        404.6020 ; 		 //plane 2 point @19 
      2391.1900,	       9610.8292,	      -1346.3062 ; 		 //plane 2 point @20 
      2984.0197,	       9605.2947,	      -1346.2744 ; 		 //plane 3 point @21 
      2898.1320,	      -4500.8063,	      -1395.1452 ; 		 //plane 3 point @22 
      2898.1320,	      -4500.8063,	       7897.7967 ; 		 //plane 3 point @23 
      2964.1437,	       6340.8686,	       7991.6072 ; 		 //plane 3 point @24 
      2984.0197,	       9605.2947,	      -1346.2744 ; 		 //plane 3 point @25 
     -2456.4077,	      -4496.9149,	      -1395.5926 ; 		 //plane 4 point @26 
      2898.1320,	      -4500.8063,	      -1395.1452 ; 		 //plane 4 point @27 
      2898.1320,	      -4500.8063,	       7897.7967 ; 		 //plane 4 point @28 
     -2452.3884,	      -4496.9178,	       7916.7992 ; 		 //plane 4 point @29 
     -3236.9907,	      -4496.3476,	       6314.8829 ; 		 //plane 4 point @30 
     -3244.7574,	      -4496.3420,	        416.9349 ; 		 //plane 4 point @31 
     -2972.4442,	      -4496.5399,	       -875.6142 ; 		 //plane 4 point @32 
     -2456.4077,	      -4496.9149,	      -1395.5926 ; 		 //plane 4 point @33 
      2391.1900,	       9610.8292,	      -1346.3062 ; 		 //plane 5 point @34 
     -2456.4077,	      -4496.9149,	      -1395.5926 ; 		 //plane 5 point @35 
     -2972.4442,	      -4496.5399,	       -875.6142 ; 		 //plane 5 point @36 
     -2149.0131,	       3684.0400,	       1155.1614 ; 		 //plane 5 point @37 
       446.9445,	       9016.8096,	        404.6020 ; 		 //plane 5 point @38 
      2391.1900,	       9610.8292,	      -1346.3062 ; 		 //plane 5 point @39 
     -2149.0131,	       3684.0400,	       1155.1614 ; 		 //plane 6 point @40 
     -2656.7325,	       3945.6944,	       3754.7624 ; 		 //plane 6 point @41 
     -1373.0787,	       7433.2110,	       4982.7273 ; 		 //plane 6 point @42 
       446.9445,	       9016.8096,	        404.6020 ; 		 //plane 6 point @43 
     -2149.0131,	       3684.0400,	       1155.1614 ; 		 //plane 6 point @44 
     -3202.0788,	       -715.6952,	       2958.9919 ; 		 //plane 7 point @45 
     -2705.5772,	       3970.8666,	       4004.8546 ; 		 //plane 7 point @46 
     -2149.0131,	       3684.0400,	       1155.1614 ; 		 //plane 7 point @47 
     -2972.4442,	      -4496.5399,	       -875.6142 ; 		 //plane 7 point @48 
     -3244.7574,	      -4496.3420,	        416.9349 ; 		 //plane 7 point @49 
     -3202.0788,	       -715.6952,	       2958.9919 ; 		 //plane 7 point @50 
     -1373.0787,	       7433.2110,	       4982.7273 ; 		 //plane 8 point @51 
     -2725.7582,	       3758.1607,	       3688.7312 ; 		 //plane 8 point @52 
     -2755.2993,	       3705.9337,	       6417.7996 ; 		 //plane 8 point @53 
     -1584.0208,	       6878.3529,	       6575.4289 ; 		 //plane 8 point @54 
     -1373.0787,	       7433.2110,	       4982.7273 ; 		 //plane 8 point @55 
     -3202.0788,	       -715.6952,	       2958.9919 ; 		 //plane 9 point @56 
     -2728.6540,	       3753.0412,	       3956.2442 ; 		 //plane 9 point @57 
     -2755.3881,	       3705.7766,	       6426.0087 ; 		 //plane 9 point @58 
     -3193.9082,	       -362.6662,	       6374.6143 ; 		 //plane 9 point @59 
     -3202.0788,	       -715.6952,	       2958.9919 ; 		 //plane 9 point @60 
     -3202.0788,	       -715.6952,	       2958.9919 ; 		 //plane 10 point @61 
     -3193.9290,	       -363.5632,	       6365.9360 ; 		 //plane 10 point @62 
     -3236.9907,	      -4496.3476,	       6314.8829 ; 		 //plane 10 point @63 
     -3244.7574,	      -4496.3420,	        416.9349 ; 		 //plane 10 point @64 
     -3202.0788,	       -715.6952,	       2958.9919 ; 		 //plane 10 point @65 
     -1584.0208,	       6878.3529,	       6575.4289 ; 		 //plane 11 point @66 
     -2761.7559,	       3688.4457,	       6416.9307 ; 		 //plane 11 point @67 
     -1966.1291,	       3675.3068,	       7985.9641 ; 		 //plane 11 point @68 
     -1028.2339,	       6373.0195,	       8006.0399 ; 		 //plane 11 point @69 
     -1584.0208,	       6878.3529,	       6575.4289 ; 		 //plane 11 point @70 
     -2757.2642,	       3688.3716,	       6425.7888 ; 		 //plane 12 point @71 
     -3189.2149,	       -319.1229,	       6375.1644 ; 		 //plane 12 point @72 
     -2418.9819,	       -613.6739,	       7950.3654 ; 		 //plane 12 point @73 
     -1966.1291,	       3675.3068,	       7985.9641 ; 		 //plane 12 point @74 
     -2757.2642,	       3688.3716,	       6425.7888 ; 		 //plane 12 point @75 
     -2418.9819,	       -613.6739,	       7950.3654 ; 		 //plane 13 point @76 
     -3193.4491,	       -317.5037,	       6366.5050 ; 		 //plane 13 point @77 
     -3236.9907,	      -4496.3476,	       6314.8829 ; 		 //plane 13 point @78 
     -2452.3884,	      -4496.9178,	       7916.7992 ; 		 //plane 13 point @79 
     -2418.9819,	       -613.6739,	       7950.3654 ; 		 //plane 13 point @80 
