   2984.0197000000,	    9605.2947000000,	   -1346.2744000000 ; 		 //plane 0 point @1 
   2391.1900000000,	    9610.8292000000,	   -1346.3062000000 ; 		 //plane 0 point @2 
  -2456.4077000000,	   -4496.9149000000,	   -1395.5926000000 ; 		 //plane 0 point @3 
   2898.1320000000,	   -4500.8063000000,	   -1395.1452000000 ; 		 //plane 0 point @4 
   2984.0197000000,	    9605.2947000000,	   -1346.2744000000 ; 		 //plane 0 point @5 
  -1028.2339000000,	    6373.0195000000,	    8006.0399000000 ; 		 //plane 1 point @6 
   2964.1437000000,	    6340.8686000000,	    7991.6072000000 ; 		 //plane 1 point @7 
   2898.1320000000,	   -4500.8063000000,	    7897.7967000000 ; 		 //plane 1 point @8 
  -2452.3884000000,	   -4496.9178000000,	    7916.7992000000 ; 		 //plane 1 point @9 
  -2418.9819000000,	    -613.6739000000,	    7950.3654000000 ; 		 //plane 1 point @10 
  -1966.1291000000,	    3675.3068000000,	    7985.9641000000 ; 		 //plane 1 point @11 
  -1028.2339000000,	    6373.0195000000,	    8006.0399000000 ; 		 //plane 1 point @12 
   2391.1900000000,	    9610.8292000000,	   -1346.3062000000 ; 		 //plane 2 point @13 
   2984.0197000000,	    9605.2947000000,	   -1346.2744000000 ; 		 //plane 2 point @14 
   2964.1437000000,	    6340.8686000000,	    7991.6072000000 ; 		 //plane 2 point @15 
  -1028.2339000000,	    6373.0195000000,	    8006.0399000000 ; 		 //plane 2 point @16 
  -1584.0208000000,	    6878.3529000000,	    6575.4289000000 ; 		 //plane 2 point @17 
  -1373.0787000000,	    7433.2110000000,	    4982.7273000000 ; 		 //plane 2 point @18 
    446.9445000000,	    9016.8096000000,	     404.6020000000 ; 		 //plane 2 point @19 
   2391.1900000000,	    9610.8292000000,	   -1346.3062000000 ; 		 //plane 2 point @20 
   2984.0197000000,	    9605.2947000000,	   -1346.2744000000 ; 		 //plane 3 point @21 
   2898.1320000000,	   -4500.8063000000,	   -1395.1452000000 ; 		 //plane 3 point @22 
   2898.1320000000,	   -4500.8063000000,	    7897.7967000000 ; 		 //plane 3 point @23 
   2964.1437000000,	    6340.8686000000,	    7991.6072000000 ; 		 //plane 3 point @24 
   2984.0197000000,	    9605.2947000000,	   -1346.2744000000 ; 		 //plane 3 point @25 
  -2456.4077000000,	   -4496.9149000000,	   -1395.5926000000 ; 		 //plane 4 point @26 
   2898.1320000000,	   -4500.8063000000,	   -1395.1452000000 ; 		 //plane 4 point @27 
   2898.1320000000,	   -4500.8063000000,	    7897.7967000000 ; 		 //plane 4 point @28 
  -2452.3884000000,	   -4496.9178000000,	    7916.7992000000 ; 		 //plane 4 point @29 
  -3236.9907000000,	   -4496.3476000000,	    6314.8829000000 ; 		 //plane 4 point @30 
  -3244.7574000000,	   -4496.3420000000,	     416.9349000000 ; 		 //plane 4 point @31 
  -2972.4442000000,	   -4496.5399000000,	    -875.6142000000 ; 		 //plane 4 point @32 
  -2456.4077000000,	   -4496.9149000000,	   -1395.5926000000 ; 		 //plane 4 point @33 
   2391.1900000000,	    9610.8292000000,	   -1346.3062000000 ; 		 //plane 5 point @34 
  -2456.4077000000,	   -4496.9149000000,	   -1395.5926000000 ; 		 //plane 5 point @35 
  -2972.4442000000,	   -4496.5399000000,	    -875.6142000000 ; 		 //plane 5 point @36 
  -2149.0131000000,	    3684.0400000000,	    1155.1614000000 ; 		 //plane 5 point @37 
    446.9445000000,	    9016.8096000000,	     404.6020000000 ; 		 //plane 5 point @38 
