Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
 7777            ,    0 00 03 ,   88 19 34,          0,      0.000,      1.400,            0,            0,          0
2   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.14860,	   9.65696,	  -1.38257
3   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.62867,	   9.65943,	  -1.38306
4   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.38444,	  -4.45715,	  -1.45532
5   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.97145,	  -4.51346,	  -1.45041
6   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.14860,	   9.65696,	  -1.38257
7   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.89291,	   6.33467,	   7.95493
8   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.10682,	   6.31524,	   7.96000
9   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.97145,	  -4.51346,	   7.84605
10   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.40490,	  -4.45693,	   7.83956
11   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.34681,	  -0.40078,	   7.88225
12   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.86338,	   3.54126,	   7.92430
13   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.89291,	   6.33467,	   7.95493
14   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.62867,	   9.65943,	  -1.38306
15   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.14860,	   9.65696,	  -1.38257
16   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.10682,	   6.31524,	   7.96000
17   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.89291,	   6.33467,	   7.95493
18   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.43443,	   6.87546,	   6.44975
