   Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
ADG             ,    0 00 01 ,   89 33 56,          0,      0.000,      0.000,            0,            0,          0
2               ,  294 03 58 ,   89 31 05,      2.916,      0.000,      0.000,       -2.662,        1.189,      0.025
3               ,  321 39 21 ,  144 17 43,      1.742,      0.000,      0.000,       -0.631,        0.797,     -1.415
4               ,  320 34 59 ,  144 17 43,      1.743,      0.000,      0.000,       -0.646,        0.786,     -1.416
5               ,  324 20 44 ,  143 43 26,      1.753,      0.000,      0.000,       -0.605,        0.843,     -1.413
6               ,  330 06 06 ,    6 28 27,      7.947,      0.000,      0.000,       -0.447,        0.777,      7.896
7               ,  341 30 28 ,    6 28 26,      7.946,      0.000,      0.000,       -0.284,        0.850,      7.895
8               ,  338 11 52 ,    5 58 31,      7.938,      0.000,      0.000,       -0.307,        0.767,      7.895
9               ,  336 56 03 ,   98 26 43,      7.267,      0.000,      0.000,       -2.816,        6.613,     -1.067
10              ,  336 56 24 ,   92 12 34,      7.199,      0.000,      0.000,       -2.818,        6.619,     -0.278
11              ,  336 56 29 ,   86 04 54,      7.206,      0.000,      0.000,       -2.816,        6.614,      0.492
12              ,  336 56 28 ,   80 31 30,      7.294,      0.000,      0.000,       -2.818,        6.620,      1.201
13              ,  336 56 19 ,   74 03 09,      7.472,      0.000,      0.000,       -2.814,        6.610,      2.053
14              ,  336 56 23 ,   69 15 10,      7.678,      0.000,      0.000,       -2.812,        6.606,      2.720
15              ,  336 56 26 ,   63 24 38,      8.022,      0.000,      0.000,       -2.810,        6.600,      3.590
16              ,  336 56 20 ,   58 07 35,      8.440,      0.000,      0.000,       -2.808,        6.595,      4.457
17              ,  336 56 27 ,   55 00 41,      8.735,      0.000,      0.000,       -2.803,        6.585,      5.009
18              ,  336 56 25 ,   51 04 28,      9.205,      0.000,      0.000,       -2.805,        6.589,      5.783
