Point ID     ,  Hz.(� ' "),  V.(� ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
2MDGA           ,    0 00 03 ,   89 57 26,          0,      0.000,      0.000,            0,            0,          0
2               ,  275 48 04 ,   88 46 00,      2.801,      0.000,      0.000,       -2.786,        0.283,      0.060
3               ,    9 45 36 ,  145 41 18,      1.716,      0.000,      0.000,        0.164,        0.953,     -1.417
4               ,   14 22 45 ,  145 41 17,      1.715,      0.000,      0.000,        0.240,        0.936,     -1.417
5               ,   12 07 37 ,  146 53 21,      1.693,      0.000,      0.000,        0.194,        0.904,     -1.418
6               ,   10 32 11 ,    7 57 03,      7.957,      0.000,      0.000,        0.201,        1.082,      7.881
7               ,   10 32 09 ,    7 10 51,      7.943,      0.000,      0.000,        0.182,        0.976,      7.881
8               ,   18 01 41 ,    7 10 51,      7.941,      0.000,      0.000,        0.307,        0.944,      7.879
9               ,  345 49 47 ,  103 50 02,      5.748,      0.000,      0.000,       -1.366,        5.412,     -1.374
10              ,  340 03 07 ,  100 49 37,      5.852,      0.000,      0.000,       -1.961,        5.403,     -1.099
11              ,  345 35 46 ,   91 40 45,      5.594,      0.000,      0.000,       -1.391,        5.416,     -0.164
12              ,  340 30 15 ,   82 14 39,      5.800,      0.000,      0.000,       -1.918,        5.418,      0.783
13              ,  345 19 23 ,   73 07 56,      5.863,      0.000,      0.000,       -1.421,        5.427,      1.701
14              ,  340 28 20 ,   65 49 27,      6.316,      0.000,      0.000,       -1.926,        5.430,      2.586
15              ,  345 26 39 ,   57 53 21,      6.629,      0.000,      0.000,       -1.411,        5.435,      3.524
16              ,  340 36 29 ,   51 50 05,      7.342,      0.000,      0.000,       -1.917,        5.445,      4.537
17              ,  345 06 20 ,   45 55 11,      7.848,      0.000,      0.000,       -1.449,        5.448,      5.459
18              ,  340 53 47 ,   42 06 17,      8.623,      0.000,      0.000,       -1.892,        5.463,      6.398
19              ,  345 16 05 ,   37 28 40,      9.287,      0.000,      0.000,       -1.437,        5.465,      7.370
20              ,  341 21 29 ,   36 44 06,      9.657,      0.000,      0.000,       -1.846,        5.473,      7.739
21              ,  356 47 29 ,   35 29 44,      9.450,      0.000,      0.000,       -0.307,        5.478,      7.694
22              ,    1 34 49 ,   38 59 09,      8.702,      0.000,      0.000,        0.151,        5.473,      6.764
23              ,  356 57 17 ,   42 19 20,      8.129,      0.000,      0.000,       -0.291,        5.466,      6.011
24              ,    1 27 46 ,   47 28 05,      7.409,      0.000,      0.000,        0.139,        5.458,      5.008
25              ,  356 46 51 ,   52 06 10,      6.922,      0.000,      0.000,       -0.307,        5.453,      4.252
26              ,    1 41 07 ,   58 46 59,      6.368,      0.000,      0.000,        0.160,        5.444,      3.300
27              ,  356 50 18 ,   66 25 50,      5.944,      0.000,      0.000,       -0.300,        5.440,      2.377
28              ,    1 49 26 ,   74 41 38,      5.627,      0.000,      0.000,        0.173,        5.425,      1.485
29              ,  356 39 03 ,   83 15 37,      5.470,      0.000,      0.000,       -0.317,        5.423,      0.642
30              ,    1 32 33 ,   92 26 40,      5.418,      0.000,      0.000,        0.146,        5.411,     -0.231
31              ,  356 30 21 ,  103 32 09,      5.566,      0.000,      0.000,       -0.330,        5.402,     -1.303
32              ,    2 00 53 ,  104 00 12,      5.570,      0.000,      0.000,        0.190,        5.401,     -1.348
33              ,   14 01 36 ,  103 34 44,      5.727,      0.000,      0.000,        1.349,        5.401,     -1.345
34              ,   18 06 34 ,   93 43 26,      5.705,      0.000,      0.000,        1.770,        5.411,     -0.371
35              ,   13 48 47 ,   84 04 23,      5.608,      0.000,      0.000,        1.332,        5.417,      0.579
36              ,   18 14 51 ,   77 26 10,      5.855,      0.000,      0.000,        1.789,        5.427,      1.274
37              ,   13 41 47 ,   69 14 22,      5.973,      0.000,      0.000,        1.323,        5.427,      2.117
