   3389.3229000000,	    5780.2984000000,	   -1402.3706000000 ; 		 //plane 0 point @1 
  -1679.5784000000,	    5782.3350000000,	   -1404.2281000000 ; 		 //plane 0 point @2 
  -2579.3556000000,	    1520.2960000000,	   -1427.4009000000 ; 		 //plane 0 point @3 
  -2625.2526000000,	   -4948.7298000000,	   -1462.0865000000 ; 		 //plane 0 point @4 
   3332.3592000000,	   -4971.4448000000,	   -1460.0121000000 ; 		 //plane 0 point @5 
   3389.3229000000,	    5780.2984000000,	   -1402.3706000000 ; 		 //plane 0 point @6 
   3389.4449000000,	    5803.3347000000,	    7895.3319000000 ; 		 //plane 1 point @7 
  -1974.4493000000,	    5805.5184000000,	    7904.8765000000 ; 		 //plane 1 point @8 
  -2054.2136000000,	   -4950.9070000000,	    7860.7536000000 ; 		 //plane 1 point @9 
   3332.3592000000,	   -4971.4448000000,	    7851.0932000000 ; 		 //plane 1 point @10 
   3389.4449000000,	    5803.3347000000,	    7895.3319000000 ; 		 //plane 1 point @11 
  -1679.5784000000,	    5782.3350000000,	   -1404.2281000000 ; 		 //plane 2 point @12 
   3389.3229000000,	    5780.2984000000,	   -1402.3706000000 ; 		 //plane 2 point @13 
   3389.4449000000,	    5803.3347000000,	    7895.3319000000 ; 		 //plane 2 point @14 
  -1974.4493000000,	    5805.5184000000,	    7904.8765000000 ; 		 //plane 2 point @15 
  -2753.9845000000,	    5801.9298000000,	    6329.8075000000 ; 		 //plane 2 point @16 
  -2742.7440000000,	    5788.8384000000,	    1047.8389000000 ; 		 //plane 2 point @17 
  -2365.6290000000,	    5784.2819000000,	    -729.9208000000 ; 		 //plane 2 point @18 
  -1679.5784000000,	    5782.3350000000,	   -1404.2281000000 ; 		 //plane 2 point @19 
   3389.3229000000,	    5780.2984000000,	   -1402.3706000000 ; 		 //plane 3 point @20 
   3332.3592000000,	   -4971.4448000000,	   -1460.0121000000 ; 		 //plane 3 point @21 
   3332.3592000000,	   -4971.4448000000,	    7851.0932000000 ; 		 //plane 3 point @22 
   3389.4449000000,	    5803.3347000000,	    7895.3319000000 ; 		 //plane 3 point @23 
   3389.3229000000,	    5780.2984000000,	   -1402.3706000000 ; 		 //plane 3 point @24 
  -2625.2526000000,	   -4948.7298000000,	   -1462.0865000000 ; 		 //plane 4 point @25 
   3332.3592000000,	   -4971.4448000000,	   -1460.0121000000 ; 		 //plane 4 point @26 
   3332.3592000000,	   -4971.4448000000,	    7851.0932000000 ; 		 //plane 4 point @27 
  -2054.2136000000,	   -4950.9070000000,	    7860.7536000000 ; 		 //plane 4 point @28 
  -2843.3601000000,	   -4947.8982000000,	    6266.1926000000 ; 		 //plane 4 point @29 
  -2828.5116000000,	   -4947.9548000000,	    -644.4305000000 ; 		 //plane 4 point @30 
  -2625.2526000000,	   -4948.7298000000,	   -1462.0865000000 ; 		 //plane 4 point @31 
  -1679.5784000000,	    5782.3350000000,	   -1404.2281000000 ; 		 //plane 5 point @32 
  -2601.7530000000,	    1414.2044000000,	   -1427.9777000000 ; 		 //plane 5 point @33 
  -2365.6290000000,	    5784.2819000000,	    -729.9208000000 ; 		 //plane 5 point @34 
  -1679.5784000000,	    5782.3350000000,	   -1404.2281000000 ; 		 //plane 5 point @35 
  -2365.6290000000,	    5784.2819000000,	    -729.9208000000 ; 		 //plane 6 point @36 
  -2588.0434000000,	    1667.9353000000,	   -1387.4478000000 ; 		 //plane 6 point @37 
  -2776.2568000000,	    1328.1595000000,	    -641.8600000000 ; 		 //plane 6 point @38 
  -2742.7440000000,	    5788.8384000000,	    1047.8389000000 ; 		 //plane 6 point @39 
  -2365.6290000000,	    5784.2819000000,	    -729.9208000000 ; 		 //plane 6 point @40 
  -2776.2568000000,	    1328.1595000000,	    -641.8600000000 ; 		 //plane 7 point @41 
  -2578.1818000000,	    1685.7382000000,	   -1426.5138000000 ; 		 //plane 7 point @42 
  -2625.2526000000,	   -4948.7298000000,	   -1462.0865000000 ; 		 //plane 7 point @43 
  -2828.5116000000,	   -4947.9548000000,	    -644.4305000000 ; 		 //plane 7 point @44 
  -2776.2568000000,	    1328.1595000000,	    -641.8600000000 ; 		 //plane 7 point @45 
  -2753.9845000000,	    5801.9298000000,	    6329.8075000000 ; 		 //plane 8 point @46 
  -2742.7440000000,	    5788.8384000000,	    1047.8389000000 ; 		 //plane 8 point @47 
  -2776.2568000000,	    1328.1595000000,	    -641.8600000000 ; 		 //plane 8 point @48 
  -2828.5116000000,	   -4947.9548000000,	    -644.4305000000 ; 		 //plane 8 point @49 
  -2843.3601000000,	   -4947.8982000000,	    6266.1926000000 ; 		 //plane 8 point @50 
  -2753.9845000000,	    5801.9298000000,	    6329.8075000000 ; 		 //plane 8 point @51 
  -2753.9845000000,	    5801.9298000000,	    6329.8075000000 ; 		 //plane 9 point @52 
  -2843.3601000000,	   -4947.8982000000,	    6266.1926000000 ; 		 //plane 9 point @53 
  -2054.2136000000,	   -4950.9070000000,	    7860.7536000000 ; 		 //plane 9 point @54 
  -1974.4493000000,	    5805.5184000000,	    7904.8765000000 ; 		 //plane 9 point @55 
  -2753.9845000000,	    5801.9298000000,	    6329.8075000000 ; 		 //plane 9 point @56 
