The data.txt and guide.txt are CORRECT. 
All planes of the figure were successfully generated. 
The figure were rotated to anpha = beta = 0. 
All segments belong the Figure were identified SUCCESSFULLY. 
All segments belong the Figure were identified SUCCESSFULLY. 
Position      Area(m2)          Volume(m3)
   -45      -1462        0.002004             0.000001 
   -44      -1461        0.316213             0.000160 
   -43      -1460        1.166117             0.000901 
   -42      -1459        2.277457             0.002623 
   -41      -1458        3.388820             0.005456 
   -40      -1457        4.500206             0.009401 
   -39      -1456        5.611614             0.014457 
   -38      -1455        6.723044             0.020624 
   -37      -1454        7.834497             0.027903 
   -36      -1453        8.945973             0.036293 
   -35      -1452       10.057471             0.045795 
   -34      -1451       11.168992             0.056408 
   -33      -1450       12.280535             0.068133 
   -32      -1449       13.392101             0.080969 
   -31      -1448       14.503689             0.094917 
   -30      -1447       15.615300             0.109976 
   -29      -1446       16.726934             0.126148 
   -28      -1445       17.838590             0.143430 
   -27      -1444       18.950268             0.161825 
   -26      -1443       20.061969             0.181331 
   -25      -1442       21.173693             0.201949 
   -24      -1441       22.285439             0.223678 
   -23      -1440       23.397208             0.246520 
   -22      -1439       24.508999             0.270473 
   -21      -1438       25.620813             0.295538 
   -20      -1437       26.732649             0.321714 
   -19      -1436       27.844508             0.349003 
   -18      -1435       28.956389             0.377403 
   -17      -1434       30.068293             0.406916 
   -16      -1433       31.180219             0.437540 
   -15      -1432       32.292168             0.469276 
   -14      -1431       33.404140             0.502124 
   -13      -1430       34.516134             0.536084 
   -12      -1429       35.628151             0.571157 
   -11      -1428       36.740190             0.607341 
   -10      -1427       37.851933             0.644637 
    -9      -1426       38.958412             0.683042 
    -8      -1425       40.057923             0.722550 
    -7      -1424       41.150465             0.763154 
    -6      -1423       42.236040             0.804848 
    -5      -1422       43.314645             0.847623 
    -4      -1421       44.386283             0.891473 
    -3      -1420       45.450952             0.936392 
    -2      -1419       46.508653             0.982372 
    -1      -1418       47.559386             1.029406 
     0      -1417       48.603150             1.077487 
     1      -1416       49.639946             1.126609 
     2      -1415       50.669774             1.176763 
     3      -1414       51.692633             1.227945 
     4      -1413       52.708524             1.280145 
     5      -1412       53.717447             1.333358 
     6      -1411       54.719402             1.387577 
     7      -1410       55.714388             1.442794 
     8      -1409       56.702406             1.499002 
     9      -1408       57.683455             1.556195 
    10      -1407       58.657537             1.614365 
    11      -1406       59.624650             1.673506 
    12      -1405       60.584794             1.733611 
    13      -1404       61.524910             1.794666 
    14      -1403       62.105583             1.856481 
    15      -1402       62.212197             1.918640 
    16      -1401       62.217987             1.980855 
    17      -1400       62.223772             2.043076 
    18      -1399       62.229552             2.105303 
    19      -1398       62.235327             2.167535 
    20      -1397       62.241098             2.229773 
    21      -1396       62.246863             2.292017 
    22      -1395       62.252624             2.354267 
    23      -1394       62.258379             2.416523 
    24      -1393       62.264130             2.478784 
    25      -1392       62.269876             2.541051 
    26      -1391       62.275617             2.603324 
    27      -1390       62.281354             2.665602 
    28      -1389       62.287085             2.727886 
    29      -1388       62.292811             2.790176 
    30      -1387       62.298533             2.852472 
    31      -1386       62.304250             2.914773 
    32      -1385       62.309962             2.977081 
    33      -1384       62.315668             3.039393 
    34      -1383       62.321371             3.101712 
    35      -1382       62.327068             3.164036 
    36      -1381       62.332760             3.226366 
    37      -1380       62.338448             3.288702 
    38      -1379       62.344130             3.351043 
    39      -1378       62.349808             3.413390 
    40      -1377       62.355481             3.475742 
    41      -1376       62.361149             3.538101 
    42      -1375       62.366812             3.600465 
    43      -1374       62.372470             3.662834 
    44      -1373       62.378124             3.725210 
    45      -1372       62.383772             3.787591 
    46      -1371       62.389416             3.849977 
    47      -1370       62.395055             3.912370 
    48      -1369       62.400689             3.974767 
    49      -1368       62.406318             4.037171 
    50      -1367       62.411942             4.099580 
    51      -1366       62.417561             4.161995 
    52      -1365       62.423175             4.224415 
