Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
 7777            ,    0 00 03 ,   88 19 34,          0,      0.000,      1.400,            0,            0,          0
2   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.55854,	   5.85166,	  -1.39557
3   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.51679,	   5.76443,	  -1.38322
4   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.32602,	   1.28814,	  -1.40911
5   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.21136,	  -4.98574,	  -1.44857
6   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.72055,	  -4.89265,	  -1.46307
7   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.55854,	   5.85166,	  -1.39557
8   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.55821,	   5.87389,	   7.90413
9   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.81810,	   5.78147,	   7.91103
10   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.63543,	  -4.97670,	   7.85481
11   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.72055,	  -4.89265,	   7.84790
12   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.55821,	   5.87389,	   7.90413
13   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.51679,	   5.76443,	  -1.38322
14   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.55854,	   5.85166,	  -1.39557
15   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.55821,	   5.87389,	   7.90413
16   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.81810,	   5.78147,	   7.91103
17   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.56213,	   5.76502,	   6.37969
18   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.57126,	   5.75219,	   1.08192
19   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.17281,	   5.75472,	  -0.72496
