     -3558.5409,	       5851.6599,	      -1395.5746 ; 		 //plane 0 point @1 
      1516.7941,	       5764.4277,	      -1383.2194 ; 		 //plane 0 point @2 
      2326.0159,	       1288.1357,	      -1409.1112 ; 		 //plane 0 point @3 
      2211.3601,	      -4985.7429,	      -1448.5748 ; 		 //plane 0 point @4 
     -3720.5541,	      -4892.6509,	      -1463.0705 ; 		 //plane 0 point @5 
     -3558.5409,	       5851.6599,	      -1395.5746 ; 		 //plane 0 point @6 
     -3558.2057,	       5873.8908,	       7904.1336 ; 		 //plane 1 point @7 
      1818.1032,	       5781.4709,	       7911.0299 ; 		 //plane 1 point @8 
      1635.4318,	      -4976.7047,	       7854.8110 ; 		 //plane 1 point @9 
     -3720.5541,	      -4892.6509,	       7847.8991 ; 		 //plane 1 point @10 
     -3558.2057,	       5873.8908,	       7904.1336 ; 		 //plane 1 point @11 
      1516.7941,	       5764.4277,	      -1383.2194 ; 		 //plane 2 point @12 
     -3558.5409,	       5851.6599,	      -1395.5746 ; 		 //plane 2 point @13 
     -3558.2057,	       5873.8908,	       7904.1336 ; 		 //plane 2 point @14 
      1818.1032,	       5781.4709,	       7911.0299 ; 		 //plane 2 point @15 
      2562.1288,	       5765.0170,	       6379.6865 ; 		 //plane 2 point @16 
      2571.2576,	       5752.1925,	       1081.9198 ; 		 //plane 2 point @17 
      2172.8071,	       5754.7227,	       -724.9615 ; 		 //plane 2 point @18 
      1516.7941,	       5764.4277,	      -1383.2194 ; 		 //plane 2 point @19 
     -3558.5409,	       5851.6599,	      -1395.5746 ; 		 //plane 3 point @20 
     -3720.5541,	      -4892.6509,	      -1463.0705 ; 		 //plane 3 point @21 
     -3720.5541,	      -4892.6509,	       7847.8991 ; 		 //plane 3 point @22 
     -3558.2057,	       5873.8908,	       7904.1336 ; 		 //plane 3 point @23 
     -3558.5409,	       5851.6599,	      -1395.5746 ; 		 //plane 3 point @24 
      2211.3601,	      -4985.7429,	      -1448.5748 ; 		 //plane 4 point @25 
     -3720.5541,	      -4892.6509,	      -1463.0705 ; 		 //plane 4 point @26 
     -3720.5541,	      -4892.6509,	       7847.8991 ; 		 //plane 4 point @27 
      1635.4318,	      -4976.7047,	       7854.8110 ; 		 //plane 4 point @28 
      2386.2094,	      -4988.4869,	       6309.7642 ; 		 //plane 4 point @29 
      2398.3297,	      -4988.6771,	       -567.7542 ; 		 //plane 4 point @30 
      2211.3601,	      -4985.7429,	      -1448.5748 ; 		 //plane 4 point @31 
      1516.7941,	       5764.4277,	      -1383.2194 ; 		 //plane 5 point @32 
      2354.9312,	       1128.1882,	      -1410.0364 ; 		 //plane 5 point @33 
      2172.8071,	       5754.7227,	       -724.9615 ; 		 //plane 5 point @34 
      1516.7941,	       5764.4277,	      -1383.2194 ; 		 //plane 5 point @35 
      2172.8071,	       5754.7227,	       -724.9615 ; 		 //plane 6 point @36 
      2340.6552,	       1490.8443,	      -1356.3360 ; 		 //plane 6 point @37 
      2505.5837,	       1561.0192,	       -585.1570 ; 		 //plane 6 point @38 
      2571.2576,	       5752.1925,	       1081.9198 ; 		 //plane 6 point @39 
      2172.8071,	       5754.7227,	       -724.9615 ; 		 //plane 6 point @40 
      2505.5837,	       1561.0192,	       -585.1570 ; 		 //plane 7 point @41 
      2329.6348,	       1486.1552,	      -1407.8656 ; 		 //plane 7 point @42 
      2211.3601,	      -4985.7429,	      -1448.5748 ; 		 //plane 7 point @43 
      2398.3297,	      -4988.6771,	       -567.7542 ; 		 //plane 7 point @44 
      2505.5837,	       1561.0192,	       -585.1570 ; 		 //plane 7 point @45 
      2562.1288,	       5765.0170,	       6379.6865 ; 		 //plane 8 point @46 
      2571.2576,	       5752.1925,	       1081.9198 ; 		 //plane 8 point @47 
      2505.5837,	       1561.0192,	       -585.1570 ; 		 //plane 8 point @48 
      2398.3297,	      -4988.6771,	       -567.7542 ; 		 //plane 8 point @49 
      2386.2094,	      -4988.4869,	       6309.7642 ; 		 //plane 8 point @50 
      2562.1288,	       5765.0170,	       6379.6865 ; 		 //plane 8 point @51 
      2562.1288,	       5765.0170,	       6379.6865 ; 		 //plane 9 point @52 
      2386.2094,	      -4988.4869,	       6309.7642 ; 		 //plane 9 point @53 
      1635.4318,	      -4976.7047,	       7854.8110 ; 		 //plane 9 point @54 
      1818.1032,	       5781.4709,	       7911.0299 ; 		 //plane 9 point @55 
      2562.1288,	       5765.0170,	       6379.6865 ; 		 //plane 9 point @56 
