  -3558.5409000000,	    5851.6599000000,	   -1395.5746000000 ; 		 //plane 0 point @1 
   1516.7941000000,	    5764.4277000000,	   -1383.2194000000 ; 		 //plane 0 point @2 
   2337.8092750000,	    1348.3308500000,	   -1395.8373000000 ; 		 //plane 0 point @3 
   2211.3601000000,	   -4985.7429000000,	   -1448.5748000000 ; 		 //plane 0 point @4 
  -3720.5541000000,	   -4892.6509000000,	   -1463.0705000000 ; 		 //plane 0 point @5 
  -3558.5409000000,	    5851.6599000000,	   -1395.5746000000 ; 		 //plane 0 point @6 
  -3558.2057000000,	    5873.8908000000,	    7904.1336000000 ; 		 //plane 1 point @7 
   1818.1032000000,	    5781.4709000000,	    7911.0299000000 ; 		 //plane 1 point @8 
   1635.4318000000,	   -4976.7047000000,	    7854.8110000000 ; 		 //plane 1 point @9 
  -3720.5541000000,	   -4892.6509000000,	    7847.8991000000 ; 		 //plane 1 point @10 
  -3558.2057000000,	    5873.8908000000,	    7904.1336000000 ; 		 //plane 1 point @11 
   1516.7941000000,	    5764.4277000000,	   -1383.2194000000 ; 		 //plane 2 point @12 
  -3558.5409000000,	    5851.6599000000,	   -1395.5746000000 ; 		 //plane 2 point @13 
  -3558.2057000000,	    5873.8908000000,	    7904.1336000000 ; 		 //plane 2 point @14 
   1818.1032000000,	    5781.4709000000,	    7911.0299000000 ; 		 //plane 2 point @15 
   2562.1288000000,	    5765.0170000000,	    6379.6865000000 ; 		 //plane 2 point @16 
   2571.2576000000,	    5752.1925000000,	    1081.9198000000 ; 		 //plane 2 point @17 
   2172.8071000000,	    5754.7227000000,	    -724.9615000000 ; 		 //plane 2 point @18 
   1516.7941000000,	    5764.4277000000,	   -1383.2194000000 ; 		 //plane 2 point @19 
  -3558.5409000000,	    5851.6599000000,	   -1395.5746000000 ; 		 //plane 3 point @20 
  -3720.5541000000,	   -4892.6509000000,	   -1463.0705000000 ; 		 //plane 3 point @21 
  -3720.5541000000,	   -4892.6509000000,	    7847.8991000000 ; 		 //plane 3 point @22 
  -3558.2057000000,	    5873.8908000000,	    7904.1336000000 ; 		 //plane 3 point @23 
  -3558.5409000000,	    5851.6599000000,	   -1395.5746000000 ; 		 //plane 3 point @24 
   2211.3601000000,	   -4985.7429000000,	   -1448.5748000000 ; 		 //plane 4 point @25 
  -3720.5541000000,	   -4892.6509000000,	   -1463.0705000000 ; 		 //plane 4 point @26 
  -3720.5541000000,	   -4892.6509000000,	    7847.8991000000 ; 		 //plane 4 point @27 
   1635.4318000000,	   -4976.7047000000,	    7854.8110000000 ; 		 //plane 4 point @28 
   2386.2094000000,	   -4988.4869000000,	    6309.7642000000 ; 		 //plane 4 point @29 
   2398.3297000000,	   -4988.6771000000,	    -567.7542000000 ; 		 //plane 4 point @30 
   2211.3601000000,	   -4985.7429000000,	   -1448.5748000000 ; 		 //plane 4 point @31 
   1516.7941000000,	    5764.4277000000,	   -1383.2194000000 ; 		 //plane 5 point @32 
   2337.8092750000,	    1348.3308500000,	   -1395.8373000000 ; 		 //plane 5 point @33 
   2172.8071000000,	    5754.7227000000,	    -724.9615000000 ; 		 //plane 5 point @34 
   1516.7941000000,	    5764.4277000000,	   -1383.2194000000 ; 		 //plane 5 point @35 
   2172.8071000000,	    5754.7227000000,	    -724.9615000000 ; 		 //plane 6 point @36 
   2337.8092750000,	    1348.3308500000,	   -1395.8373000000 ; 		 //plane 6 point @37 
   2505.5837000000,	    1561.0192000000,	    -585.1570000000 ; 		 //plane 6 point @38 
   2571.2576000000,	    5752.1925000000,	    1081.9198000000 ; 		 //plane 6 point @39 
   2172.8071000000,	    5754.7227000000,	    -724.9615000000 ; 		 //plane 6 point @40 
   2505.5837000000,	    1561.0192000000,	    -585.1570000000 ; 		 //plane 7 point @41 
   2337.8092750000,	    1348.3308500000,	   -1395.8373000000 ; 		 //plane 7 point @42 
   2211.3601000000,	   -4985.7429000000,	   -1448.5748000000 ; 		 //plane 7 point @43 
   2398.3297000000,	   -4988.6771000000,	    -567.7542000000 ; 		 //plane 7 point @44 
   2505.5837000000,	    1561.0192000000,	    -585.1570000000 ; 		 //plane 7 point @45 
   2562.1288000000,	    5765.0170000000,	    6379.6865000000 ; 		 //plane 8 point @46 
   2571.2576000000,	    5752.1925000000,	    1081.9198000000 ; 		 //plane 8 point @47 
   2505.5837000000,	    1561.0192000000,	    -585.1570000000 ; 		 //plane 8 point @48 
   2398.3297000000,	   -4988.6771000000,	    -567.7542000000 ; 		 //plane 8 point @49 
   2386.2094000000,	   -4988.4869000000,	    6309.7642000000 ; 		 //plane 8 point @50 
   2562.1288000000,	    5765.0170000000,	    6379.6865000000 ; 		 //plane 8 point @51 
   2562.1288000000,	    5765.0170000000,	    6379.6865000000 ; 		 //plane 9 point @52 
   2386.2094000000,	   -4988.4869000000,	    6309.7642000000 ; 		 //plane 9 point @53 
   1635.4318000000,	   -4976.7047000000,	    7854.8110000000 ; 		 //plane 9 point @54 
   1818.1032000000,	    5781.4709000000,	    7911.0299000000 ; 		 //plane 9 point @55 
   2562.1288000000,	    5765.0170000000,	    6379.6865000000 ; 		 //plane 9 point @56 
