   Point ID     ,  Hz.(� ' "),  V.(� ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
2VJP           ,    0 00 01 ,   89 45 50,          0,      0.000,      0.000,            0,            0,          0
2               ,   25 57 27 ,  102 54 13,      1.722,      0.000,      0.000,        0.734,        1.509,     -0.384
3               ,  326 05 59 ,  140 31 30,      1.819,      0.000,      0.000,       -0.645,        0.960,     -1.404
4               ,  326 06 00 ,  139 18 55,      1.853,      0.000,      0.000,       -0.674,        1.003,     -1.405
5               ,  322 05 02 ,  140 37 49,      1.820,      0.000,      0.000,       -0.710,        0.911,     -1.407
6               ,  330 59 42 ,    7 42 40,      7.954,      0.000,      0.000,       -0.518,        0.933,      7.882
7               ,  339 36 26 ,    7 42 40,      7.954,      0.000,      0.000,       -0.372,        1.000,      7.883
8               ,  337 13 24 ,    8 24 57,      7.968,      0.000,      0.000,       -0.451,        1.075,      7.882
9               ,   18 07 58 ,   97 45 40,      5.711,      0.000,      0.000,        1.761,        5.378,     -0.771
10              ,   12 28 03 ,   88 12 41,      5.536,      0.000,      0.000,        1.195,        5.403,      0.173
11              ,   17 46 41 ,   79 33 49,      5.762,      0.000,      0.000,        1.730,        5.396,      1.044
12              ,   12 31 57 ,   71 09 24,      5.869,      0.000,      0.000,        1.205,        5.422,      1.896
13              ,   17 57 04 ,   65 00 38,      6.274,      0.000,      0.000,        1.753,        5.410,      2.651
14              ,   12 53 24 ,   57 37 17,      6.605,      0.000,      0.000,        1.244,        5.437,      3.537
15              ,   17 56 08 ,   52 45 59,      7.165,      0.000,      0.000,        1.757,        5.427,      4.335
16              ,   13 07 18 ,   46 16 19,      7.742,      0.000,      0.000,        1.270,        5.448,      5.351
17              ,   17 55 39 ,   42 50 14,      8.416,      0.000,      0.000,        1.761,        5.445,      6.172
18              ,   12 46 33 ,   37 47 15,      9.135,      0.000,      0.000,        1.238,        5.459,      7.219
19              ,   18 01 06 ,   36 35 25,      9.634,      0.000,      0.000,        1.776,        5.461,      7.736
20              ,    1 46 55 ,   35 32 34,      9.467,      0.000,      0.000,        0.171,        5.500,      7.703
21              ,  356 22 13 ,   38 14 49,      8.909,      0.000,      0.000,       -0.349,        5.504,      6.997
22              ,    1 34 45 ,   41 41 36,      8.250,      0.000,      0.000,        0.151,        5.485,      6.160
23              ,  356 25 15 ,   46 48 26,      7.544,      0.000,      0.000,       -0.343,        5.489,      5.164
24              ,    1 47 11 ,   52 45 19,      6.871,      0.000,      0.000,        0.171,        5.467,      4.159
25              ,  356 22 09 ,   56 56 20,      6.549,      0.000,      0.000,       -0.348,        5.478,      3.573
26              ,    1 33 16 ,   64 12 17,      6.063,      0.000,      0.000,        0.148,        5.457,      2.638
27              ,  356 11 40 ,   68 40 38,      5.883,      0.000,      0.000,       -0.364,        5.468,      2.139
28              ,    1 35 35 ,   76 15 46,      5.604,      0.000,      0.000,        0.151,        5.442,      1.331
29              ,  356 24 29 ,   78 37 45,      5.572,      0.000,      0.000,       -0.342,        5.452,      1.099
30              ,    1 54 35 ,   86 41 05,      5.439,      0.000,      0.000,        0.181,        5.427,      0.315
31              ,  356 26 43 ,   92 26 45,      5.444,      0.000,      0.000,       -0.337,        5.428,     -0.232
32              ,    1 47 49 ,   98 44 05,      5.478,      0.000,      0.000,        0.170,        5.412,     -0.832
33              ,  356 49 08 ,  103 22 42,      5.570,      0.000,      0.000,       -0.301,        5.410,     -1.289
34              ,  345 18 55 ,  102 16 52,      5.751,      0.000,      0.000,       -1.424,        5.436,     -1.223
35              ,  340 26 45 ,   97 14 20,      5.824,      0.000,      0.000,       -1.934,        5.444,     -0.734
36              ,  345 09 56 ,   88 11 25,      5.643,      0.000,      0.000,       -1.444,        5.452,      0.178
37              ,  340 29 35 ,   79 42 03,      5.892,      0.000,      0.000,       -1.936,        5.464,      1.053
38              ,  345 39 59 ,   72 01 30,      5.943,      0.000,      0.000,       -1.399,        5.477,      1.834
39              ,  340 25 05 ,   65 17 04,      6.411,      0.000,      0.000,       -1.952,        5.487,      2.680
