      4073.8348,	       6327.7835,	      -1438.0615 ; 		 //plane 0 point @1 
     -1890.5035,	       6355.6696,	      -1399.4202 ; 		 //plane 0 point @2 
     -1963.4028,	      -5027.0701,	      -1472.2051 ; 		 //plane 0 point @3 
      3971.9969,	      -5015.8207,	      -1510.4079 ; 		 //plane 0 point @4 
      4073.8348,	       6327.7835,	      -1438.0615 ; 		 //plane 0 point @5 
      4073.4590,	       6285.9205,	       7878.5364 ; 		 //plane 1 point @6 
     -1270.9700,	       6310.8455,	       7927.1245 ; 		 //plane 1 point @7 
     -1350.0634,	      -5025.9076,	       7837.9296 ; 		 //plane 1 point @8 
      3971.9969,	      -5015.8207,	       7789.8218 ; 		 //plane 1 point @9 
      4073.4590,	       6285.9205,	       7878.5364 ; 		 //plane 1 point @10 
     -1890.5035,	       6355.6696,	      -1399.4202 ; 		 //plane 2 point @11 
      4073.8348,	       6327.7835,	      -1438.0615 ; 		 //plane 2 point @12 
      4073.4590,	       6285.9205,	       7878.5364 ; 		 //plane 2 point @13 
     -1270.9700,	       6310.8455,	       7927.1245 ; 		 //plane 2 point @14 
     -2049.7408,	       6321.5749,	       6354.7488 ; 		 //plane 2 point @15 
     -2089.8347,	       6353.0557,	       -609.0224 ; 		 //plane 2 point @16 
     -1890.5035,	       6355.6696,	      -1399.4202 ; 		 //plane 2 point @17 
      4073.8348,	       6327.7835,	      -1438.0615 ; 		 //plane 3 point @18 
      3971.9969,	      -5015.8207,	      -1510.4079 ; 		 //plane 3 point @19 
      3971.9969,	      -5015.8207,	       7789.8218 ; 		 //plane 3 point @20 
      4073.4590,	       6285.9205,	       7878.5364 ; 		 //plane 3 point @21 
      4073.8348,	       6327.7835,	      -1438.0615 ; 		 //plane 3 point @22 
     -1963.4028,	      -5027.0701,	      -1472.2051 ; 		 //plane 4 point @23 
      3971.9969,	      -5015.8207,	      -1510.4079 ; 		 //plane 4 point @24 
      3971.9969,	      -5015.8207,	       7789.8218 ; 		 //plane 4 point @25 
     -1350.0634,	      -5025.9076,	       7837.9296 ; 		 //plane 4 point @26 
     -2116.8203,	      -5027.3608,	       6289.8853 ; 		 //plane 4 point @27 
     -2157.2705,	      -5027.4375,	       -703.4024 ; 		 //plane 4 point @28 
     -1963.4028,	      -5027.0701,	      -1472.2051 ; 		 //plane 4 point @29 
     -1890.5035,	       6355.6696,	      -1399.4202 ; 		 //plane 5 point @30 
     -1963.4028,	      -5027.0701,	      -1472.2051 ; 		 //plane 5 point @31 
     -2157.2705,	      -5027.4375,	       -703.4024 ; 		 //plane 5 point @32 
     -2089.8347,	       6353.0557,	       -609.0224 ; 		 //plane 5 point @33 
     -1890.5035,	       6355.6696,	      -1399.4202 ; 		 //plane 5 point @34 
     -2089.8347,	       6353.0557,	       -609.0224 ; 		 //plane 6 point @35 
     -2157.2705,	      -5027.4375,	       -703.4024 ; 		 //plane 6 point @36 
     -2116.8203,	      -5027.3608,	       6289.8853 ; 		 //plane 6 point @37 
     -2049.7408,	       6321.5749,	       6354.7488 ; 		 //plane 6 point @38 
     -2089.8347,	       6353.0557,	       -609.0224 ; 		 //plane 6 point @39 
     -2049.7408,	       6321.5749,	       6354.7488 ; 		 //plane 7 point @40 
     -2116.8203,	      -5027.3608,	       6289.8853 ; 		 //plane 7 point @41 
     -1350.0634,	      -5025.9076,	       7837.9296 ; 		 //plane 7 point @42 
     -1270.9700,	       6310.8455,	       7927.1245 ; 		 //plane 7 point @43 
     -2049.7408,	       6321.5749,	       6354.7488 ; 		 //plane 7 point @44 
