-2898.3964,	       5398.4356,	      -1390.4381 ; 		 //plane 0 point @1
 3028.2518,	       5458.6958,	      -1404.0003 ; 		 //plane 0 point @2
 3142.6360,	      -5838.3161,	      -1433.3082 ; 		 //plane 0 point @3
-2828.9964,	      -5863.8681,	      -1419.5526 ; 		 //plane 0 point @4
-2898.3964,	       5398.4356,	      -1390.4381 ; 		 //plane 0 point @5
-2898.4214,	       5402.4796,	       7927.1985 ; 		 //plane 1 point @6
 2488.1275,	       5457.2428,	       7902.4412 ; 		 //plane 1 point @7
 2589.8094,	      -5840.6816,	       7860.3026 ; 		 //plane 1 point @8
-2828.9964,	      -5863.8681,	       7885.3258 ; 		 //plane 1 point @9
-2898.4214,	       5402.4796,	       7927.1985 ; 		 //plane 1 point @10
 3028.2518,	       5458.6958,	      -1404.0003 ; 		 //plane 2 point @11
-2898.3964,	       5398.4356,	      -1390.4381 ; 		 //plane 2 point @12
-2898.4214,	       5402.4796,	       7927.1985 ; 		 //plane 2 point @13
 2488.1275,	       5457.2428,	       7902.4412 ; 		 //plane 2 point @14
 3229.3011,	       5464.1211,	       6385.3820 ; 		 //plane 2 point @15
 3211.9006,	       5460.8804,	       -673.3081 ; 		 //plane 2 point @16
 3028.2518,	       5458.6958,	      -1404.0003 ; 		 //plane 2 point @17
-2898.3964,	       5398.4356,	      -1390.4381 ; 		 //plane 3 point @18
-2828.9964,	      -5863.8681,	      -1419.5526 ; 		 //plane 3 point @19
-2828.9964,	      -5863.8681,	       7885.3258 ; 		 //plane 3 point @20
-2898.4214,	       5402.4796,	       7927.1985 ; 		 //plane 3 point @21
-2898.3964,	       5398.4356,	      -1390.4381 ; 		 //plane 3 point @22
 3142.6360,	      -5838.3161,	      -1433.3082 ; 		 //plane 4 point @23
-2828.9964,	      -5863.8681,	      -1419.5526 ; 		 //plane 4 point @24
-2828.9964,	      -5863.8681,	       7885.3258 ; 		 //plane 4 point @25
 2589.8094,	      -5840.6816,	       7860.3026 ; 		 //plane 4 point @26
 3362.7985,	      -5837.3740,	       6278.1791 ; 		 //plane 4 point @27
 3345.7440,	      -5837.4470,	       -625.2590 ; 		 //plane 4 point @28
 3142.6360,	      -5838.3161,	      -1433.3082 ; 		 //plane 4 point @29
 3028.2518,	       5458.6958,	      -1404.0003 ; 		 //plane 5 point @30
 3142.6360,	      -5838.3161,	      -1433.3082 ; 		 //plane 5 point @31
 3345.7440,	      -5837.4470,	       -625.2590 ; 		 //plane 5 point @32
 3211.9006,	       5460.8804,	       -673.3081 ; 		 //plane 5 point @33
 3028.2518,	       5458.6958,	      -1404.0003 ; 		 //plane 5 point @34
 3211.9006,	       5460.8804,	       -673.3081 ; 		 //plane 6 point @35
 3345.7440,	      -5837.4470,	       -625.2590 ; 		 //plane 6 point @36
 3362.7985,	      -5837.3740,	       6278.1791 ; 		 //plane 6 point @37
 3229.3011,	       5464.1211,	       6385.3820 ; 		 //plane 6 point @38
 3211.9006,	       5460.8804,	       -673.3081 ; 		 //plane 6 point @39
 3229.3011,	       5464.1211,	       6385.3820 ; 		 //plane 7 point @40
 3362.7985,	      -5837.3740,	       6278.1791 ; 		 //plane 7 point @41
 2589.8094,	      -5840.6816,	       7860.3026 ; 		 //plane 7 point @42
 2488.1275,	       5457.2428,	       7902.4412 ; 		 //plane 7 point @43
 3229.3011,	       5464.1211,	       6385.3820 ; 		 //plane 7 point @44
