Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
 7777            ,    0 00 03 ,   88 19 34,          0,      0.000,      1.400,            0,            0,          0
2   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.29412,	   7.52442,	  -1.47661
3   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.66004,	   7.44793,	  -1.47020
4   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.61051,	  -5.05295,	  -1.43923
5   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.36482,	  -5.04349,	  -1.44550
6   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.29412,	   7.52442,	  -1.47661
7   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.29376,	   7.58884,	   7.81928
8   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.07819,	   7.52000,	   7.84970
9   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.01052,	  -5.05200,	   7.86746
10   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.36482,	  -5.04349,	   7.83711
11   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.29376,	   7.58884,	   7.81928
12   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.66004,	   7.44793,	  -1.47020
13   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.29412,	   7.52442,	  -1.47661
14   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.29376,	   7.58884,	   7.81928
15   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.07819,	   7.52000,	   7.84970
16   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.82811,	   7.49969,	   6.31036
17   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.85662,	   7.45109,	  -0.64975
18   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.66004,	   7.44793,	  -1.47020
19   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.29412,	   7.52442,	  -1.47661
20   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.36482,	  -5.04349,	  -1.44550
21   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.36482,	  -5.04349,	   7.83711
22   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.29376,	   7.58884,	   7.81928
23   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.29412,	   7.52442,	  -1.47661
24   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.61051,	  -5.05295,	  -1.43923
25   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.36482,	  -5.04349,	  -1.44550
26   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.36482,	  -5.04349,	   7.83711
27   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.01052,	  -5.05200,	   7.86746
28   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.76141,	  -5.05319,	   6.32631
29   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.79040,	  -5.05324,	  -0.68837
30   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.61051,	  -5.05295,	  -1.43923
31   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.66004,	   7.44793,	  -1.47020
32   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.61051,	  -5.05295,	  -1.43923
33   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.79040,	  -5.05324,	  -0.68837
34   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.85662,	   7.45109,	  -0.64975
35   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.66004,	   7.44793,	  -1.47020
36   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.85662,	   7.45109,	  -0.64975
37   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.79040,	  -5.05324,	  -0.68837
38   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.76141,	  -5.05319,	   6.32631
39   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.82811,	   7.49969,	   6.31036
40   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.85662,	   7.45109,	  -0.64975
41   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.82811,	   7.49969,	   6.31036
42   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.76141,	  -5.05319,	   6.32631
43   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.01052,	  -5.05200,	   7.86746
44   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.07819,	   7.52000,	   7.84970
45   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.82811,	   7.49969,	   6.31036
