   Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
ADG             ,    0 00 01 ,   89 46 50,          0,      0.000,      0.000,            0,            0,          0
2               ,  269 56 54 ,   86 49 49,      2.825,      0.000,      0.000,       -2.820,       -0.003,      0.156
3               ,    6 36 16 ,  133 55 00,      2.094,      0.000,      0.000,        0.173,        1.498,     -1.452
4               ,    8 06 59 ,  133 55 00,      2.093,      0.000,      0.000,        0.213,        1.493,     -1.452
5               ,    5 37 20 ,  133 30 52,      2.109,      0.000,      0.000,        0.150,        1.522,     -1.452
6               ,    7 11 44 ,   10 47 42,      7.981,      0.000,      0.000,        0.187,        1.483,      7.840
7               ,    9 58 09 ,   11 34 33,      8.004,      0.000,      0.000,        0.278,        1.582,      7.841
8               ,    5 07 18 ,   11 34 33,      8.006,      0.000,      0.000,        0.143,        1.600,      7.843
9               ,   23 51 12 ,   99 19 58,      7.904,      0.000,      0.000,        3.154,        7.133,     -1.282
10              ,   23 51 15 ,   90 20 46,      7.801,      0.000,      0.000,        3.155,        7.135,     -0.047
11              ,   23 51 20 ,   80 49 13,      7.910,      0.000,      0.000,        3.158,        7.141,      1.262
12              ,   23 51 25 ,   71 27 19,      8.241,      0.000,      0.000,        3.160,        7.145,      2.621
13              ,   23 51 24 ,   62 29 57,      8.807,      0.000,      0.000,        3.159,        7.144,      4.067
14              ,   23 51 24 ,   54 27 29,      9.593,      0.000,      0.000,        3.157,        7.139,      5.577
15              ,   23 50 59 ,   45 10 46,     11.016,      0.000,      0.000,        3.159,        7.146,      7.765
16              ,   21 05 19 ,   44 50 22,     10.864,      0.000,      0.000,        2.756,        7.147,      7.703
17              ,   21 05 19 ,   53 31 58,      9.514,      0.000,      0.000,        2.753,        7.139,      5.655
18              ,   21 05 18 ,   63 03 42,      8.585,      0.000,      0.000,        2.754,        7.141,      3.889
19              ,   21 05 17 ,   71 58 27,      8.054,      0.000,      0.000,        2.756,        7.145,      2.492
20              ,   21 05 17 ,   83 06 01,      7.702,      0.000,      0.000,        2.751,        7.134,      0.925
21              ,   21 05 18 ,   94 52 51,      7.670,      0.000,      0.000,        2.750,        7.131,     -0.653
22              ,   21 05 06 ,   98 39 08,      7.730,      0.000,      0.000,        2.749,        7.130,     -1.163
23              ,   13 04 59 ,  100 02 35,      7.423,      0.000,      0.000,        1.655,        7.120,     -1.295
24              ,   13 05 11 ,   89 08 21,      7.317,      0.000,      0.000,        1.656,        7.126,      0.110
25              ,   13 05 13 ,   79 59 46,      7.432,      0.000,      0.000,        1.657,        7.129,      1.291
26              ,   13 05 12 ,   70 57 38,      7.749,      0.000,      0.000,        1.659,        7.135,      2.528
27              ,   13 05 14 ,   62 34 56,      8.256,      0.000,      0.000,        1.659,        7.138,      3.802
28              ,   13 05 15 ,   56 03 23,      8.837,      0.000,      0.000,        1.660,        7.141,      4.934
29              ,   13 05 15 ,   49 36 36,      9.634,      0.000,      0.000,        1.662,        7.148,      6.243
30              ,   13 04 56 ,   43 58 03,     10.573,      0.000,      0.000,        1.661,        7.150,      7.610
31              ,    9 34 39 ,   43 58 16,     10.437,      0.000,      0.000,        1.206,        7.146,      7.512
32              ,    9 34 40 ,   50 45 56,      9.351,      0.000,      0.000,        1.205,        7.142,      5.915
33              ,    9 34 39 ,   56 46 53,      8.651,      0.000,      0.000,        1.204,        7.136,      4.739
34              ,    9 34 39 ,   67 37 56,      7.819,      0.000,      0.000,        1.203,        7.130,      2.976
35              ,    9 34 41 ,   77 17 03,      7.403,      0.000,      0.000,        1.202,        7.121,      1.630
36              ,    9 34 41 ,   88 32 18,      7.218,      0.000,      0.000,        1.201,        7.115,      0.184
37              ,    9 34 07 ,   99 30 20,      7.310,      0.000,      0.000,        1.198,        7.109,     -1.207
38              ,    0 38 58 ,   99 30 17,      7.190,      0.000,      0.000,        0.080,        7.091,     -1.187
39              ,    0 39 07 ,   89 36 30,      7.090,      0.000,      0.000,        0.081,        7.090,      0.048
40              ,    0 39 14 ,   78 31 37,      7.233,      0.000,      0.000,        0.081,        7.088,      1.439
41              ,    0 39 13 ,   67 58 58,      7.653,      0.000,      0.000,        0.081,        7.095,      2.869
42              ,    0 39 13 ,   58 30 46,      8.321,      0.000,      0.000,        0.081,        7.096,      4.346
43              ,    0 39 14 ,   49 57 30,      9.276,      0.000,      0.000,        0.081,        7.101,      5.968
44              ,    0 38 53 ,   42 56 29,     10.427,      0.000,      0.000,        0.080,        7.103,      7.633
45              ,  357 17 55 ,   42 31 55,     10.488,      0.000,      0.000,       -0.334,        7.082,      7.729
46              ,  357 17 53 ,   50 07 29,      9.235,      0.000,      0.000,       -0.334,        7.080,      5.921
47              ,  357 17 54 ,   58 37 56,      8.300,      0.000,      0.000,       -0.334,        7.079,      4.320
48              ,  357 17 56 ,   67 41 50,      7.663,      0.000,      0.000,       -0.334,        7.082,      2.908
49              ,  357 17 54 ,   79 06 38,      7.218,      0.000,      0.000,       -0.334,        7.080,      1.364
50              ,  357 17 52 ,   89 27 03,      7.092,      0.000,      0.000,       -0.334,        7.084,      0.068
51              ,  357 18 01 ,   95 21 19,      7.124,      0.000,      0.000,       -0.334,        7.085,     -0.665
52              ,  347 49 29 ,   93 10 39,      7.263,      0.000,      0.000,       -1.529,        7.088,     -0.403
53              ,  347 49 36 ,   82 45 12,      7.304,      0.000,      0.000,       -1.528,        7.083,      0.921
54              ,  347 49 40 ,   73 37 37,      7.545,      0.000,      0.000,       -1.526,        7.076,      2.127
55              ,  347 49 39 ,   66 00 41,      7.923,      0.000,      0.000,       -1.526,        7.076,      3.221
56              ,  347 49 40 ,   57 13 36,      8.605,      0.000,      0.000,       -1.526,        7.073,      4.658
