The data.txt and guide.txt are CORRECT. 
All planes of the figure were successfully generated. 
The figure were rotated to anpha = beta = 0. 
All segments belong the Figure were identified SUCCESSFULLY. 
All segments belong the Figure were identified SUCCESSFULLY. 
Position      Area(m2)          Volume(m3)
   -57      -1462        0.010841             0.000005 
   -56      -1461        0.058959             0.000040 
   -55      -1460        0.145550             0.000143 
   -54      -1459        0.270614             0.000351 
   -53      -1458        0.434151             0.000703 
   -52      -1457        0.636161             0.001238 
   -51      -1456        0.876645             0.001995 
   -50      -1455        1.155601             0.003011 
   -49      -1454        1.473030             0.004325 
   -48      -1453        1.828932             0.005976 
   -47      -1452        2.223307             0.008002 
   -46      -1451        2.656155             0.010442 
   -45      -1450        3.127476             0.013334 
   -44      -1449        3.637270             0.016716 
   -43      -1448        4.185537             0.020627 
   -42      -1447        4.772277             0.025106 
   -41      -1446        5.397490             0.030191 
   -40      -1445        6.061176             0.035921 
   -39      -1444        6.763335             0.042333 
   -38      -1443        7.503967             0.049466 
   -37      -1442        8.283072             0.057360 
   -36      -1441        9.100650             0.066052 
   -35      -1440        9.956701             0.075581 
   -34      -1439       10.851225             0.085985 
   -33      -1438       11.784222             0.097302 
   -32      -1437       12.755692             0.109572 
   -31      -1436       13.765635             0.122833 
   -30      -1435       14.814051             0.137123 
   -29      -1434       15.900940             0.152480 
   -28      -1433       17.026302             0.168944 
   -27      -1432       18.190137             0.186552 
   -26      -1431       19.392445             0.205343 
   -25      -1430       20.629571             0.225354 
   -24      -1429       21.872845             0.246606 
   -23      -1428       23.116157             0.269100 
   -22      -1427       24.359506             0.292838 
   -21      -1426       25.602892             0.317819 
   -20      -1425       26.846315             0.344044 
   -19      -1424       28.089776             0.371512 
   -18      -1423       29.333273             0.400223 
   -17      -1422       30.576808             0.430178 
   -16      -1421       31.820380             0.461377 
   -15      -1420       33.063989             0.493819 
   -14      -1419       34.307636             0.527505 
   -13      -1418       35.551319             0.562434 
   -12      -1417       36.795040             0.598608 
   -11      -1416       38.038798             0.636024 
   -10      -1415       39.282593             0.674685 
    -9      -1414       40.526426             0.714590 
    -8      -1413       41.770295             0.755738 
    -7      -1412       43.014202             0.798130 
    -6      -1411       44.258146             0.841766 
    -5      -1410       45.502127             0.886647 
    -4      -1409       46.746145             0.932771 
    -3      -1408       47.990201             0.980139 
    -2      -1407       49.234294             1.028751 
    -1      -1406       50.478424             1.078607 
     0      -1405       51.722591             1.129708 
     1      -1404       52.966795             1.182053 
     2      -1403       54.211036             1.235642 
     3      -1402       55.447661             1.290471 
     4      -1401       56.648544             1.346519 
     5      -1400       57.811078             1.403749 
     6      -1399       58.935263             1.462122 
     7      -1398       60.021100             1.521600 
     8      -1397       61.068588             1.582145 
     9      -1396       62.077727             1.643718 
    10      -1395       63.048518             1.706281 
    11      -1394       63.980960             1.769796 
    12      -1393       64.875053             1.834224 
    13      -1392       65.730797             1.899527 
    14      -1391       66.548193             1.965667 
    15      -1390       67.327241             2.032604 
    16      -1389       68.067939             2.100302 
    17      -1388       68.770289             2.168721 
    18      -1387       69.434291             2.237823 
    19      -1386       70.059943             2.307570 
    20      -1385       70.647247             2.377924 
    21      -1384       71.196202             2.448846 
    22      -1383       71.706809             2.520297 
    23      -1382       72.179067             2.592240 
    24      -1381       72.612976             2.664636 
    25      -1380       73.008537             2.737447 
    26      -1379       73.365749             2.810634 
    27      -1378       73.684612             2.884159 
    28      -1377       73.965127             2.957984 
    29      -1376       74.207293             3.032070 
    30      -1375       74.411110             3.106379 
    31      -1374       74.576578             3.180873 
    32      -1373       74.703698             3.255513 
    33      -1372       74.792470             3.330262 
    34      -1371       74.842892             3.405079 
    35      -1370       74.856384             3.479929 
    36      -1369       74.859710             3.554787 
    37      -1368       74.863037             3.629648 
    38      -1367       74.866364             3.704513 
    39      -1366       74.869690             3.779381 
    40      -1365       74.873017             3.854252 
    41      -1364       74.876343             3.929127 
    42      -1363       74.879670             4.004005 
    43      -1362       74.882997             4.078886 
    44      -1361       74.886323             4.153771 
    45      -1360       74.889650             4.228659 
    46      -1359       74.892977             4.303550 
    47      -1358       74.896303             4.378445 
    48      -1357       74.899630             4.453343 
    49      -1356       74.902956             4.528244 
    50      -1355       74.906283             4.603149 
    51      -1354       74.909610             4.678057 
    52      -1353       74.912936             4.752968 
    53      -1352       74.916263             4.827883 
    54      -1351       74.919590             4.902801 
    55      -1350       74.922916             4.977722 
    56      -1349       74.926243             5.052646 
    57      -1348       74.929570             5.127574 
    58      -1347       74.932896             5.202506 
    59      -1346       74.936223             5.277440 
    60      -1345       74.939550             5.352378 
    61      -1344       74.942876             5.427319 
    62      -1343       74.946203             5.502264 
    63      -1342       74.949530             5.577212 
    64      -1341       74.952856             5.652163 
    65      -1340       74.956183             5.727117 
    66      -1339       74.959510             5.802075 
    67      -1338       74.962836             5.877036 
    68      -1337       74.966163             5.952001 
    69      -1336       74.969490             6.026969 
    70      -1335       74.972816             6.101940 
    71      -1334       74.976143             6.176914 
    72      -1333       74.979470             6.251892 
    73      -1332       74.982797             6.326873 
    74      -1331       74.986123             6.401858 
    75      -1330       74.989450             6.476846 
    76      -1329       74.992777             6.551837 
    77      -1328       74.996103             6.626831 
    78      -1327       74.999430             6.701829 
    79      -1326       75.002757             6.776830 
    80      -1325       75.006084             6.851834 
    81      -1324       75.009410             6.926842 
    82      -1323       75.012737             7.001853 
    83      -1322       75.016064             7.076868 
    84      -1321       75.019390             7.151885 
    85      -1320       75.022717             7.226906 
    86      -1319       75.026044             7.301931 
    87      -1318       75.029371             7.376958 
    88      -1317       75.032697             7.451989 
    89      -1316       75.036024             7.527024 
    90      -1315       75.039351             7.602062 
    91      -1314       75.042678             7.677103 
    92      -1313       75.046004             7.752147 
    93      -1312       75.049331             7.827195 
    94      -1311       75.052658             7.902246 
    95      -1310       75.055985             7.977300 
    96      -1309       75.059311             8.052358 
    97      -1308       75.062638             8.127419 
    98      -1307       75.065965             8.202483 
    99      -1306       75.069292             8.277550 
   100      -1305       75.072619             8.352621 
   101      -1304       75.075945             8.427696 
   102      -1303       75.079272             8.502773 
   103      -1302       75.082599             8.577854 
   104      -1301       75.085926             8.652938 
   105      -1300       75.089252             8.728026 
   106      -1299       75.092579             8.803117 
   107      -1298       75.095906             8.878211 
   108      -1297       75.099233             8.953309 
   109      -1296       75.102560             9.028410 
   110      -1295       75.105886             9.103514 
   111      -1294       75.109213             9.178621 
   112      -1293       75.112540             9.253732 
   113      -1292       75.115867             9.328847 
   114      -1291       75.119194             9.403964 
   115      -1290       75.122520             9.479085 
   116      -1289       75.125847             9.554209 
   117      -1288       75.129174             9.629337 
   118      -1287       75.132501             9.704467 
   119      -1286       75.135828             9.779602 
   120      -1285       75.139155             9.854739 
   121      -1284       75.142481             9.929880 
   122      -1283       75.145808            10.005024 
   123      -1282       75.149135            10.080172 
   124      -1281       75.152462            10.155322 
   125      -1280       75.155789            10.230476 
   126      -1279       75.159116            10.305634 
   127      -1278       75.162442            10.380795 
   128      -1277       75.165769            10.455959 
   129      -1276       75.169096            10.531126 
   130      -1275       75.172423            10.606297 
   131      -1274       75.175750            10.681471 
   132      -1273       75.179077            10.756649 
   133      -1272       75.182404            10.831829 
   134      -1271       75.185730            10.907013 
   135      -1270       75.189057            10.982201 
   136      -1269       75.192384            11.057391 
   137      -1268       75.195711            11.132585 
   138      -1267       75.199038            11.207783 
   139      -1266       75.202365            11.282984 
   140      -1265       75.205692            11.358188 
   141      -1264       75.209019            11.433395 
   142      -1263       75.212345            11.508606 
   143      -1262       75.215672            11.583820 
   144      -1261       75.218999            11.659037 
   145      -1260       75.222326            11.734258 
   146      -1259       75.225653            11.809482 
   147      -1258       75.228980            11.884709 
   148      -1257       75.232307            11.959940 
   149      -1256       75.235634            12.035174 
   150      -1255       75.238961            12.110411 
   151      -1254       75.242288            12.185651 
   152      -1253       75.245614            12.260895 
   153      -1252       75.248941            12.336143 
   154      -1251       75.252268            12.411393 
   155      -1250       75.255595            12.486647 
   156      -1249       75.258922            12.561904 
   157      -1248       75.262249            12.637165 
   158      -1247       75.265576            12.712429 
   159      -1246       75.268903            12.787696 
   160      -1245       75.272230            12.862967 
   161      -1244       75.275557            12.938241 
   162      -1243       75.278884            13.013518 
   163      -1242       75.282211            13.088798 
   164      -1241       75.285538            13.164082 
   165      -1240       75.288865            13.239370 
   166      -1239       75.292191            13.314660 
   167      -1238       75.295518            13.389954 
   168      -1237       75.298845            13.465251 
   169      -1236       75.302172            13.540552 
   170      -1235       75.305499            13.615855 
   171      -1234       75.308826            13.691163 
   172      -1233       75.312153            13.766473 
   173      -1232       75.315480            13.841787 
   174      -1231       75.318807            13.917104 
   175      -1230       75.322134            13.992425 
   176      -1229       75.325461            14.067748 
   177      -1228       75.328788            14.143075 
   178      -1227       75.332115            14.218406 
   179      -1226       75.335442            14.293740 
   180      -1225       75.338769            14.369077 
   181      -1224       75.342096            14.444417 
   182      -1223       75.345423            14.519761 
   183      -1222       75.348750            14.595108 
   184      -1221       75.352077            14.670458 
   185      -1220       75.355404            14.745812 
   186      -1219       75.358731            14.821169 
   187      -1218       75.362058            14.896530 
   188      -1217       75.365385            14.971893 
   189      -1216       75.368712            15.047260 
   190      -1215       75.372039            15.122631 
   191      -1214       75.375366            15.198005 
   192      -1213       75.378693            15.273382 
   193      -1212       75.382020            15.348762 
   194      -1211       75.385347            15.424146 
   195      -1210       75.388674            15.499533 
   196      -1209       75.392001            15.574923 
   197      -1208       75.395328            15.650317 
   198      -1207       75.398655            15.725714 
   199      -1206       75.401982            15.801114 
   200      -1205       75.405309            15.876518 
   201      -1204       75.408636            15.951925 
   202      -1203       75.411963            16.027335 
   203      -1202       75.415290            16.102748 
   204      -1201       75.418617            16.178165 
   205      -1200       75.421944            16.253586 
   206      -1199       75.425272            16.329009 
   207      -1198       75.428599            16.404436 
   208      -1197       75.431926            16.479866 
   209      -1196       75.435253            16.555300 
   210      -1195       75.438580            16.630737 
   211      -1194       75.441907            16.706177 
   212      -1193       75.445234            16.781621 
   213      -1192       75.448561            16.857068 
   214      -1191       75.451888            16.932518 
   215      -1190       75.455215            17.007971 
   216      -1189       75.458542            17.083428 
   217      -1188       75.461869            17.158889 
   218      -1187       75.465196            17.234352 
   219      -1186       75.468523            17.309819 
   220      -1185       75.471851            17.385289 
   221      -1184       75.475178            17.460763 
   222      -1183       75.478505            17.536240 
   223      -1182       75.481832            17.611720 
   224      -1181       75.485159            17.687203 
   225      -1180       75.488486            17.762690 
   226      -1179       75.491813            17.838180 
   227      -1178       75.495140            17.913674 
   228      -1177       75.498467            17.989170 
   229      -1176       75.501795            18.064671 
   230      -1175       75.505122            18.140174 
   231      -1174       75.508449            18.215681 
   232      -1173       75.511776            18.291191 
   233      -1172       75.515103            18.366704 
   234      -1171       75.518430            18.442221 
   235      -1170       75.521757            18.517741 
   236      -1169       75.525084            18.593265 
   237      -1168       75.528412            18.668791 
   238      -1167       75.531739            18.744321 
   239      -1166       75.535066            18.819855 
   240      -1165       75.538393            18.895392 
   241      -1164       75.541720            18.970932 
   242      -1163       75.545047            19.046475 
   243      -1162       75.548374            19.122022 
   244      -1161       75.551702            19.197572 
   245      -1160       75.555029            19.273125 
   246      -1159       75.558356            19.348682 
   247      -1158       75.561683            19.424242 
   248      -1157       75.565010            19.499805 
   249      -1156       75.568337            19.575372 
   250      -1155       75.571665            19.650942 
   251      -1154       75.574992            19.726515 
   252      -1153       75.578319            19.802092 
   253      -1152       75.581646            19.877672 
   254      -1151       75.584973            19.953255 
   255      -1150       75.588300            20.028842 
   256      -1149       75.591628            20.104432 
   257      -1148       75.594955            20.180025 
   258      -1147       75.598282            20.255622 
   259      -1146       75.601609            20.331222 
   260      -1145       75.604936            20.406825 
   261      -1144       75.608264            20.482431 
   262      -1143       75.611591            20.558041 
   263      -1142       75.614918            20.633655 
   264      -1141       75.618245            20.709271 
   265      -1140       75.621572            20.784891 
   266      -1139       75.624900            20.860514 
   267      -1138       75.628227            20.936141 
   268      -1137       75.631554            21.011771 
   269      -1136       75.634881            21.087404 
   270      -1135       75.638208            21.163041 
   271      -1134       75.641536            21.238680 
   272      -1133       75.644863            21.314324 
   273      -1132       75.648190            21.389970 
   274      -1131       75.651517            21.465620 
   275      -1130       75.654845            21.541273 
   276      -1129       75.658172            21.616930 
   277      -1128       75.661499            21.692590 
   278      -1127       75.664826            21.768253 
   279      -1126       75.668154            21.843919 
   280      -1125       75.671481            21.919589 
   281      -1124       75.674808            21.995262 
   282      -1123       75.678135            22.070939 
   283      -1122       75.681463            22.146618 
   284      -1121       75.684790            22.222302 
   285      -1120       75.688117            22.297988 
   286      -1119       75.691444            22.373678 
   287      -1118       75.694772            22.449371 
   288      -1117       75.698099            22.525067 
   289      -1116       75.701426            22.600767 
   290      -1115       75.704753            22.676470 
   291      -1114       75.708081            22.752177 
   292      -1113       75.711408            22.827886 
   293      -1112       75.714735            22.903599 
   294      -1111       75.718063            22.979316 
   295      -1110       75.721390            23.055036 
   296      -1109       75.724717            23.130759 
   297      -1108       75.728044            23.206485 
   298      -1107       75.731372            23.282215 
   299      -1106       75.734699            23.357948 
   300      -1105       75.738026            23.433684 
   301      -1104       75.741354            23.509424 
