      3294.1177,	       7524.4241,	      -1476.6087 ; 		 //plane 0 point @1 
     -2660.0403,	       7447.9299,	      -1470.1994 ; 		 //plane 0 point @2 
     -2610.5106,	      -5052.9514,	      -1439.2300 ; 		 //plane 0 point @3 
      3364.8176,	      -5043.4850,	      -1445.4952 ; 		 //plane 0 point @4 
      3294.1177,	       7524.4241,	      -1476.6087 ; 		 //plane 0 point @5 
      3293.7553,	       7588.8422,	       7819.2810 ; 		 //plane 1 point @6 
     -2078.1950,	       7519.9985,	       7849.6987 ; 		 //plane 1 point @7 
     -2010.5200,	      -5052.0008,	       7867.4623 ; 		 //plane 1 point @8 
      3364.8176,	      -5043.4850,	       7837.1125 ; 		 //plane 1 point @9 
      3293.7553,	       7588.8422,	       7819.2810 ; 		 //plane 1 point @10 
     -2660.0403,	       7447.9299,	      -1470.1994 ; 		 //plane 2 point @11 
      3294.1177,	       7524.4241,	      -1476.6087 ; 		 //plane 2 point @12 
      3293.7553,	       7588.8422,	       7819.2810 ; 		 //plane 2 point @13 
     -2078.1950,	       7519.9985,	       7849.6987 ; 		 //plane 2 point @14 
     -2828.1106,	       7499.6906,	       6310.3625 ; 		 //plane 2 point @15 
     -2856.6209,	       7451.0889,	       -649.7492 ; 		 //plane 2 point @16 
     -2660.0403,	       7447.9299,	      -1470.1994 ; 		 //plane 2 point @17 
      3294.1177,	       7524.4241,	      -1476.6087 ; 		 //plane 3 point @18 
      3364.8176,	      -5043.4850,	      -1445.4952 ; 		 //plane 3 point @19 
      3364.8176,	      -5043.4850,	       7837.1125 ; 		 //plane 3 point @20 
      3293.7553,	       7588.8422,	       7819.2810 ; 		 //plane 3 point @21 
      3294.1177,	       7524.4241,	      -1476.6087 ; 		 //plane 3 point @22 
     -2610.5106,	      -5052.9514,	      -1439.2300 ; 		 //plane 4 point @23 
      3364.8176,	      -5043.4850,	      -1445.4952 ; 		 //plane 4 point @24 
      3364.8176,	      -5043.4850,	       7837.1125 ; 		 //plane 4 point @25 
     -2010.5200,	      -5052.0008,	       7867.4623 ; 		 //plane 4 point @26 
     -2761.4099,	      -5053.1904,	       6326.3104 ; 		 //plane 4 point @27 
     -2790.4036,	      -5053.2364,	       -688.3671 ; 		 //plane 4 point @28 
     -2610.5106,	      -5052.9514,	      -1439.2300 ; 		 //plane 4 point @29 
     -2660.0403,	       7447.9299,	      -1470.1994 ; 		 //plane 5 point @30 
     -2610.5106,	      -5052.9514,	      -1439.2300 ; 		 //plane 5 point @31 
     -2790.4036,	      -5053.2364,	       -688.3671 ; 		 //plane 5 point @32 
     -2856.6209,	       7451.0889,	       -649.7492 ; 		 //plane 5 point @33 
     -2660.0403,	       7447.9299,	      -1470.1994 ; 		 //plane 5 point @34 
     -2856.6209,	       7451.0889,	       -649.7492 ; 		 //plane 6 point @35 
     -2790.4036,	      -5053.2364,	       -688.3671 ; 		 //plane 6 point @36 
     -2761.4099,	      -5053.1904,	       6326.3104 ; 		 //plane 6 point @37 
     -2828.1106,	       7499.6906,	       6310.3625 ; 		 //plane 6 point @38 
     -2856.6209,	       7451.0889,	       -649.7492 ; 		 //plane 6 point @39 
     -2828.1106,	       7499.6906,	       6310.3625 ; 		 //plane 7 point @40 
     -2761.4099,	      -5053.1904,	       6326.3104 ; 		 //plane 7 point @41 
     -2010.5200,	      -5052.0008,	       7867.4623 ; 		 //plane 7 point @42 
     -2078.1950,	       7519.9985,	       7849.6987 ; 		 //plane 7 point @43 
     -2828.1106,	       7499.6906,	       6310.3625 ; 		 //plane 7 point @44 
