     -2950.6678,	       6936.6617,	      -1430.4361 ; 		 //plane 0 point @1 
      2993.7884,	       6934.7292,	      -1462.7507 ; 		 //plane 0 point @2 
      3036.2546,	      -5620.5410,	      -1402.6315 ; 		 //plane 0 point @3 
     -2903.0767,	      -5633.7755,	      -1370.2719 ; 		 //plane 0 point @4 
     -2950.6678,	       6936.6617,	      -1430.4361 ; 		 //plane 0 point @5 
     -2950.8562,	       6986.4191,	       7852.6606 ; 		 //plane 1 point @6 
      2418.2158,	       6984.7243,	       7832.9402 ; 		 //plane 1 point @7 
      2453.6937,	      -5621.8391,	       7885.1019 ; 		 //plane 1 point @8 
     -2903.0767,	      -5633.7755,	       7904.8336 ; 		 //plane 1 point @9 
     -2950.8562,	       6986.4191,	       7852.6606 ; 		 //plane 1 point @10 
      2993.7884,	       6934.7292,	      -1462.7507 ; 		 //plane 2 point @11 
     -2950.6678,	       6936.6617,	      -1430.4361 ; 		 //plane 2 point @12 
     -2950.8562,	       6986.4191,	       7852.6606 ; 		 //plane 2 point @13 
      2418.2158,	       6984.7243,	       7832.9402 ; 		 //plane 2 point @14 
      3206.8219,	       6976.0724,	       6262.3216 ; 		 //plane 2 point @15 
      3196.6823,	       6938.8138,	       -689.4901 ; 		 //plane 2 point @16 
      2993.7884,	       6934.7292,	      -1462.7507 ; 		 //plane 2 point @17 
     -2950.6678,	       6936.6617,	      -1430.4361 ; 		 //plane 3 point @18 
     -2903.0767,	      -5633.7755,	      -1370.2719 ; 		 //plane 3 point @19 
     -2903.0767,	      -5633.7755,	       7904.8336 ; 		 //plane 3 point @20 
     -2950.8562,	       6986.4191,	       7852.6606 ; 		 //plane 3 point @21 
     -2950.6678,	       6936.6617,	      -1430.4361 ; 		 //plane 3 point @22 
      3036.2546,	      -5620.5410,	      -1402.6315 ; 		 //plane 4 point @23 
     -2903.0767,	      -5633.7755,	      -1370.2719 ; 		 //plane 4 point @24 
     -2903.0767,	      -5633.7755,	       7904.8336 ; 		 //plane 4 point @25 
      2453.6937,	      -5621.8391,	       7885.1019 ; 		 //plane 4 point @26 
      3267.2030,	      -5620.0263,	       6264.7803 ; 		 //plane 4 point @27 
      3257.0720,	      -5620.0489,	       -561.0942 ; 		 //plane 4 point @28 
      3036.2546,	      -5620.5410,	      -1402.6315 ; 		 //plane 4 point @29 
      2993.7884,	       6934.7292,	      -1462.7507 ; 		 //plane 5 point @30 
      3036.2546,	      -5620.5410,	      -1402.6315 ; 		 //plane 5 point @31 
      3257.0720,	      -5620.0489,	       -561.0942 ; 		 //plane 5 point @32 
      3196.6823,	       6938.8138,	       -689.4901 ; 		 //plane 5 point @33 
      2993.7884,	       6934.7292,	      -1462.7507 ; 		 //plane 5 point @34 
      3196.6823,	       6938.8138,	       -689.4901 ; 		 //plane 6 point @35 
      3257.0720,	      -5620.0489,	       -561.0942 ; 		 //plane 6 point @36 
      3267.2030,	      -5620.0263,	       6264.7803 ; 		 //plane 6 point @37 
      3206.8219,	       6976.0724,	       6262.3216 ; 		 //plane 6 point @38 
      3196.6823,	       6938.8138,	       -689.4901 ; 		 //plane 6 point @39 
      3206.8219,	       6976.0724,	       6262.3216 ; 		 //plane 7 point @40 
      3267.2030,	      -5620.0263,	       6264.7803 ; 		 //plane 7 point @41 
      2453.6937,	      -5621.8391,	       7885.1019 ; 		 //plane 7 point @42 
      2418.2158,	       6984.7243,	       7832.9402 ; 		 //plane 7 point @43 
      3206.8219,	       6976.0724,	       6262.3216 ; 		 //plane 7 point @44 
