   Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
ADG             ,  359 59 58 ,   90 10 00,          0,      0.000,      0.000,            0,            0,          0
2               ,  256 39 48 ,   87 01 19,      2.624,      0.000,      0.000,       -2.550,       -0.604,      0.136
3               ,    7 13 08 ,  145 03 49,      1.714,      0.000,      0.000,        0.123,        0.974,     -1.405
4               ,    5 51 50 ,  145 03 49,      1.713,      0.000,      0.000,        0.100,        0.976,     -1.405
5               ,    9 29 26 ,  143 55 24,      1.737,      0.000,      0.000,        0.169,        1.009,     -1.404
6               ,    7 40 22 ,    7 03 15,      7.925,      0.000,      0.000,        0.130,        0.965,      7.865
7               ,    2 02 42 ,    7 03 15,      7.924,      0.000,      0.000,        0.035,        0.972,      7.864
8               ,    8 13 52 ,    7 57 20,      7.943,      0.000,      0.000,        0.157,        1.088,      7.866
9               ,  337 43 18 ,   99 58 25,      7.169,      0.000,      0.000,       -2.677,        6.534,     -1.242
10              ,  337 43 25 ,   88 54 15,      7.068,      0.000,      0.000,       -2.679,        6.539,      0.135
11              ,  337 43 23 ,   78 26 54,      7.216,      0.000,      0.000,       -2.680,        6.542,      1.445
12              ,  337 43 21 ,   72 40 17,      7.419,      0.000,      0.000,       -2.685,        6.554,      2.210
13              ,  337 43 20 ,   63 31 29,      7.916,      0.000,      0.000,       -2.686,        6.557,      3.529
14              ,  337 43 22 ,   56 13 01,      8.523,      0.000,      0.000,       -2.686,        6.556,      4.739
15              ,  337 43 19 ,   49 08 18,      9.373,      0.000,      0.000,       -2.687,        6.560,      6.132
16              ,  337 43 22 ,   43 53 57,     10.227,      0.000,      0.000,       -2.688,        6.562,      7.369
17              ,  339 13 36 ,   42 15 20,     10.431,      0.000,      0.000,       -2.488,        6.558,      7.720
18              ,  339 13 36 ,   47 27 46,      9.521,      0.000,      0.000,       -2.488,        6.560,      6.437
19              ,  339 13 36 ,   53 45 14,      8.693,      0.000,      0.000,       -2.486,        6.555,      5.140
20              ,  339 13 37 ,   60 15 29,      8.075,      0.000,      0.000,       -2.487,        6.555,      4.006
21              ,  339 13 39 ,   67 58 12,      7.559,      0.000,      0.000,       -2.485,        6.551,      2.835
