   Point ID     ,  Hz.(� ' "),  V.(� ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
7SVYM           ,    0 00 02 ,   90 09 57,          0,      0.000,      0.000,            0,            0,          0
2               ,   84 18 27 ,   90 00 41,      2.631,      0.000,      0.000,        2.618,        0.261,     -0.001
3               ,  349 22 03 ,  137 03 05,      1.748,      0.000,      0.000,       -0.220,        1.171,     -1.280
4               ,  349 22 04 ,  137 59 48,      1.723,      0.000,      0.000,       -0.213,        1.133,     -1.280
5               ,  350 51 24 ,  138 10 33,      1.716,      0.000,      0.000,       -0.182,        1.130,     -1.279
6               ,  347 15 27 ,    8 32 25,      8.098,      0.000,      0.000,       -0.265,        1.173,      8.009
7               ,  349 52 25 ,    7 51 36,      8.085,      0.000,      0.000,       -0.194,        1.088,      8.009
8               ,  354 24 34 ,    8 12 48,      8.091,      0.000,      0.000,       -0.113,        1.150,      8.008
9               ,  337 32 49 ,  100 28 30,      5.934,      0.000,      0.000,       -2.229,        5.393,     -1.079
10              ,  341 30 52 ,   94 40 54,      5.690,      0.000,      0.000,       -1.798,        5.379,     -0.464
11              ,  337 03 13 ,   87 31 29,      5.859,      0.000,      0.000,       -2.282,        5.391,      0.253
12              ,  341 46 06 ,   80 17 47,      5.742,      0.000,      0.000,       -1.771,        5.376,      0.968
13              ,  337 18 30 ,   72 50 15,      6.110,      0.000,      0.000,       -2.252,        5.386,      1.803
14              ,  341 21 33 ,   66 14 11,      6.200,      0.000,      0.000,       -1.814,        5.377,      2.499
15              ,  337 03 33 ,   59 29 12,      6.787,      0.000,      0.000,       -2.279,        5.384,      3.446
16              ,  341 31 37 ,   53 03 08,      7.091,      0.000,      0.000,       -1.796,        5.375,      4.262
17              ,  337 14 28 ,   47 08 49,      7.960,      0.000,      0.000,       -2.257,        5.381,      5.414
18              ,  341 22 24 ,   42 27 01,      8.398,      0.000,      0.000,       -1.810,        5.371,      6.197
19              ,  337 27 42 ,   39 26 29,      9.167,      0.000,      0.000,       -2.232,        5.379,      7.080
20              ,  341 27 59 ,   35 47 37,      9.691,      0.000,      0.000,       -1.802,        5.374,      7.861
21              ,  353 01 17 ,   34 22 06,      9.535,      0.000,      0.000,       -0.654,        5.343,      7.871
22              ,  357 46 39 ,   38 01 40,      8.683,      0.000,      0.000,       -0.207,        5.345,      6.840
23              ,  353 07 42 ,   41 12 31,      8.178,      0.000,      0.000,       -0.645,        5.349,      6.152
24              ,  358 13 57 ,   45 35 26,      7.489,      0.000,      0.000,       -0.165,        5.347,      5.241
25              ,  353 20 55 ,   49 16 48,      7.108,      0.000,      0.000,       -0.624,        5.351,      4.637
26              ,  357 51 18 ,   54 50 40,      6.550,      0.000,      0.000,       -0.200,        5.351,      3.771
27              ,  352 49 03 ,   59 46 27,      6.246,      0.000,      0.000,       -0.675,        5.355,      3.144
28              ,  358 18 03 ,   65 17 46,      5.896,      0.000,      0.000,       -0.159,        5.354,      2.464
29              ,  353 21 06 ,   73 23 06,      5.626,      0.000,      0.000,       -0.624,        5.355,      1.609
30              ,  357 43 22 ,   79 54 17,      5.445,      0.000,      0.000,       -0.213,        5.356,      0.954
31              ,  352 49 17 ,   85 17 35,      5.421,      0.000,      0.000,       -0.675,        5.360,      0.445
32              ,  357 36 42 ,   93 35 37,      5.379,      0.000,      0.000,       -0.224,        5.364,     -0.337
33              ,  353 02 21 ,  101 38 55,      5.522,      0.000,      0.000,       -0.655,        5.368,     -1.115
34              ,    9 22 27 ,  102 32 42,      5.570,      0.000,      0.000,        0.886,        5.364,     -1.210
35              ,   14 30 43 ,   94 31 13,      5.553,      0.000,      0.000,        1.387,        5.359,     -0.438
36              ,    9 17 12 ,   85 16 03,      5.443,      0.000,      0.000,        0.875,        5.354,      0.449
37              ,   14 59 29 ,   77 52 07,      5.664,      0.000,      0.000,        1.432,        5.349,      1.190
38              ,    9 16 00 ,   69 00 32,      5.802,      0.000,      0.000,        0.872,        5.346,      2.078
39              ,   14 37 31 ,   63 37 52,      6.162,      0.000,      0.000,        1.394,        5.342,      2.737
40              ,   10 00 40 ,   56 32 30,      6.503,      0.000,      0.000,        0.943,        5.343,      3.585
41              ,   14 33 30 ,   51 33 56,      7.041,      0.000,      0.000,        1.386,        5.338,      4.377
42              ,   10 19 43 ,   46 33 57,      7.466,      0.000,      0.000,        0.972,        5.334,      5.133
43              ,   15 24 39 ,   42 26 34,      8.188,      0.000,      0.000,        1.468,        5.327,      6.042
44              ,   10 30 46 ,   39 13 13,      8.571,      0.000,      0.000,        0.989,        5.328,      6.640
45              ,   14 22 11 ,   36 45 34,      9.182,      0.000,      0.000,        1.364,        5.323,      7.356
46              ,   10 44 48 ,   34 50 46,      9.488,      0.000,      0.000,        1.011,        5.326,      7.787
47              ,   25 27 50 ,   37 02 43,      9.758,      0.000,      0.000,        2.527,        5.307,      7.788
48              ,   28 52 37 ,   40 46 19,      9.314,      0.000,      0.000,        2.937,        5.326,      7.053
49              ,   25 41 44 ,   44 33 39,      8.416,      0.000,      0.000,        2.560,        5.321,      5.996
50              ,   28 36 13 ,   49 44 34,      7.968,      0.000,      0.000,        2.911,        5.339,      5.149
51              ,   25 15 17 ,   53 43 47,      7.303,      0.000,      0.000,        2.512,        5.325,      4.320
52              ,   29 04 53 ,   59 07 32,      7.113,      0.000,      0.000,        2.967,        5.335,      3.650
53              ,   25 06 54 ,   64 22 13,      6.537,      0.000,      0.000,        2.501,        5.336,      2.827
54              ,   28 29 41 ,   70 30 50,      6.453,      0.000,      0.000,        2.902,        5.346,      2.153
55              ,   25 19 26 ,   78 27 27,      6.028,      0.000,      0.000,        2.526,        5.338,      1.206
56              ,   28 57 09 ,   84 26 38,      6.133,      0.000,      0.000,        2.955,        5.341,      0.594
57              ,   24 56 31 ,   89 16 17,      5.895,      0.000,      0.000,        2.486,        5.345,      0.075
58              ,   28 19 03 ,   95 25 19,      6.098,      0.000,      0.000,        2.880,        5.344,     -0.576
59              ,   24 55 47 ,  101 32 43,      6.023,      0.000,      0.000,        2.487,        5.351,     -1.205
60              ,  334 40 24 ,  100 22 36,      6.909,      0.000,      0.000,       -2.907,        6.142,     -1.244
61              ,  335 44 29 ,   97 42 13,      6.814,      0.000,      0.000,       -2.774,        6.156,     -0.913
62              ,  333 41 12 ,   90 08 23,      6.880,      0.000,      0.000,       -3.050,        6.167,     -0.017
63              ,  335 49 41 ,   82 37 18,      6.809,      0.000,      0.000,       -2.765,        6.161,      0.874
64              ,  333 51 35 ,   74 35 07,      7.109,      0.000,      0.000,       -3.019,        6.152,      1.890
65              ,  335 33 34 ,   67 32 11,      7.315,      0.000,      0.000,       -2.797,        6.154,      2.795
66              ,  334 01 31 ,   62 08 26,      7.741,      0.000,      0.000,       -2.997,        6.153,      3.617
67              ,  335 50 43 ,   56 58 35,      8.031,      0.000,      0.000,       -2.755,        6.144,      4.377
