Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
 7777            ,    0 00 03 ,   88 19 34,          0,      0.000,      1.400,            0,            0,          0
2   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.94715,	   5.77837,	  -1.25229
3   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.02286,	   5.72351,	  -1.22410
4   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.92086,	  -4.45157,	  -1.35415
5   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.82730,	  -4.41506,	  -1.38150
6   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.00458,	  -1.39943,	  -1.34396
7   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.94715,	   5.77837,	  -1.25229
8   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.02142,	   5.57982,	   8.05512
9   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.40924,	   5.62925,	   8.05911
10   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.45820,	  -4.41740,	   7.93725
11   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.92086,	  -4.45157,	   7.93348
12   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.02142,	   5.57982,	   8.05512
13   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.94715,	   5.77837,	  -1.25229
14   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.02286,	   5.72351,	  -1.22410
15   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.02142,	   5.57982,	   8.05512
16   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.40924,	   5.62925,	   8.05911
17   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.14201,	   5.65957,	   6.53299
18   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.12936,	   5.76743,	  -0.43880
19   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.94715,	   5.77837,	  -1.25229
20   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.02286,	   5.72351,	  -1.22410
21   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.92086,	  -4.45157,	  -1.35415
22   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.92086,	  -4.45157,	   7.93348
23   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.02142,	   5.57982,	   8.05512
24   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.02286,	   5.72351,	  -1.22410
25   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.82730,	  -4.41506,	  -1.38150
26   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.92086,	  -4.45157,	  -1.35415
27   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.92086,	  -4.45157,	   7.93348
28   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.45820,	  -4.41740,	   7.93725
29   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.20618,	  -4.41265,	   6.37941
30   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.19560,	  -4.41272,	   0.20762
31   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.82730,	  -4.41506,	  -1.38150
32   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.94715,	   5.77837,	  -1.25229
