     -2947.1539,	       5778.3655,	      -1252.2798 ; 		 //plane 0 point @1 
      3030.4587,	       5723.4435,	      -1224.0807 ; 		 //plane 0 point @2 
      2928.5498,	      -4451.6156,	      -1354.1285 ; 		 //plane 0 point @3 
     -2827.3053,	      -4415.0577,	      -1381.4893 ; 		 //plane 0 point @4 
     -3004.5835,	      -1399.4285,	      -1343.9495 ; 		 //plane 0 point @5 
     -2947.1539,	       5778.3655,	      -1252.2798 ; 		 //plane 0 point @6 
      3029.0195,	       5579.7461,	       8055.1029 ; 		 //plane 1 point @7 
     -2409.1965,	       5629.2526,	       8059.1220 ; 		 //plane 1 point @8 
     -2458.1623,	      -4417.4023,	       7937.2574 ; 		 //plane 1 point @9 
      2928.5498,	      -4451.6156,	       7933.4562 ; 		 //plane 1 point @10 
      3029.0195,	       5579.7461,	       8055.1029 ; 		 //plane 1 point @11 
     -2947.1539,	       5778.3655,	      -1252.2798 ; 		 //plane 2 point @12 
      3030.4587,	       5723.4435,	      -1224.0807 ; 		 //plane 2 point @13 
      3029.0195,	       5579.7461,	       8055.1029 ; 		 //plane 2 point @14 
     -2409.1965,	       5629.2526,	       8059.1220 ; 		 //plane 2 point @15 
     -3141.9807,	       5659.5674,	       6533.0058 ; 		 //plane 2 point @16 
     -3129.3600,	       5767.4274,	       -438.7855 ; 		 //plane 2 point @17 
     -2947.1539,	       5778.3655,	      -1252.2798 ; 		 //plane 2 point @18 
      3030.4587,	       5723.4435,	      -1224.0807 ; 		 //plane 3 point @19 
      2928.5498,	      -4451.6156,	      -1354.1285 ; 		 //plane 3 point @20 
      2928.5498,	      -4451.6156,	       7933.4562 ; 		 //plane 3 point @21 
      3029.0195,	       5579.7461,	       8055.1029 ; 		 //plane 3 point @22 
      3030.4587,	       5723.4435,	      -1224.0807 ; 		 //plane 3 point @23 
     -2827.3053,	      -4415.0577,	      -1381.4893 ; 		 //plane 4 point @24 
      2928.5498,	      -4451.6156,	      -1354.1285 ; 		 //plane 4 point @25 
      2928.5498,	      -4451.6156,	       7933.4562 ; 		 //plane 4 point @26 
     -2458.1623,	      -4417.4023,	       7937.2574 ; 		 //plane 4 point @27 
     -3206.1507,	      -4412.6515,	       6379.4248 ; 		 //plane 4 point @28 
     -3195.5894,	      -4412.7186,	        207.6361 ; 		 //plane 4 point @29 
     -2827.3053,	      -4415.0577,	      -1381.4893 ; 		 //plane 4 point @30 
     -2947.1539,	       5778.3655,	      -1252.2798 ; 		 //plane 5 point @31 
     -3004.5835,	      -1399.4285,	      -1343.9495 ; 		 //plane 5 point @32 
     -3175.5277,	      -1488.5702,	       -584.5625 ; 		 //plane 5 point @33 
     -3129.3600,	       5767.4274,	       -438.7855 ; 		 //plane 5 point @34 
     -2947.1539,	       5778.3655,	      -1252.2798 ; 		 //plane 5 point @35 
     -3004.5835,	      -1399.4285,	      -1343.9495 ; 		 //plane 6 point @36 
     -2827.3053,	      -4415.0577,	      -1381.4893 ; 		 //plane 6 point @37 
     -3195.5894,	      -4412.7186,	        207.6361 ; 		 //plane 6 point @38 
     -3175.5277,	      -1488.5702,	       -584.5625 ; 		 //plane 6 point @39 
     -3004.5835,	      -1399.4285,	      -1343.9495 ; 		 //plane 6 point @40 
     -3175.5277,	      -1488.5702,	       -584.5625 ; 		 //plane 7 point @41 
     -3129.3600,	       5767.4274,	       -438.7855 ; 		 //plane 7 point @42 
     -3141.9807,	       5659.5674,	       6533.0058 ; 		 //plane 7 point @43 
     -3206.1507,	      -4412.6515,	       6379.4248 ; 		 //plane 7 point @44 
     -3195.5894,	      -4412.7186,	        207.6361 ; 		 //plane 7 point @45 
     -3175.5277,	      -1488.5702,	       -584.5625 ; 		 //plane 7 point @46 
     -3141.9807,	       5659.5674,	       6533.0058 ; 		 //plane 8 point @47 
     -3206.1507,	      -4412.6515,	       6379.4248 ; 		 //plane 8 point @48 
     -2458.1623,	      -4417.4023,	       7937.2574 ; 		 //plane 8 point @49 
     -2409.1965,	       5629.2526,	       8059.1220 ; 		 //plane 8 point @50 
     -3141.9807,	       5659.5674,	       6533.0058 ; 		 //plane 8 point @51 
