     -2947.1539,	       5778.3656,	      -1252.2915 ; 		 //plane 0 point @1 
      3022.8609,	       5723.5132,	      -1224.1029 ; 		 //plane 0 point @2 
      2920.8576,	      -4451.5668,	      -1354.1515 ; 		 //plane 0 point @3 
     -2827.3050,	      -4415.0576,	      -1381.5002 ; 		 //plane 0 point @4 
     -3004.5833,	      -1399.4284,	      -1343.9613 ; 		 //plane 0 point @5 
     -2947.1539,	       5778.3656,	      -1252.2915 ; 		 //plane 0 point @6 
      3021.4204,	       5579.8151,	       8055.1222 ; 		 //plane 1 point @7 
     -2409.2361,	       5629.2529,	       8059.1126 ; 		 //plane 1 point @8 
     -2458.2017,	      -4417.4020,	       7937.2480 ; 		 //plane 1 point @9 
      2920.8576,	      -4451.5668,	       7933.4752 ; 		 //plane 1 point @10 
      3021.4204,	       5579.8151,	       8055.1222 ; 		 //plane 1 point @11 
     -2947.1539,	       5778.3656,	      -1252.2915 ; 		 //plane 2 point @12 
      3022.8609,	       5723.5132,	      -1224.1029 ; 		 //plane 2 point @13 
      3021.4204,	       5579.8151,	       8055.1222 ; 		 //plane 2 point @14 
     -2409.2361,	       5629.2529,	       8059.1126 ; 		 //plane 2 point @15 
     -3142.0138,	       5659.5677,	       6532.9933 ; 		 //plane 2 point @16 
     -3129.3634,	       5767.4275,	       -438.7980 ; 		 //plane 2 point @17 
     -2947.1539,	       5778.3656,	      -1252.2915 ; 		 //plane 2 point @18 
      3022.8609,	       5723.5132,	      -1224.1029 ; 		 //plane 3 point @19 
      2920.8576,	      -4451.5668,	      -1354.1515 ; 		 //plane 3 point @20 
      2920.8576,	      -4451.5668,	       7933.4752 ; 		 //plane 3 point @21 
      3021.4204,	       5579.8151,	       8055.1222 ; 		 //plane 3 point @22 
      3022.8609,	       5723.5132,	      -1224.1029 ; 		 //plane 3 point @23 
     -2827.3050,	      -4415.0576,	      -1381.5002 ; 		 //plane 4 point @24 
      2920.8576,	      -4451.5668,	      -1354.1515 ; 		 //plane 4 point @25 
      2920.8576,	      -4451.5668,	       7933.4752 ; 		 //plane 4 point @26 
     -2458.2017,	      -4417.4020,	       7937.2480 ; 		 //plane 4 point @27 
     -3206.1835,	      -4412.6512,	       6379.4122 ; 		 //plane 4 point @28 
     -3195.5959,	      -4412.7185,	        207.6236 ; 		 //plane 4 point @29 
     -2827.3050,	      -4415.0576,	      -1381.5002 ; 		 //plane 4 point @30 
     -2947.1539,	       5778.3656,	      -1252.2915 ; 		 //plane 5 point @31 
     -3004.5833,	      -1399.4284,	      -1343.9613 ; 		 //plane 5 point @32 
     -3175.5308,	      -1488.5701,	       -584.5750 ; 		 //plane 5 point @33 
     -3129.3634,	       5767.4275,	       -438.7980 ; 		 //plane 5 point @34 
     -2947.1539,	       5778.3656,	      -1252.2915 ; 		 //plane 5 point @35 
     -3004.5833,	      -1399.4284,	      -1343.9613 ; 		 //plane 6 point @36 
     -2827.3050,	      -4415.0576,	      -1381.5002 ; 		 //plane 6 point @37 
     -3195.5959,	      -4412.7185,	        207.6236 ; 		 //plane 6 point @38 
     -3175.5308,	      -1488.5701,	       -584.5750 ; 		 //plane 6 point @39 
     -3004.5833,	      -1399.4284,	      -1343.9613 ; 		 //plane 6 point @40 
     -3175.5308,	      -1488.5701,	       -584.5750 ; 		 //plane 7 point @41 
     -3129.3634,	       5767.4275,	       -438.7980 ; 		 //plane 7 point @42 
     -3142.0138,	       5659.5677,	       6532.9933 ; 		 //plane 7 point @43 
     -3206.1835,	      -4412.6512,	       6379.4122 ; 		 //plane 7 point @44 
     -3195.5959,	      -4412.7185,	        207.6236 ; 		 //plane 7 point @45 
     -3175.5308,	      -1488.5701,	       -584.5750 ; 		 //plane 7 point @46 
     -3142.0138,	       5659.5677,	       6532.9933 ; 		 //plane 8 point @47 
     -3206.1835,	      -4412.6512,	       6379.4122 ; 		 //plane 8 point @48 
     -2458.2017,	      -4417.4020,	       7937.2480 ; 		 //plane 8 point @49 
     -2409.2361,	       5629.2529,	       8059.1126 ; 		 //plane 8 point @50 
     -3142.0138,	       5659.5677,	       6532.9933 ; 		 //plane 8 point @51 
