Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
 7777            ,    0 00 03 ,   88 19 34,          0,      0.000,      1.400,            0,            0,          0
2   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.94715,	   5.77837,	  -1.25226
3   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.04565,	   5.72330,	  -1.22404
4   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.94393,	  -4.45171,	  -1.35408
5   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.82731,	  -4.41506,	  -1.38147
6   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.00458,	  -1.39943,	  -1.34393
7   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.94715,	   5.77837,	  -1.25226
8   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.04422,	   5.57961,	   8.05506
9   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.40912,	   5.62925,	   8.05914
10   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.45808,	  -4.41740,	   7.93728
11   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.94393,	  -4.45171,	   7.93342
12   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.04422,	   5.57961,	   8.05506
13   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.94715,	   5.77837,	  -1.25226
14   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.04565,	   5.72330,	  -1.22404
15   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.04422,	   5.57961,	   8.05506
16   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.40912,	   5.62925,	   8.05914
17   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.14191,	   5.65957,	   6.53303
18   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.12935,	   5.76743,	  -0.43876
19   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.94715,	   5.77837,	  -1.25226
20   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.04565,	   5.72330,	  -1.22404
21   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.94393,	  -4.45171,	  -1.35408
22   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.94393,	  -4.45171,	   7.93342
23   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.04422,	   5.57961,	   8.05506
24   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.04565,	   5.72330,	  -1.22404
25   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.82731,	  -4.41506,	  -1.38147
26   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.94393,	  -4.45171,	  -1.35408
27   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.94393,	  -4.45171,	   7.93342
28   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.45808,	  -4.41740,	   7.93728
29   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.20609,	  -4.41265,	   6.37945
30   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.19558,	  -4.41272,	   0.20766
31   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.82731,	  -4.41506,	  -1.38147
32   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.94715,	   5.77837,	  -1.25226
33   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.00458,	  -1.39943,	  -1.34393
34   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.17552,	  -1.48857,	  -0.58454
35   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.12935,	   5.76743,	  -0.43876
36   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.94715,	   5.77837,	  -1.25226
37   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.00458,	  -1.39943,	  -1.34393
38   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.82731,	  -4.41506,	  -1.38147
39   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.19558,	  -4.41272,	   0.20766
40   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.17552,	  -1.48857,	  -0.58454
41   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.00458,	  -1.39943,	  -1.34393
42   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.17552,	  -1.48857,	  -0.58454
43   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.12935,	   5.76743,	  -0.43876
44   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.14191,	   5.65957,	   6.53303
45   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.20609,	  -4.41265,	   6.37945
46   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.19558,	  -4.41272,	   0.20766
47   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.17552,	  -1.48857,	  -0.58454
48   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.14191,	   5.65957,	   6.53303
49   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.20609,	  -4.41265,	   6.37945
50   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.45808,	  -4.41740,	   7.93728
51   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.40912,	   5.62925,	   8.05914
52   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.14191,	   5.65957,	   6.53303
