     -2947.1539,	       5778.3654,	      -1252.2563 ; 		 //plane 0 point @1 
      3045.6543,	       5723.3040,	      -1224.0366 ; 		 //plane 0 point @2 
      2943.9343,	      -4451.7131,	      -1354.0826 ; 		 //plane 0 point @3 
     -2827.3058,	      -4415.0578,	      -1381.4674 ; 		 //plane 0 point @4 
     -3004.5839,	      -1399.4286,	      -1343.9259 ; 		 //plane 0 point @5 
     -2947.1539,	       5778.3654,	      -1252.2563 ; 		 //plane 0 point @6 
      3044.2177,	       5579.6081,	       8055.0642 ; 		 //plane 1 point @7 
     -2409.1172,	       5629.2520,	       8059.1409 ; 		 //plane 1 point @8 
     -2458.0835,	      -4417.4029,	       7937.2762 ; 		 //plane 1 point @9 
      2943.9343,	      -4451.7131,	       7933.4182 ; 		 //plane 1 point @10 
      3044.2177,	       5579.6081,	       8055.0642 ; 		 //plane 1 point @11 
     -2947.1539,	       5778.3654,	      -1252.2563 ; 		 //plane 2 point @12 
      3045.6543,	       5723.3040,	      -1224.0366 ; 		 //plane 2 point @13 
      3044.2177,	       5579.6081,	       8055.0642 ; 		 //plane 2 point @14 
     -2409.1172,	       5629.2520,	       8059.1409 ; 		 //plane 2 point @15 
     -3141.9144,	       5659.5669,	       6533.0310 ; 		 //plane 2 point @16 
     -3129.3530,	       5767.4272,	       -438.7605 ; 		 //plane 2 point @17 
     -2947.1539,	       5778.3654,	      -1252.2563 ; 		 //plane 2 point @18 
      3045.6543,	       5723.3040,	      -1224.0366 ; 		 //plane 3 point @19 
      2943.9343,	      -4451.7131,	      -1354.0826 ; 		 //plane 3 point @20 
      2943.9343,	      -4451.7131,	       7933.4182 ; 		 //plane 3 point @21 
      3044.2177,	       5579.6081,	       8055.0642 ; 		 //plane 3 point @22 
      3045.6543,	       5723.3040,	      -1224.0366 ; 		 //plane 3 point @23 
     -2827.3058,	      -4415.0578,	      -1381.4674 ; 		 //plane 4 point @24 
      2943.9343,	      -4451.7131,	      -1354.0826 ; 		 //plane 4 point @25 
      2943.9343,	      -4451.7131,	       7933.4182 ; 		 //plane 4 point @26 
     -2458.0835,	      -4417.4029,	       7937.2762 ; 		 //plane 4 point @27 
     -3206.0852,	      -4412.6521,	       6379.4499 ; 		 //plane 4 point @28 
     -3195.5765,	      -4412.7188,	        207.6612 ; 		 //plane 4 point @29 
     -2827.3058,	      -4415.0578,	      -1381.4674 ; 		 //plane 4 point @30 
     -2947.1539,	       5778.3654,	      -1252.2563 ; 		 //plane 5 point @31 
     -3004.5839,	      -1399.4286,	      -1343.9259 ; 		 //plane 5 point @32 
     -3175.5217,	      -1488.5704,	       -584.5375 ; 		 //plane 5 point @33 
     -3129.3530,	       5767.4272,	       -438.7605 ; 		 //plane 5 point @34 
     -2947.1539,	       5778.3654,	      -1252.2563 ; 		 //plane 5 point @35 
     -3004.5839,	      -1399.4286,	      -1343.9259 ; 		 //plane 6 point @36 
     -2827.3058,	      -4415.0578,	      -1381.4674 ; 		 //plane 6 point @37 
     -3195.5765,	      -4412.7188,	        207.6612 ; 		 //plane 6 point @38 
     -3175.5217,	      -1488.5704,	       -584.5375 ; 		 //plane 6 point @39 
     -3004.5839,	      -1399.4286,	      -1343.9259 ; 		 //plane 6 point @40 
     -3175.5217,	      -1488.5704,	       -584.5375 ; 		 //plane 7 point @41 
     -3129.3530,	       5767.4272,	       -438.7605 ; 		 //plane 7 point @42 
     -3141.9144,	       5659.5669,	       6533.0310 ; 		 //plane 7 point @43 
     -3206.0852,	      -4412.6521,	       6379.4499 ; 		 //plane 7 point @44 
     -3195.5765,	      -4412.7188,	        207.6612 ; 		 //plane 7 point @45 
     -3175.5217,	      -1488.5704,	       -584.5375 ; 		 //plane 7 point @46 
     -3141.9144,	       5659.5669,	       6533.0310 ; 		 //plane 8 point @47 
     -3206.0852,	      -4412.6521,	       6379.4499 ; 		 //plane 8 point @48 
     -2458.0835,	      -4417.4029,	       7937.2762 ; 		 //plane 8 point @49 
     -2409.1172,	       5629.2520,	       8059.1409 ; 		 //plane 8 point @50 
     -3141.9144,	       5659.5669,	       6533.0310 ; 		 //plane 8 point @51 
