   Point ID     ,  Hz.(� ' "),  V.(� ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
ADG             ,    0 00 00 ,   89 24 07,          0,      0.000,      0.000,            0,            0,          0
2               ,  260 42 24 ,   86 52 31,      2.832,      0.000,      0.000,       -2.791,       -0.457,      0.154
3               ,  351 55 51 ,  145 37 05,      1.712,      0.000,      0.000,       -0.136,        0.957,     -1.413
4               ,  349 53 56 ,  144 35 03,      1.731,      0.000,      0.000,       -0.176,        0.988,     -1.411
5               ,  354 19 34 ,  144 39 19,      1.731,      0.000,      0.000,       -0.099,        0.996,     -1.412
6               ,  355 13 33 ,    6 26 38,      7.903,      0.000,      0.000,       -0.074,        0.884,      7.853
7               ,    3 44 55 ,    6 35 30,      7.906,      0.000,      0.000,        0.059,        0.906,      7.854
8               ,    1 37 39 ,    6 08 05,      7.899,      0.000,      0.000,        0.024,        0.844,      7.854
9               ,   21 28 29 ,  101 39 04,      5.634,      0.000,      0.000,        2.020,        5.135,     -1.138
10              ,   22 23 16 ,   88 02 29,      5.542,      0.000,      0.000,        2.110,        5.121,      0.189
11              ,   22 23 21 ,   76 00 35,      5.692,      0.000,      0.000,        2.104,        5.107,      1.376
12              ,   22 23 21 ,   64 57 07,      6.088,      0.000,      0.000,        2.101,        5.099,      2.577
13              ,   22 23 14 ,   54 43 49,      6.738,      0.000,      0.000,        2.095,        5.086,      3.891
14              ,   22 56 50 ,   46 31 49,      7.590,      0.000,      0.000,        2.148,        5.073,      5.222
15              ,   22 56 53 ,   39 49 50,      8.569,      0.000,      0.000,        2.140,        5.054,      6.581
16              ,   22 56 24 ,   35 44 54,      9.394,      0.000,      0.000,        2.139,        5.054,      7.624
17              ,   18 33 54 ,   35 06 49,      9.272,      0.000,      0.000,        1.698,        5.056,      7.585
18              ,   18 33 54 ,   40 55 13,      8.160,      0.000,      0.000,        1.702,        5.067,      6.166
19              ,   18 33 49 ,   48 12 52,      7.181,      0.000,      0.000,        1.705,        5.076,      4.785
20              ,   18 33 53 ,   56 07 04,      6.462,      0.000,      0.000,        1.708,        5.085,      3.602
21              ,   18 33 50 ,   66 04 40,      5.881,      0.000,      0.000,        1.711,        5.096,      2.385
22              ,   18 33 52 ,   75 34 03,      5.558,      0.000,      0.000,        1.714,        5.103,      1.385
23              ,   17 39 24 ,   86 30 57,      5.378,      0.000,      0.000,        1.628,        5.115,      0.327
24              ,   17 39 58 ,  101 39 32,      5.500,      0.000,      0.000,        1.635,        5.133,     -1.111
25              ,    5 56 46 ,  103 42 51,      5.319,      0.000,      0.000,        0.535,        5.140,     -1.261
26              ,    5 56 49 ,   89 56 54,      5.150,      0.000,      0.000,        0.534,        5.123,      0.005
27              ,    5 56 58 ,   76 24 03,      5.283,      0.000,      0.000,        0.532,        5.108,      1.242
28              ,    5 56 58 ,   65 46 36,      5.619,      0.000,      0.000,        0.531,        5.096,      2.305
29              ,    5 56 58 ,   57 33 32,      6.064,      0.000,      0.000,        0.530,        5.090,      3.253
30              ,    5 56 55 ,   49 32 16,      6.711,      0.000,      0.000,        0.529,        5.079,      4.355
31              ,    5 56 54 ,   42 15 35,      7.577,      0.000,      0.000,        0.528,        5.068,      5.608
32              ,    5 56 33 ,   33 23 21,      9.232,      0.000,      0.000,        0.526,        5.054,      7.709
33              ,    1 26 46 ,   33 23 29,      9.188,      0.000,      0.000,        0.128,        5.055,      7.671
34              ,    1 26 46 ,   39 16 02,      8.009,      0.000,      0.000,        0.128,        5.068,      6.201
35              ,    1 26 43 ,   48 00 03,      6.839,      0.000,      0.000,        0.128,        5.081,      4.576
36              ,    1 26 46 ,   57 43 12,      6.029,      0.000,      0.000,        0.129,        5.096,      3.220
37              ,    1 26 46 ,   67 46 18,      5.517,      0.000,      0.000,        0.129,        5.105,      2.087
38              ,    1 26 45 ,   78 28 49,      5.221,      0.000,      0.000,        0.129,        5.115,      1.043
39              ,    1 26 44 ,   90 04 56,      5.128,      0.000,      0.000,        0.129,        5.126,     -0.007
40              ,    1 26 47 ,  103 33 39,      5.291,      0.000,      0.000,        0.130,        5.142,     -1.241
41              ,  348 20 47 ,  102 13 09,      5.371,      0.000,      0.000,       -1.060,        5.141,     -1.137
42              ,  348 20 53 ,   90 47 30,      5.240,      0.000,      0.000,       -1.058,        5.132,     -0.072
43              ,  348 21 00 ,   78 02 21,      5.343,      0.000,      0.000,       -1.055,        5.119,      1.107
44              ,  348 20 59 ,   68 05 03,      5.624,      0.000,      0.000,       -1.054,        5.110,      2.099
45              ,  348 21 01 ,   59 40 07,      6.029,      0.000,      0.000,       -1.051,        5.096,      3.044
46              ,  348 21 00 ,   50 12 21,      6.756,      0.000,      0.000,       -1.048,        5.084,      4.324
47              ,  348 21 03 ,   43 30 19,      7.524,      0.000,      0.000,       -1.046,        5.073,      5.457
48              ,  348 21 01 ,   37 56 13,      8.406,      0.000,      0.000,       -1.043,        5.061,      6.629
49              ,  348 20 29 ,   33 55 48,      9.246,      0.000,      0.000,       -1.043,        5.055,      7.672
50              ,  343 54 55 ,   34 35 18,      9.264,      0.000,      0.000,       -1.457,        5.053,      7.626
51              ,  343 54 53 ,   40 27 31,      8.135,      0.000,      0.000,       -1.463,        5.072,      6.190
52              ,  343 54 54 ,   49 12 13,      6.999,      0.000,      0.000,       -1.468,        5.091,      4.573
53              ,  343 54 54 ,   58 05 37,      6.258,      0.000,      0.000,       -1.472,        5.105,      3.308
54              ,  343 54 54 ,   67 10 29,      5.777,      0.000,      0.000,       -1.475,        5.116,      2.241
55              ,  343 54 52 ,   77 59 59,      5.454,      0.000,      0.000,       -1.478,        5.126,      1.134
56              ,  343 54 53 ,   90 26 16,      5.348,      0.000,      0.000,       -1.482,        5.139,     -0.041
57              ,  343 54 59 ,  102 41 16,      5.489,      0.000,      0.000,       -1.484,        5.146,     -1.206
58              ,  332 22 17 ,  100 47 54,      5.912,      0.000,      0.000,       -2.693,        5.145,     -1.108
59              ,  332 22 19 ,   90 08 22,      5.798,      0.000,      0.000,       -2.688,        5.136,     -0.014
60              ,  332 22 25 ,   79 32 47,      5.882,      0.000,      0.000,       -2.682,        5.125,      1.067
61              ,  332 22 37 ,   67 28 12,      6.254,      0.000,      0.000,       -2.678,        5.118,      2.396
62              ,  332 22 36 ,   57 39 09,      6.823,      0.000,      0.000,       -2.672,        5.107,      3.650
63              ,  332 22 39 ,   47 51 06,      7.749,      0.000,      0.000,       -2.664,        5.091,      5.200
64              ,  332 22 36 ,   39 22 42,      9.024,      0.000,      0.000,       -2.654,        5.072,      6.975
65              ,  332 22 23 ,   36 34 53,      9.592,      0.000,      0.000,       -2.651,        5.065,      7.703
66              ,  330 48 58 ,   38 04 34,      9.436,      0.000,      0.000,       -2.837,        5.080,      7.428
67              ,  330 49 04 ,   44 18 26,      8.353,      0.000,      0.000,       -2.845,        5.094,      5.978
68              ,  330 49 05 ,   53 07 18,      7.314,      0.000,      0.000,       -2.853,        5.108,      4.389
69              ,  330 49 04 ,   62 44 56,      6.599,      0.000,      0.000,       -2.861,        5.122,      3.022
70              ,  330 49 04 ,   71 28 52,      6.195,      0.000,      0.000,       -2.864,        5.129,      1.968
71              ,  330 49 04 ,   80 29 15,      5.960,      0.000,      0.000,       -2.866,        5.132,      0.985
72              ,  330 49 03 ,   92 09 40,      5.894,      0.000,      0.000,       -2.872,        5.142,     -0.222
73              ,  330 49 08 ,  100 29 42,      5.998,      0.000,      0.000,       -2.876,        5.149,     -1.093
74              ,   24 22 37 ,  100 29 33,      6.579,      0.000,      0.000,        2.670,        5.892,     -1.198
