Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
 7777            ,    0 00 03 ,   88 19 34,          0,      0.000,      1.400,            0,            0,          0
2   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.75361,	   5.51526,	  -1.38484
3   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.18397,	   5.53324,	  -1.38713
4   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.23573,	  -4.62770,	  -1.47220
5   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.57599,	  -4.66145,	  -1.47011
6   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.74580,	  -1.85127,	  -1.44651
7   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.75361,	   5.51526,	  -1.38484
8   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.18461,	   5.40631,	   7.89489
9   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.14428,	   5.39030,	   7.88797
10   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.13362,	  -4.65888,	   7.81378
11   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.23573,	  -4.62770,	   7.82086
12   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.18461,	   5.40631,	   7.89489
13   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.75361,	   5.51526,	  -1.38484
14   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.18397,	   5.53324,	  -1.38713
15   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.18461,	   5.40631,	   7.89489
16   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.14428,	   5.39030,	   7.88797
17   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.95847,	   5.40944,	   6.30839
18   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.97320,	   5.50317,	  -0.54959
19   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.75361,	   5.51526,	  -1.38484
20   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.18397,	   5.53324,	  -1.38713
21   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.23573,	  -4.62770,	  -1.47220
22   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.23573,	  -4.62770,	   7.82086
23   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.18461,	   5.40631,	   7.89489
24   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.18397,	   5.53324,	  -1.38713
25   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.57599,	  -4.66145,	  -1.47011
26   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.23573,	  -4.62770,	  -1.47220
27   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.23573,	  -4.62770,	   7.82086
28   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.13362,	  -4.65888,	   7.81378
29   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.92610,	  -4.66349,	   6.27609
30   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.93917,	  -4.66356,	   0.06360
31   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.57599,	  -4.66145,	  -1.47011
32   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.75361,	   5.51526,	  -1.38484
33   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.74580,	  -1.85127,	  -1.44651
34   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.95086,	  -1.51016,	  -0.66498
35   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.97320,	   5.50317,	  -0.54959
36   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.75361,	   5.51526,	  -1.38484
37   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.74580,	  -1.85127,	  -1.44651
38   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.57599,	  -4.66145,	  -1.47011
39   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.93917,	  -4.66356,	   0.06360
40   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.95086,	  -1.51016,	  -0.66498
41   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.74580,	  -1.85127,	  -1.44651
42   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.95086,	  -1.51016,	  -0.66498
43   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.97320,	   5.50317,	  -0.54959
44   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.95847,	   5.40944,	   6.30839
45   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.92610,	  -4.66349,	   6.27609
46   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.93917,	  -4.66356,	   0.06360
47   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.95086,	  -1.51016,	  -0.66498
48   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.95847,	   5.40944,	   6.30839
49   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.92610,	  -4.66349,	   6.27609
50   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.13362,	  -4.65888,	   7.81378
51   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.14428,	   5.39030,	   7.88797
52   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.95847,	   5.40944,	   6.30839
