      2753.6129,	       5515.2565,	      -1384.8362 ; 		 //plane 0 point @1 
     -3176.3248,	       5533.2152,	      -1387.1308 ; 		 //plane 0 point @2 
     -3228.0994,	      -4627.7443,	      -1472.2094 ; 		 //plane 0 point @3 
      2575.9933,	      -4661.4521,	      -1470.0984 ; 		 //plane 0 point @4 
      2745.7967,	      -1851.2692,	      -1446.5044 ; 		 //plane 0 point @5 
      2753.6129,	       5515.2565,	      -1384.8362 ; 		 //plane 0 point @6 
     -3176.9715,	       5406.2901,	       7894.8725 ; 		 //plane 1 point @7 
      2144.2602,	       5390.2973,	       7887.9771 ; 		 //plane 1 point @8 
      2133.5964,	      -4658.8829,	       7813.7856 ; 		 //plane 1 point @9 
     -3228.0994,	      -4627.7443,	       7820.8444 ; 		 //plane 1 point @10 
     -3176.9715,	       5406.2901,	       7894.8725 ; 		 //plane 1 point @11 
      2753.6129,	       5515.2565,	      -1384.8362 ; 		 //plane 2 point @12 
     -3176.3248,	       5533.2152,	      -1387.1308 ; 		 //plane 2 point @13 
     -3176.9715,	       5406.2901,	       7894.8725 ; 		 //plane 2 point @14 
      2144.2602,	       5390.2973,	       7887.9771 ; 		 //plane 2 point @15 
      2958.4472,	       5409.4359,	       6308.3985 ; 		 //plane 2 point @16 
      2973.1963,	       5503.1709,	       -549.5843 ; 		 //plane 2 point @17 
      2753.6129,	       5515.2565,	      -1384.8362 ; 		 //plane 2 point @18 
     -3176.3248,	       5533.2152,	      -1387.1308 ; 		 //plane 3 point @19 
     -3228.0994,	      -4627.7443,	      -1472.2094 ; 		 //plane 3 point @20 
     -3228.0994,	      -4627.7443,	       7820.8444 ; 		 //plane 3 point @21 
     -3176.9715,	       5406.2901,	       7894.8725 ; 		 //plane 3 point @22 
     -3176.3248,	       5533.2152,	      -1387.1308 ; 		 //plane 3 point @23 
      2575.9933,	      -4661.4521,	      -1470.0984 ; 		 //plane 4 point @24 
     -3228.0994,	      -4627.7443,	      -1472.2094 ; 		 //plane 4 point @25 
     -3228.0994,	      -4627.7443,	       7820.8444 ; 		 //plane 4 point @26 
      2133.5964,	      -4658.8829,	       7813.7856 ; 		 //plane 4 point @27 
      2926.0798,	      -4663.4853,	       6276.0941 ; 		 //plane 4 point @28 
      2939.1670,	      -4663.5613,	         63.6047 ; 		 //plane 4 point @29 
      2575.9933,	      -4661.4521,	      -1470.0984 ; 		 //plane 4 point @30 
      2753.6129,	       5515.2565,	      -1384.8362 ; 		 //plane 5 point @31 
      2745.7967,	      -1851.2692,	      -1446.5044 ; 		 //plane 5 point @32 
      2950.8561,	      -1510.1558,	       -664.9714 ; 		 //plane 5 point @33 
      2973.1963,	       5503.1709,	       -549.5843 ; 		 //plane 5 point @34 
      2753.6129,	       5515.2565,	      -1384.8362 ; 		 //plane 5 point @35 
      2745.7967,	      -1851.2692,	      -1446.5044 ; 		 //plane 6 point @36 
      2575.9933,	      -4661.4521,	      -1470.0984 ; 		 //plane 6 point @37 
      2939.1670,	      -4663.5613,	         63.6047 ; 		 //plane 6 point @38 
      2950.8561,	      -1510.1558,	       -664.9714 ; 		 //plane 6 point @39 
      2745.7967,	      -1851.2692,	      -1446.5044 ; 		 //plane 6 point @40 
      2950.8561,	      -1510.1558,	       -664.9714 ; 		 //plane 7 point @41 
      2973.1963,	       5503.1709,	       -549.5843 ; 		 //plane 7 point @42 
      2958.4472,	       5409.4359,	       6308.3985 ; 		 //plane 7 point @43 
      2926.0798,	      -4663.4853,	       6276.0941 ; 		 //plane 7 point @44 
      2939.1670,	      -4663.5613,	         63.6047 ; 		 //plane 7 point @45 
      2950.8561,	      -1510.1558,	       -664.9714 ; 		 //plane 7 point @46 
      2958.4472,	       5409.4359,	       6308.3985 ; 		 //plane 8 point @47 
      2926.0798,	      -4663.4853,	       6276.0941 ; 		 //plane 8 point @48 
      2133.5964,	      -4658.8829,	       7813.7856 ; 		 //plane 8 point @49 
      2144.2602,	       5390.2973,	       7887.9771 ; 		 //plane 8 point @50 
      2958.4472,	       5409.4359,	       6308.3985 ; 		 //plane 8 point @51 
