The data.txt and guide.txt are CORRECT. 
All planes of the figure were successfully generated. 
The figure were rotated to anpha = beta = 0. 
All segments belong the Figure were identified SUCCESSFULLY. 
All segments belong the Figure were identified SUCCESSFULLY. 
Position      Area(m2)          Volume(m3)
   -59      -1472        0.007199             0.000004 
   -58      -1471        0.240150             0.000127 
   -57      -1470        0.799893             0.000647 
   -56      -1469        1.493586             0.001794 
   -55      -1468        2.188094             0.003635 
   -54      -1467        2.883418             0.006171 
   -53      -1466        3.579556             0.009402 
   -52      -1465        4.276510             0.013330 
   -51      -1464        4.974279             0.017956 
   -50      -1463        5.672864             0.023279 
   -49      -1462        6.372264             0.029302 
   -48      -1461        7.072479             0.036024 
   -47      -1460        7.773509             0.043447 
   -46      -1459        8.475354             0.051571 
   -45      -1458        9.178015             0.060398 
   -44      -1457        9.881491             0.069928 
   -43      -1456       10.585782             0.080162 
   -42      -1455       11.290889             0.091100 
   -41      -1454       11.996811             0.102744 
   -40      -1453       12.703548             0.115094 
   -39      -1452       13.411100             0.128151 
   -38      -1451       14.119468             0.141917 
   -37      -1450       14.828650             0.156391 
   -36      -1449       15.538648             0.171574 
   -35      -1448       16.249462             0.187468 
   -34      -1447       16.961090             0.204074 
   -33      -1446       17.673427             0.221391 
   -32      -1445       18.385842             0.239420 
   -31      -1444       19.098230             0.258162 
   -30      -1443       19.810592             0.277617 
   -29      -1442       20.522928             0.297784 
   -28      -1441       21.235238             0.318663 
   -27      -1440       21.947521             0.340254 
   -26      -1439       22.659779             0.362558 
   -25      -1438       23.372010             0.385574 
   -24      -1437       24.084215             0.409302 
   -23      -1436       24.796394             0.433742 
   -22      -1435       25.508546             0.458895 
   -21      -1434       26.220673             0.484759 
   -20      -1433       26.932773             0.511336 
   -19      -1432       27.644847             0.538625 
   -18      -1431       28.356896             0.566626 
   -17      -1430       29.068917             0.595338 
   -16      -1429       29.780913             0.624763 
   -15      -1428       30.492883             0.654900 
   -14      -1427       31.204826             0.685749 
   -13      -1426       31.916743             0.717310 
   -12      -1425       32.628634             0.749583 
   -11      -1424       33.340499             0.782567 
   -10      -1423       34.052338             0.816264 
    -9      -1422       34.764151             0.850672 
    -8      -1421       35.475937             0.885792 
    -7      -1420       36.187697             0.921624 
    -6      -1419       36.899431             0.958167 
    -5      -1418       37.611139             0.995423 
    -4      -1417       38.322821             1.033390 
    -3      -1416       39.034476             1.072068 
    -2      -1415       39.746106             1.111458 
    -1      -1414       40.457709             1.151560 
     0      -1413       41.169286             1.192374 
     1      -1412       41.880837             1.233899 
     2      -1411       42.592362             1.276136 
     3      -1410       43.303860             1.319084 
     4      -1409       44.015333             1.362743 
     5      -1408       44.726779             1.407114 
     6      -1407       45.438199             1.452197 
     7      -1406       46.149593             1.497991 
     8      -1405       46.860961             1.544496 
     9      -1404       47.572302             1.591713 
    10      -1403       48.283618             1.639641 
    11      -1402       48.994907             1.688280 
    12      -1401       49.706170             1.737630 
    13      -1400       50.417407             1.787692 
    14      -1399       51.128618             1.838465 
    15      -1398       51.839802             1.889949 
    16      -1397       52.550961             1.942145 
    17      -1396       53.262093             1.995051 
    18      -1395       53.973199             2.048669 
    19      -1394       54.684279             2.102998 
    20      -1393       55.395333             2.158037 
    21      -1392       56.106360             2.213788 
    22      -1391       56.817362             2.270250 
    23      -1390       57.528337             2.327423 
    24      -1389       58.239286             2.385307 
    25      -1388       58.950209             2.443902 
    26      -1387       59.658465             2.503206 
    27      -1386       60.174618             2.563122 
    28      -1385       60.382061             2.623401 
    29      -1384       60.388723             2.683786 
    30      -1383       60.391243             2.744176 
    31      -1382       60.393763             2.804569 
    32      -1381       60.396284             2.864964 
    33      -1380       60.398804             2.925361 
    34      -1379       60.401324             2.985761 
    35      -1378       60.403845             3.046164 
    36      -1377       60.406365             3.106569 
    37      -1376       60.408885             3.166977 
    38      -1375       60.411405             3.227387 
    39      -1374       60.413925             3.287799 
    40      -1373       60.416446             3.348215 
    41      -1372       60.418966             3.408632 
    42      -1371       60.421486             3.469053 
    43      -1370       60.424006             3.529475 
    44      -1369       60.426526             3.589901 
    45      -1368       60.429046             3.650328 
    46      -1367       60.431566             3.710759 
    47      -1366       60.434087             3.771191 
    48      -1365       60.436607             3.831627 
    49      -1364       60.439127             3.892065 
    50      -1363       60.441647             3.952505 
    51      -1362       60.444167             4.012948 
    52      -1361       60.446687             4.073393 
    53      -1360       60.449207             4.133841 
    54      -1359       60.451726             4.194292 
    55      -1358       60.454246             4.254745 
    56      -1357       60.456766             4.315200 
    57      -1356       60.459286             4.375658 
    58      -1355       60.461806             4.436119 
    59      -1354       60.464326             4.496582 
    60      -1353       60.466846             4.557048 
    61      -1352       60.469366             4.617516 
    62      -1351       60.471885             4.677986 
    63      -1350       60.474405             4.738459 
    64      -1349       60.476925             4.798935 
    65      -1348       60.479445             4.859413 
    66      -1347       60.481964             4.919894 
    67      -1346       60.484484             4.980377 
    68      -1345       60.487004             5.040863 
    69      -1344       60.489523             5.101351 
    70      -1343       60.492043             5.161842 
    71      -1342       60.494563             5.222335 
    72      -1341       60.497082             5.282831 
    73      -1340       60.499602             5.343329 
    74      -1339       60.502121             5.403830 
    75      -1338       60.504641             5.464334 
    76      -1337       60.507160             5.524840 
    77      -1336       60.509680             5.585348 
    78      -1335       60.512199             5.645859 
    79      -1334       60.514719             5.706372 
    80      -1333       60.517238             5.766888 
    81      -1332       60.519758             5.827407 
    82      -1331       60.522277             5.887928 
    83      -1330       60.524797             5.948451 
    84      -1329       60.527316             6.008978 
    85      -1328       60.529835             6.069506 
    86      -1327       60.532355             6.130037 
    87      -1326       60.534874             6.190571 
    88      -1325       60.537393             6.251107 
    89      -1324       60.539913             6.311646 
    90      -1323       60.542432             6.372187 
    91      -1322       60.544951             6.432730 
    92      -1321       60.547470             6.493277 
    93      -1320       60.549990             6.553825 
    94      -1319       60.552509             6.614377 
    95      -1318       60.555028             6.674930 
    96      -1317       60.557547             6.735487 
    97      -1316       60.560066             6.796045 
    98      -1315       60.562585             6.856607 
    99      -1314       60.565105             6.917171 
   100      -1313       60.567624             6.977737 
   101      -1312       60.570143             7.038306 
   102      -1311       60.572662             7.098877 
   103      -1310       60.575181             7.159451 
   104      -1309       60.577700             7.220028 
   105      -1308       60.580219             7.280607 
   106      -1307       60.582738             7.341188 
   107      -1306       60.585257             7.401772 
   108      -1305       60.587776             7.462359 
   109      -1304       60.590295             7.522948 
   110      -1303       60.592813             7.583539 
   111      -1302       60.595332             7.644133 
   112      -1301       60.597851             7.704730 
   113      -1300       60.600370             7.765329 
   114      -1299       60.602889             7.825931 
   115      -1298       60.605408             7.886535 
   116      -1297       60.607927             7.947141 
   117      -1296       60.610445             8.007751 
   118      -1295       60.612964             8.068362 
   119      -1294       60.615483             8.128977 
   120      -1293       60.618002             8.189593 
   121      -1292       60.620520             8.250213 
   122      -1291       60.623039             8.310834 
   123      -1290       60.625558             8.371459 
   124      -1289       60.628076             8.432085 
   125      -1288       60.630595             8.492715 
   126      -1287       60.633113             8.553347 
   127      -1286       60.635632             8.613981 
   128      -1285       60.638151             8.674618 
   129      -1284       60.640669             8.735257 
   130      -1283       60.643188             8.795899 
   131      -1282       60.645706             8.856544 
   132      -1281       60.648225             8.917191 
   133      -1280       60.650743             8.977840 
   134      -1279       60.653262             9.038492 
   135      -1278       60.655780             9.099147 
   136      -1277       60.658299             9.159804 
   137      -1276       60.660817             9.220463 
   138      -1275       60.663335             9.281125 
   139      -1274       60.665854             9.341790 
   140      -1273       60.668372             9.402457 
   141      -1272       60.670890             9.463127 
   142      -1271       60.673409             9.523799 
   143      -1270       60.675927             9.584473 
   144      -1269       60.678445             9.645151 
   145      -1268       60.680964             9.705830 
   146      -1267       60.683482             9.766513 
   147      -1266       60.686000             9.827197 
   148      -1265       60.688518             9.887885 
   149      -1264       60.691036             9.948574 
   150      -1263       60.693555            10.009267 
