Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
 7777            ,    0 00 03 ,   88 19 34,          0,      0.000,      1.400,            0,            0,          0
2   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.75361,	   5.51526,	  -1.38484
3   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.17632,	   5.53322,	  -1.38713
4   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.22810,	  -4.62774,	  -1.47221
5   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.57599,	  -4.66145,	  -1.47010
6   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.74580,	  -1.85127,	  -1.44650
7   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.75361,	   5.51526,	  -1.38484
8   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.17697,	   5.40629,	   7.89487
9   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.14426,	   5.39030,	   7.88798
10   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.13360,	  -4.65888,	   7.81379
11   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.22810,	  -4.62774,	   7.82084
12   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.17697,	   5.40629,	   7.89487
13   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.75361,	   5.51526,	  -1.38484
14   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.17632,	   5.53322,	  -1.38713
15   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.17697,	   5.40629,	   7.89487
16   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.14426,	   5.39030,	   7.88798
17   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.95845,	   5.40944,	   6.30840
18   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.97320,	   5.50317,	  -0.54958
19   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.75361,	   5.51526,	  -1.38484
20   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.17632,	   5.53322,	  -1.38713
21   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.22810,	  -4.62774,	  -1.47221
22   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.22810,	  -4.62774,	   7.82084
23   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.17697,	   5.40629,	   7.89487
24   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.17632,	   5.53322,	  -1.38713
25   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.57599,	  -4.66145,	  -1.47010
26   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.22810,	  -4.62774,	  -1.47221
27   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.22810,	  -4.62774,	   7.82084
28   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.13360,	  -4.65888,	   7.81379
29   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.92608,	  -4.66349,	   6.27609
30   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.93917,	  -4.66356,	   0.06360
31   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.57599,	  -4.66145,	  -1.47010
32   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.75361,	   5.51526,	  -1.38484
33   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.74580,	  -1.85127,	  -1.44650
34   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.95086,	  -1.51016,	  -0.66497
35   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.97320,	   5.50317,	  -0.54958
