      2753.6130,	       5515.2565,	      -1384.8437 ; 		 //plane 0 point @1 
     -3183.9677,	       5533.2383,	      -1387.1257 ; 		 //plane 0 point @2 
     -3235.7264,	      -4627.7001,	      -1472.2041 ; 		 //plane 0 point @3 
      2575.9931,	      -4661.4521,	      -1470.1056 ; 		 //plane 0 point @4 
      2745.7966,	      -1851.2692,	      -1446.5120 ; 		 //plane 0 point @5 
      2753.6130,	       5515.2565,	      -1384.8437 ; 		 //plane 0 point @6 
     -3184.6142,	       5406.3130,	       7894.8905 ; 		 //plane 1 point @7 
      2144.2846,	       5390.2972,	       7887.9711 ; 		 //plane 1 point @8 
      2133.6206,	      -4658.8830,	       7813.7795 ; 		 //plane 1 point @9 
     -3235.7264,	      -4627.7001,	       7820.8625 ; 		 //plane 1 point @10 
     -3184.6142,	       5406.3130,	       7894.8905 ; 		 //plane 1 point @11 
      2753.6130,	       5515.2565,	      -1384.8437 ; 		 //plane 2 point @12 
     -3183.9677,	       5533.2383,	      -1387.1257 ; 		 //plane 2 point @13 
     -3184.6142,	       5406.3130,	       7894.8905 ; 		 //plane 2 point @14 
      2144.2846,	       5390.2972,	       7887.9711 ; 		 //plane 2 point @15 
      2958.4674,	       5409.4358,	       6308.3905 ; 		 //plane 2 point @16 
      2973.1986,	       5503.1710,	       -549.5924 ; 		 //plane 2 point @17 
      2753.6130,	       5515.2565,	      -1384.8437 ; 		 //plane 2 point @18 
     -3183.9677,	       5533.2383,	      -1387.1257 ; 		 //plane 3 point @19 
     -3235.7264,	      -4627.7001,	      -1472.2041 ; 		 //plane 3 point @20 
     -3235.7264,	      -4627.7001,	       7820.8625 ; 		 //plane 3 point @21 
     -3184.6142,	       5406.3130,	       7894.8905 ; 		 //plane 3 point @22 
     -3183.9677,	       5533.2383,	      -1387.1257 ; 		 //plane 3 point @23 
      2575.9931,	      -4661.4521,	      -1470.1056 ; 		 //plane 4 point @24 
     -3235.7264,	      -4627.7001,	      -1472.2041 ; 		 //plane 4 point @25 
     -3235.7264,	      -4627.7001,	       7820.8625 ; 		 //plane 4 point @26 
      2133.6206,	      -4658.8830,	       7813.7795 ; 		 //plane 4 point @27 
      2926.1000,	      -4663.4854,	       6276.0860 ; 		 //plane 4 point @28 
      2939.1709,	      -4663.5613,	         63.5965 ; 		 //plane 4 point @29 
      2575.9931,	      -4661.4521,	      -1470.1056 ; 		 //plane 4 point @30 
      2753.6130,	       5515.2565,	      -1384.8437 ; 		 //plane 5 point @31 
      2745.7966,	      -1851.2692,	      -1446.5120 ; 		 //plane 5 point @32 
      2950.8580,	      -1510.1558,	       -664.9796 ; 		 //plane 5 point @33 
      2973.1986,	       5503.1710,	       -549.5924 ; 		 //plane 5 point @34 
      2753.6130,	       5515.2565,	      -1384.8437 ; 		 //plane 5 point @35 
      2745.7966,	      -1851.2692,	      -1446.5120 ; 		 //plane 6 point @36 
      2575.9931,	      -4661.4521,	      -1470.1056 ; 		 //plane 6 point @37 
      2939.1709,	      -4663.5613,	         63.5965 ; 		 //plane 6 point @38 
      2950.8580,	      -1510.1558,	       -664.9796 ; 		 //plane 6 point @39 
      2745.7966,	      -1851.2692,	      -1446.5120 ; 		 //plane 6 point @40 
      2950.8580,	      -1510.1558,	       -664.9796 ; 		 //plane 7 point @41 
      2973.1986,	       5503.1710,	       -549.5924 ; 		 //plane 7 point @42 
      2958.4674,	       5409.4358,	       6308.3905 ; 		 //plane 7 point @43 
      2926.1000,	      -4663.4854,	       6276.0860 ; 		 //plane 7 point @44 
      2939.1709,	      -4663.5613,	         63.5965 ; 		 //plane 7 point @45 
      2950.8580,	      -1510.1558,	       -664.9796 ; 		 //plane 7 point @46 
      2958.4674,	       5409.4358,	       6308.3905 ; 		 //plane 8 point @47 
      2926.1000,	      -4663.4854,	       6276.0860 ; 		 //plane 8 point @48 
      2133.6206,	      -4658.8830,	       7813.7795 ; 		 //plane 8 point @49 
      2144.2846,	       5390.2972,	       7887.9711 ; 		 //plane 8 point @50 
      2958.4674,	       5409.4358,	       6308.3905 ; 		 //plane 8 point @51 
