   Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
ADG             ,    0 00 00 ,   89 57 22,          0,      0.000,      0.000,            0,            0,          0
2               ,  171 37 48 ,   55 00 11,      2.709,      0.000,      0.000,        0.323,       -2.196,      1.554
3               ,  189 46 30 ,   54 17 09,      2.648,      0.000,      0.000,       -0.365,       -2.119,      1.546
4               ,  201 46 06 ,   55 02 36,      2.693,      0.000,      0.000,       -0.819,       -2.050,      1.543
5               ,  212 11 14 ,   56 50 58,      2.788,      0.000,      0.000,       -1.243,       -1.976,      1.525
6               ,  206 10 27 ,   62 26 25,      3.272,      0.000,      0.000,       -1.280,       -2.603,      1.514
7               ,  197 09 36 ,   61 41 58,      3.208,      0.000,      0.000,       -0.833,       -2.699,      1.521
8               ,  174 58 01 ,   61 29 56,      3.222,      0.000,      0.000,        0.248,       -2.820,      1.537
9               ,  187 19 25 ,   65 45 27,      3.671,      0.000,      0.000,       -0.427,       -3.320,      1.507
10              ,  185 37 34 ,   66 06 57,      3.724,      0.000,      0.000,       -0.334,       -3.389,      1.508
11              ,  219 21 09 ,   51 22 42,      2.634,      0.000,      0.000,       -1.305,       -1.591,      1.644
12              ,  217 47 23 ,   44 36 12,      2.903,      0.000,      0.000,       -1.249,       -1.611,      2.067
13              ,  199 18 35 ,   40 57 13,      2.724,      0.000,      0.000,       -0.590,       -1.685,      2.057
14              ,  199 18 37 ,   47 10 41,      2.417,      0.000,      0.000,       -0.586,       -1.673,      1.643
15              ,  175 38 55 ,   40 34 26,      2.717,      0.000,      0.000,        0.134,       -1.762,      2.064
16              ,  171 56 15 ,   46 36 08,      2.458,      0.000,      0.000,        0.250,       -1.768,      1.688
17              ,  173 20 54 ,   43 24 35,      2.586,      0.000,      0.000,        0.206,       -1.765,      1.879
18              ,  196 59 56 ,   43 23 05,      2.566,      0.000,      0.000,       -0.515,       -1.686,      1.865
19              ,  215 45 09 ,   47 21 29,      2.700,      0.000,      0.000,       -1.160,       -1.612,      1.829
20              ,  215 45 05 ,   40 08 48,      2.934,      0.000,      0.000,       -1.105,       -1.535,      2.243
21              ,  198 04 48 ,   37 37 22,      2.833,      0.000,      0.000,       -0.537,       -1.644,      2.244
22              ,  241 06 15 ,   36 44 02,      2.843,      0.000,      0.000,       -1.488,       -0.822,      2.278
23              ,  225 05 36 ,   22 26 39,      2.485,      0.000,      0.000,       -0.672,       -0.670,      2.297
24              ,  215 29 31 ,   27 52 08,      2.586,      0.000,      0.000,       -0.702,       -0.984,      2.286
25              ,  203 02 58 ,   18 19 26,      2.422,      0.000,      0.000,       -0.298,       -0.701,      2.299
26              ,  197 28 41 ,   24 58 51,      2.525,      0.000,      0.000,       -0.320,       -1.017,      2.289
27              ,  151 52 23 ,   21 49 55,      2.494,      0.000,      0.000,        0.437,       -0.818,      2.315
28              ,  153 42 37 ,   28 09 25,      2.616,      0.000,      0.000,        0.547,       -1.107,      2.306
29              ,  271 59 10 ,   28 02 36,      2.614,      0.000,      0.000,       -1.228,        0.043,      2.307
30              ,  265 32 55 ,   14 03 39,      2.370,      0.000,      0.000,       -0.574,       -0.045,      2.299
31              ,  220 18 57 ,   11 53 12,      2.350,      0.000,      0.000,       -0.313,       -0.369,      2.300
