Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
 7777            ,    0 00 03 ,   88 19 34,          0,      0.000,      1.400,            0,            0,          0
2   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.36000,	   0.76801,	  -1.22475
3   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.40214,	  -3.49611,	  -1.18116
4   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.45700,	  -3.50177,	  -1.18157
5   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.93020,	   0.59826,	  -1.23393
6   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -0.36000,	   0.76801,	  -1.22475
7   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.38407,	  -1.52472,	   1.62303
8   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.29812,	  -3.32082,	   1.60135
9   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.45700,	  -3.50177,	   1.59034
10   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.65889,	  -1.75253,	   1.61001
11   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.38407,	  -1.52472,	   1.62303
12   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.57398,	  -1.50899,	   2.33242
13   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.38407,	  -1.52472,	   1.62303
14   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.65889,	  -1.75253,	   1.61001
15   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   0.65827,	  -1.75787,	   2.31240
16   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.57398,	  -1.50899,	   2.33242
