      -360.0035,	        768.0114,	      -1224.7485 ; 		 //plane 0 point @1 
       402.1424,	      -3496.1109,	      -1181.1633 ; 		 //plane 0 point @2 
       457.0047,	      -3501.7672,	      -1181.5721 ; 		 //plane 0 point @3 
       930.1956,	        598.2619,	      -1233.9300 ; 		 //plane 0 point @4 
      -360.0035,	        768.0114,	      -1224.7485 ; 		 //plane 0 point @5 
     -1384.0691,	      -1524.7189,	       1623.0342 ; 		 //plane 1 point @6 
     -1298.1160,	      -3320.8152,	       1601.3547 ; 		 //plane 1 point @7 
       457.0047,	      -3501.7672,	       1590.3426 ; 		 //plane 1 point @8 
       658.8871,	      -1752.5291,	       1610.0130 ; 		 //plane 1 point @9 
     -1384.0691,	      -1524.7189,	       1623.0342 ; 		 //plane 1 point @10 
     -1573.9757,	      -1508.9921,	       2332.4157 ; 		 //plane 2 point @11 
     -1384.0691,	      -1524.7189,	       1623.0342 ; 		 //plane 2 point @12 
       658.8871,	      -1752.5291,	       1610.0130 ; 		 //plane 2 point @13 
       658.2712,	      -1757.8654,	       2312.3967 ; 		 //plane 2 point @14 
     -1573.9757,	      -1508.9921,	       2332.4157 ; 		 //plane 2 point @15 
     -1693.1989,	        955.4854,	       2366.9780 ; 		 //plane 3 point @16 
     -1573.9757,	      -1508.9921,	       2332.4157 ; 		 //plane 3 point @17 
       658.2712,	      -1757.8654,	       2312.3967 ; 		 //plane 3 point @18 
       931.5653,	        610.1304,	       2342.7184 ; 		 //plane 3 point @19 
     -1693.1989,	        955.4854,	       2366.9780 ; 		 //plane 3 point @20 
      -360.0035,	        768.0114,	      -1224.7485 ; 		 //plane 4 point @21 
       930.1956,	        598.2619,	      -1233.9300 ; 		 //plane 4 point @22 
       931.5653,	        610.1304,	       2342.7184 ; 		 //plane 4 point @23 
     -1693.1989,	        955.4854,	       2366.9780 ; 		 //plane 4 point @24 
      -961.7122,	        850.0829,	       -357.9325 ; 		 //plane 4 point @25 
      -830.5243,	        831.9191,	       -627.1258 ; 		 //plane 4 point @26 
      -360.0035,	        768.0114,	      -1224.7485 ; 		 //plane 4 point @27 
       930.1956,	        598.2619,	      -1233.9300 ; 		 //plane 5 point @28 
       457.0047,	      -3501.7672,	      -1181.5721 ; 		 //plane 5 point @29 
       457.0047,	      -3501.7672,	       1590.3426 ; 		 //plane 5 point @30 
       658.8871,	      -1752.5291,	       1610.0130 ; 		 //plane 5 point @31 
       658.2712,	      -1757.8654,	       2312.3967 ; 		 //plane 5 point @32 
       931.5653,	        610.1304,	       2342.7184 ; 		 //plane 5 point @33 
       930.1956,	        598.2619,	      -1233.9300 ; 		 //plane 5 point @34 
       402.1424,	      -3496.1109,	      -1181.1633 ; 		 //plane 6 point @35 
       457.0047,	      -3501.7672,	      -1181.5721 ; 		 //plane 6 point @36 
       457.0047,	      -3501.7672,	       1590.3426 ; 		 //plane 6 point @37 
     -1298.1160,	      -3320.8152,	       1601.3547 ; 		 //plane 6 point @38 
     -1236.9853,	      -3327.1177,	       1373.2135 ; 		 //plane 6 point @39 
      -650.7269,	      -3387.5606,	        164.4950 ; 		 //plane 6 point @40 
       402.1424,	      -3496.1109,	      -1181.1633 ; 		 //plane 6 point @41 
      -360.0035,	        768.0114,	      -1224.7485 ; 		 //plane 7 point @42 
       402.1424,	      -3496.1109,	      -1181.1633 ; 		 //plane 7 point @43 
      -650.7269,	      -3387.5606,	        164.4950 ; 		 //plane 7 point @44 
      -830.5243,	        831.9191,	       -627.1258 ; 		 //plane 7 point @45 
      -360.0035,	        768.0114,	      -1224.7485 ; 		 //plane 7 point @46 
      -830.5243,	        831.9191,	       -627.1258 ; 		 //plane 8 point @47 
      -650.7269,	      -3387.5606,	        164.4950 ; 		 //plane 8 point @48 
     -1236.9853,	      -3327.1177,	       1373.2135 ; 		 //plane 8 point @49 
      -961.7122,	        850.0829,	       -357.9325 ; 		 //plane 8 point @50 
      -830.5243,	        831.9191,	       -627.1258 ; 		 //plane 8 point @51 
      -961.7122,	        850.0829,	       -357.9325 ; 		 //plane 9 point @52 
     -1236.9853,	      -3327.1177,	       1373.2135 ; 		 //plane 9 point @53 
     -1298.1160,	      -3320.8152,	       1601.3547 ; 		 //plane 9 point @54 
     -1384.0691,	      -1524.7189,	       1623.0342 ; 		 //plane 9 point @55 
     -1573.9757,	      -1508.9921,	       2332.4157 ; 		 //plane 9 point @56 
     -1693.1989,	        955.4854,	       2366.9780 ; 		 //plane 9 point @57 
      -961.7122,	        850.0829,	       -357.9325 ; 		 //plane 9 point @58 
