The data.txt and guide.txt are CORRECT. 
All planes of the figure were successfully generated. 
The figure were rotated to anpha = beta = 0. 
All segments belong the Figure were identified SUCCESSFULLY. 
All segments belong the Figure were identified SUCCESSFULLY. 
Position      Area(m2)          Volume(m3)
    -4      -1233        0.004831             0.000002 
    -3      -1232        0.020806             0.000015 
    -2      -1231        0.047953             0.000050 
    -1      -1230        0.086271             0.000117 
     0      -1229        0.135761             0.000228 
     1      -1228        0.196422             0.000394 
     2      -1227        0.268254             0.000626 
     3      -1226        0.351258             0.000936 
     4      -1225        0.445434             0.001334 
     5      -1224        0.547041             0.001831 
     6      -1223        0.646893             0.002427 
     7      -1222        0.744565             0.003123 
     8      -1221        0.840060             0.003916 
     9      -1220        0.933376             0.004802 
    10      -1219        1.024514             0.005781 
    11      -1218        1.113474             0.006850 
    12      -1217        1.200255             0.008007 
    13      -1216        1.284858             0.009250 
    14      -1215        1.367283             0.010576 
    15      -1214        1.447529             0.011983 
    16      -1213        1.525597             0.013470 
    17      -1212        1.601487             0.015033 
    18      -1211        1.675198             0.016672 
    19      -1210        1.746731             0.018382 
    20      -1209        1.816085             0.020164 
    21      -1208        1.883261             0.022014 
    22      -1207        1.948259             0.023929 
    23      -1206        2.011079             0.025909 
    24      -1205        2.071720             0.027950 
    25      -1204        2.130183             0.030051 
    26      -1203        2.186467             0.032210 
    27      -1202        2.240574             0.034423 
    28      -1201        2.292501             0.036690 
    29      -1200        2.342251             0.039007 
    30      -1199        2.389822             0.041373 
    31      -1198        2.435215             0.043786 
    32      -1197        2.478429             0.046242 
    33      -1196        2.519465             0.048741 
    34      -1195        2.558323             0.051280 
    35      -1194        2.595003             0.053857 
    36      -1193        2.629504             0.056469 
    37      -1192        2.661827             0.059115 
    38      -1191        2.691971             0.061792 
    39      -1190        2.719937             0.064498 
    40      -1189        2.745725             0.067231 
    41      -1188        2.769334             0.069988 
    42      -1187        2.790765             0.072768 
    43      -1186        2.810018             0.075569 
