   Point ID     ,  Hz.(� ' "),  V.(� ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
ADG             ,  359 59 56 ,   90 10 45,          0,      0.000,      0.000,            0,            0,          0
2               ,    0 00 05 ,   90 10 39,      1.752,      0.000,      0.000,        0.000,        1.752,     -0.005
3               ,  183 00 46 ,  146 50 27,      1.512,      0.000,      0.000,       -0.043,       -0.826,     -1.266
4               ,  303 29 33 ,  133 48 49,      1.356,      0.000,      0.000,       -0.816,        0.540,     -0.938
5               ,  350 17 16 ,  120 47 14,      2.023,      0.000,      0.000,       -0.293,        1.713,     -1.036
6               ,  125 53 48 ,  122 07 29,      1.098,      0.000,      0.000,        0.753,       -0.545,     -0.584
7               ,   16 01 21 ,  121 16 49,      2.145,      0.000,      0.000,        0.506,        1.762,     -1.114
8               ,   16 01 24 ,  100 24 23,      1.874,      0.000,      0.000,        0.509,        1.772,     -0.338
9               ,   16 01 32 ,   85 48 10,      1.853,      0.000,      0.000,        0.510,        1.776,      0.136
10              ,   16 01 32 ,   74 04 23,      1.929,      0.000,      0.000,        0.512,        1.782,      0.529
11              ,   16 01 33 ,   56 53 43,      2.224,      0.000,      0.000,        0.514,        1.791,      1.215
12              ,   16 01 27 ,   47 13 18,      2.548,      0.000,      0.000,        0.516,        1.797,      1.730
13              ,   16 00 57 ,   41 13 28,      2.842,      0.000,      0.000,        0.517,        1.800,      2.138
14              ,  354 31 01 ,   39 54 23,      2.781,      0.000,      0.000,       -0.171,        1.776,      2.134
15              ,  354 31 01 ,   50 02 02,      2.313,      0.000,      0.000,       -0.169,        1.765,      1.486
16              ,  354 31 03 ,   59 39 33,      2.045,      0.000,      0.000,       -0.169,        1.757,      1.033
17              ,  354 31 03 ,   72 59 25,      1.841,      0.000,      0.000,       -0.168,        1.752,      0.539
18              ,  354 31 03 ,   94 41 12,      1.755,      0.000,      0.000,       -0.167,        1.741,     -0.143
19              ,  354 30 50 ,  116 52 34,      1.944,      0.000,      0.000,       -0.166,        1.726,     -0.879
20              ,  354 30 03 ,  123 30 28,      2.072,      0.000,      0.000,       -0.166,        1.720,     -1.144
21              ,  330 36 51 ,  121 09 14,      2.257,      0.000,      0.000,       -0.948,        1.683,     -1.167
22              ,  330 36 52 ,  110 17 56,      2.066,      0.000,      0.000,       -0.951,        1.689,     -0.717
23              ,  330 36 52 ,   99 54 19,      1.978,      0.000,      0.000,       -0.956,        1.698,     -0.340
24              ,  330 36 58 ,   87 06 13,      1.961,      0.000,      0.000,       -0.961,        1.707,      0.099
25              ,  330 37 02 ,   75 00 59,      2.035,      0.000,      0.000,       -0.964,        1.713,      0.526
26              ,  330 37 00 ,   62 24 58,      2.224,      0.000,      0.000,       -0.967,        1.717,      1.030
27              ,  330 37 04 ,   53 55 41,      2.448,      0.000,      0.000,       -0.971,        1.724,      1.441
28              ,  330 37 08 ,   45 35 12,      2.729,      0.000,      0.000,       -0.956,        1.699,      1.910
29              ,  330 06 19 ,   42 35 05,      2.936,      0.000,      0.000,       -0.990,        1.723,      2.162
30              ,  319 27 53 ,   47 07 32,      3.024,      0.000,      0.000,       -1.441,        1.685,      2.058
31              ,  319 27 41 ,   57 24 56,      2.693,      0.000,      0.000,       -1.475,        1.725,      1.451
