       686.4680,	       1769.9079,	      -1216.1586 ; 		 //plane 0 point @1 
     -1220.9554,	       1670.7551,	      -1219.0293 ; 		 //plane 0 point @2 
     -1034.5780,	        852.2132,	      -1233.0779 ; 		 //plane 0 point @3 
      -428.2966,	      -1278.2791,	      -1269.5702 ; 		 //plane 0 point @4 
       922.9987,	      -1196.9804,	      -1267.3453 ; 		 //plane 0 point @5 
       686.4680,	       1769.9079,	      -1216.1586 ; 		 //plane 0 point @6 
       688.0419,	       1750.1665,	       2378.4921 ; 		 //plane 1 point @7 
     -1759.2981,	       1622.8919,	       2384.8824 ; 		 //plane 1 point @8 
     -1464.0984,	      -1340.5967,	       2334.9611 ; 		 //plane 1 point @9 
       922.9987,	      -1196.9804,	       2329.0494 ; 		 //plane 1 point @10 
       688.0419,	       1750.1665,	       2378.4921 ; 		 //plane 1 point @11 
     -1220.9554,	       1670.7551,	      -1219.0293 ; 		 //plane 2 point @12 
       686.4680,	       1769.9079,	      -1216.1586 ; 		 //plane 2 point @13 
       688.0419,	       1750.1665,	       2378.4921 ; 		 //plane 2 point @14 
     -1759.2981,	       1622.8919,	       2384.8824 ; 		 //plane 2 point @15 
     -1565.2981,	       1649.1035,	       -539.2151 ; 		 //plane 2 point @16 
     -1567.5291,	       1648.8988,	       -523.1326 ; 		 //plane 2 point @17 
     -1220.9554,	       1670.7551,	      -1219.0293 ; 		 //plane 2 point @18 
       686.4680,	       1769.9079,	      -1216.1586 ; 		 //plane 3 point @19 
       922.9987,	      -1196.9804,	      -1267.3453 ; 		 //plane 3 point @20 
       922.9987,	      -1196.9804,	       2329.0494 ; 		 //plane 3 point @21 
       688.0419,	       1750.1665,	       2378.4921 ; 		 //plane 3 point @22 
       686.4680,	       1769.9079,	      -1216.1586 ; 		 //plane 3 point @23 
      -428.2966,	      -1278.2791,	      -1269.5702 ; 		 //plane 4 point @24 
       922.9987,	      -1196.9804,	      -1267.3453 ; 		 //plane 4 point @25 
       922.9987,	      -1196.9804,	       2329.0494 ; 		 //plane 4 point @26 
     -1464.0984,	      -1340.5967,	       2334.9611 ; 		 //plane 4 point @27 
     -1382.7533,	      -1335.7027,	       1117.8040 ; 		 //plane 4 point @28 
     -1067.8230,	      -1316.7553,	       -216.6031 ; 		 //plane 4 point @29 
      -428.2966,	      -1278.2791,	      -1269.5702 ; 		 //plane 4 point @30 
     -1034.5780,	        852.2132,	      -1233.0779 ; 		 //plane 5 point @31 
      -428.2966,	      -1278.2791,	      -1269.5702 ; 		 //plane 5 point @32 
     -1067.8230,	      -1316.7553,	       -216.6031 ; 		 //plane 5 point @33 
     -1090.6718,	      -1168.7845,	       -245.2651 ; 		 //plane 5 point @34 
     -1034.5780,	        852.2132,	      -1233.0779 ; 		 //plane 5 point @35 
     -1220.9554,	       1670.7551,	      -1219.0293 ; 		 //plane 6 point @36 
     -1034.5780,	        852.2132,	      -1233.0779 ; 		 //plane 6 point @37 
     -1118.3923,	      -2167.5245,	        242.8939 ; 		 //plane 6 point @38 
     -1567.5291,	       1648.8988,	       -523.1326 ; 		 //plane 6 point @39 
     -1220.9554,	       1670.7551,	      -1219.0293 ; 		 //plane 6 point @40 
     -1067.8230,	      -1316.7553,	       -216.6031 ; 		 //plane 7 point @41 
     -1543.4909,	       1763.7117,	       -813.2907 ; 		 //plane 7 point @42 
     -1695.0195,	       4007.0212,	      -2063.6650 ; 		 //plane 7 point @43 
     -1382.7533,	      -1335.7027,	       1117.8040 ; 		 //plane 7 point @44 
     -1067.8230,	      -1316.7553,	       -216.6031 ; 		 //plane 7 point @45 
     -1567.5291,	       1648.8988,	       -523.1326 ; 		 //plane 8 point @46 
     -1492.9032,	       1014.7846,	       -395.8542 ; 		 //plane 8 point @47 
     -1695.0195,	       4007.0212,	      -2063.6650 ; 		 //plane 8 point @48 
     -1565.2981,	       1649.1035,	       -539.2151 ; 		 //plane 8 point @49 
     -1567.5291,	       1648.8988,	       -523.1326 ; 		 //plane 8 point @50 
     -1695.0195,	       4007.0212,	      -2063.6650 ; 		 //plane 9 point @51 
     -1382.7533,	      -1335.7027,	       1117.8040 ; 		 //plane 9 point @52 
     -1464.0984,	      -1340.5967,	       2334.9611 ; 		 //plane 9 point @53 
     -1759.2981,	       1622.8919,	       2384.8824 ; 		 //plane 9 point @54 
     -1565.2981,	       1649.1035,	       -539.2151 ; 		 //plane 9 point @55 
     -1695.0195,	       4007.0212,	      -2063.6650 ; 		 //plane 9 point @56 
