       686.4680,	       1769.9079,	      -1216.1586 ; 		 //plane 0 point @1 
     -1220.9554,	       1670.7551,	      -1219.0293 ; 		 //plane 0 point @2 
     -1034.5780,	        852.2132,	      -1233.0779 ; 		 //plane 0 point @3 
      -428.2966,	      -1278.2791,	      -1269.5702 ; 		 //plane 0 point @4 
       922.9987,	      -1196.9804,	      -1267.3453 ; 		 //plane 0 point @5 
       686.4680,	       1769.9079,	      -1216.1586 ; 		 //plane 0 point @6 
       688.0419,	       1750.1665,	       2378.4921 ; 		 //plane 1 point @7 
     -1759.2981,	       1622.8919,	       2384.8824 ; 		 //plane 1 point @8 
     -1464.0984,	      -1340.5967,	       2334.9611 ; 		 //plane 1 point @9 
       922.9987,	      -1196.9804,	       2329.0494 ; 		 //plane 1 point @10 
       688.0419,	       1750.1665,	       2378.4921 ; 		 //plane 1 point @11 
     -1220.9554,	       1670.7551,	      -1219.0293 ; 		 //plane 2 point @12 
       686.4680,	       1769.9079,	      -1216.1586 ; 		 //plane 2 point @13 
       688.0419,	       1750.1665,	       2378.4921 ; 		 //plane 2 point @14 
     -1759.2981,	       1622.8919,	       2384.8824 ; 		 //plane 2 point @15 
     -1569.7426,	       1648.5030,	       -472.2248 ; 		 //plane 2 point @16 
     -1556.0143,	       1649.6250,	       -546.2535 ; 		 //plane 2 point @17 
     -1220.9554,	       1670.7551,	      -1219.0293 ; 		 //plane 2 point @18 
       686.4680,	       1769.9079,	      -1216.1586 ; 		 //plane 3 point @19 
       922.9987,	      -1196.9804,	      -1267.3453 ; 		 //plane 3 point @20 
       922.9987,	      -1196.9804,	       2329.0494 ; 		 //plane 3 point @21 
       688.0419,	       1750.1665,	       2378.4921 ; 		 //plane 3 point @22 
       686.4680,	       1769.9079,	      -1216.1586 ; 		 //plane 3 point @23 
      -428.2966,	      -1278.2791,	      -1269.5702 ; 		 //plane 4 point @24 
       922.9987,	      -1196.9804,	      -1267.3453 ; 		 //plane 4 point @25 
       922.9987,	      -1196.9804,	       2329.0494 ; 		 //plane 4 point @26 
     -1464.0984,	      -1340.5967,	       2334.9611 ; 		 //plane 4 point @27 
     -1393.4326,	      -1336.3452,	       1277.5970 ; 		 //plane 4 point @28 
     -1136.3321,	      -1320.8771,	       -103.8043 ; 		 //plane 4 point @29 
      -428.2966,	      -1278.2791,	      -1269.5702 ; 		 //plane 4 point @30 
     -1034.5780,	        852.2132,	      -1233.0779 ; 		 //plane 5 point @31 
      -428.2966,	      -1278.2791,	      -1269.5702 ; 		 //plane 5 point @32 
     -1136.3321,	      -1320.8771,	       -103.8043 ; 		 //plane 5 point @33 
     -1102.5005,	      -1594.9612,	        -36.9606 ; 		 //plane 5 point @34 
     -1034.5780,	        852.2132,	      -1233.0779 ; 		 //plane 5 point @35 
     -1220.9554,	       1670.7551,	      -1219.0293 ; 		 //plane 6 point @36 
     -1034.5780,	        852.2132,	      -1233.0779 ; 		 //plane 6 point @37 
     -1102.5005,	      -1594.9612,	        -36.9606 ; 		 //plane 6 point @38 
     -1556.0143,	       1649.6250,	       -546.2535 ; 		 //plane 6 point @39 
     -1220.9554,	       1670.7551,	      -1219.0293 ; 		 //plane 6 point @40 
     -1102.5005,	      -1594.9612,	        -36.9606 ; 		 //plane 7 point @41 
     -1136.3321,	      -1320.8771,	       -103.8043 ; 		 //plane 7 point @42 
     -1393.4326,	      -1336.3452,	       1277.5970 ; 		 //plane 7 point @43 
     -1569.7426,	       1648.5030,	       -472.2248 ; 		 //plane 7 point @44 
     -1556.0143,	       1649.6250,	       -546.2535 ; 		 //plane 7 point @45 
     -1102.5005,	      -1594.9612,	        -36.9606 ; 		 //plane 7 point @46 
     -1569.7426,	       1648.5030,	       -472.2248 ; 		 //plane 8 point @47 
     -1393.4326,	      -1336.3452,	       1277.5970 ; 		 //plane 8 point @48 
     -1464.0984,	      -1340.5967,	       2334.9611 ; 		 //plane 8 point @49 
     -1759.2981,	       1622.8919,	       2384.8824 ; 		 //plane 8 point @50 
     -1569.7426,	       1648.5030,	       -472.2248 ; 		 //plane 8 point @51 
