    686.4680000000,	    1769.9079000000,	   -1216.1586000000 ; 		 //plane 0 point @1 
  -1220.9554000000,	    1670.7551000000,	   -1219.0293000000 ; 		 //plane 0 point @2 
  -1034.5780000000,	     852.2132000000,	   -1233.0779000000 ; 		 //plane 0 point @3 
   -428.2966000000,	   -1278.2791000000,	   -1269.5702000000 ; 		 //plane 0 point @4 
    922.9987000000,	   -1196.9804000000,	   -1267.3453000000 ; 		 //plane 0 point @5 
    686.4680000000,	    1769.9079000000,	   -1216.1586000000 ; 		 //plane 0 point @6 
    688.0419000000,	    1750.1665000000,	    2378.4921000000 ; 		 //plane 1 point @7 
  -1759.2981000000,	    1622.8919000000,	    2384.8824000000 ; 		 //plane 1 point @8 
  -1464.0984000000,	   -1340.5967000000,	    2334.9611000000 ; 		 //plane 1 point @9 
    922.9987000000,	   -1196.9804000000,	    2329.0494000000 ; 		 //plane 1 point @10 
    688.0419000000,	    1750.1665000000,	    2378.4921000000 ; 		 //plane 1 point @11 
  -1220.9554000000,	    1670.7551000000,	   -1219.0293000000 ; 		 //plane 2 point @12 
    686.4680000000,	    1769.9079000000,	   -1216.1586000000 ; 		 //plane 2 point @13 
    688.0419000000,	    1750.1665000000,	    2378.4921000000 ; 		 //plane 2 point @14 
  -1759.2981000000,	    1622.8919000000,	    2384.8824000000 ; 		 //plane 2 point @15 
  -1569.7426000000,	    1648.5030000000,	    -472.2248000000 ; 		 //plane 2 point @16 
  -1556.0143000000,	    1649.6250000000,	    -546.2535000000 ; 		 //plane 2 point @17 
  -1220.9554000000,	    1670.7551000000,	   -1219.0293000000 ; 		 //plane 2 point @18 
    686.4680000000,	    1769.9079000000,	   -1216.1586000000 ; 		 //plane 3 point @19 
    922.9987000000,	   -1196.9804000000,	   -1267.3453000000 ; 		 //plane 3 point @20 
    922.9987000000,	   -1196.9804000000,	    2329.0494000000 ; 		 //plane 3 point @21 
    688.0419000000,	    1750.1665000000,	    2378.4921000000 ; 		 //plane 3 point @22 
    686.4680000000,	    1769.9079000000,	   -1216.1586000000 ; 		 //plane 3 point @23 
   -428.2966000000,	   -1278.2791000000,	   -1269.5702000000 ; 		 //plane 4 point @24 
    922.9987000000,	   -1196.9804000000,	   -1267.3453000000 ; 		 //plane 4 point @25 
    922.9987000000,	   -1196.9804000000,	    2329.0494000000 ; 		 //plane 4 point @26 
  -1464.0984000000,	   -1340.5967000000,	    2334.9611000000 ; 		 //plane 4 point @27 
  -1393.4326000000,	   -1336.3452000000,	    1277.5970000000 ; 		 //plane 4 point @28 
  -1136.3321000000,	   -1320.8771000000,	    -103.8043000000 ; 		 //plane 4 point @29 
   -428.2966000000,	   -1278.2791000000,	   -1269.5702000000 ; 		 //plane 4 point @30 
  -1034.5780000000,	     852.2132000000,	   -1233.0779000000 ; 		 //plane 5 point @31 
   -428.2966000000,	   -1278.2791000000,	   -1269.5702000000 ; 		 //plane 5 point @32 
  -1136.3321000000,	   -1320.8771000000,	    -103.8043000000 ; 		 //plane 5 point @33 
  -1329.2574000000,	      27.3319000000,	    -291.6070500000 ; 		 //plane 5 point @34 
  -1034.5780000000,	     852.2132000000,	   -1233.0779000000 ; 		 //plane 5 point @35 
  -1220.9554000000,	    1670.7551000000,	   -1219.0293000000 ; 		 //plane 6 point @36 
  -1034.5780000000,	     852.2132000000,	   -1233.0779000000 ; 		 //plane 6 point @37 
  -1329.2574000000,	      27.3319000000,	    -291.6070500000 ; 		 //plane 6 point @38 
  -1556.0143000000,	    1649.6250000000,	    -546.2535000000 ; 		 //plane 6 point @39 
  -1220.9554000000,	    1670.7551000000,	   -1219.0293000000 ; 		 //plane 6 point @40 
  -1329.2574000000,	      27.3319000000,	    -291.6070500000 ; 		 //plane 7 point @41 
  -1136.3321000000,	   -1320.8771000000,	    -103.8043000000 ; 		 //plane 7 point @42 
  -1393.4326000000,	   -1336.3452000000,	    1277.5970000000 ; 		 //plane 7 point @43 
  -1569.7426000000,	    1648.5030000000,	    -472.2248000000 ; 		 //plane 7 point @44 
  -1556.0143000000,	    1649.6250000000,	    -546.2535000000 ; 		 //plane 7 point @45 
  -1329.2574000000,	      27.3319000000,	    -291.6070500000 ; 		 //plane 7 point @46 
  -1569.7426000000,	    1648.5030000000,	    -472.2248000000 ; 		 //plane 8 point @47 
  -1393.4326000000,	   -1336.3452000000,	    1277.5970000000 ; 		 //plane 8 point @48 
  -1464.0984000000,	   -1340.5967000000,	    2334.9611000000 ; 		 //plane 8 point @49 
  -1759.2981000000,	    1622.8919000000,	    2384.8824000000 ; 		 //plane 8 point @50 
  -1569.7426000000,	    1648.5030000000,	    -472.2248000000 ; 		 //plane 8 point @51 
