Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
 7777            ,    0 00 03 ,   88 19 34,          0,      0.000,      1.400,            0,            0,          0
2   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.03295,	   1.51761,	  -1.45466
3   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.53110,	   1.31264,	  -1.45162
4   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.33348,	  -1.63623,	  -1.42107
5   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.24667,	  -1.42528,	  -1.42417
6   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.03295,	   1.51761,	  -1.45466
7   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.02694,	   1.60038,	   3.58315
8   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.56221,	   1.39308,	   3.53227
9   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.35928,	  -1.63775,	   3.59947
10   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.24667,	  -1.42528,	   3.65050
11   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.02694,	   1.60038,	   3.58315
12   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.53110,	   1.31264,	  -1.45162
13   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.03295,	   1.51761,	  -1.45466
14   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.02694,	   1.60038,	   3.58315
15   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.56221,	   1.39308,	   3.53227
16   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.53110,	   1.31264,	  -1.45162
17   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.03295,	   1.51761,	  -1.45466
18   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.24667,	  -1.42528,	  -1.42417
19   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.24667,	  -1.42528,	   3.65050
20   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.02694,	   1.60038,	   3.58315
21   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.03295,	   1.51761,	  -1.45466
22   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.33348,	  -1.63623,	  -1.42107
23   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.24667,	  -1.42528,	  -1.42417
24   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.24667,	  -1.42528,	   3.65050
25   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.35928,	  -1.63775,	   3.59947
26   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.33348,	  -1.63623,	  -1.42107
27   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.53110,	   1.31264,	  -1.45162
28   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.33348,	  -1.63623,	  -1.42107
29   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.35928,	  -1.63775,	   3.59947
30   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.56221,	   1.39308,	   3.53227
31   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.53110,	   1.31264,	  -1.45162
