      2032.9485,	       1517.6097,	      -1454.6596 ; 		 //plane 0 point @1 
     -1531.0959,	       1312.6448,	      -1451.6241 ; 		 //plane 0 point @2 
     -1333.4755,	      -1636.2333,	      -1421.0729 ; 		 //plane 0 point @3 
      2246.6661,	      -1425.2802,	      -1424.1747 ; 		 //plane 0 point @4 
      2032.9485,	       1517.6097,	      -1454.6596 ; 		 //plane 0 point @5 
      2026.9375,	       1600.3813,	       3583.1483 ; 		 //plane 1 point @6 
     -1562.2104,	       1393.0829,	       3532.2738 ; 		 //plane 1 point @7 
     -1359.2823,	      -1637.7539,	       3599.4746 ; 		 //plane 1 point @8 
      2246.6661,	      -1425.2802,	       3650.4984 ; 		 //plane 1 point @9 
      2026.9375,	       1600.3813,	       3583.1483 ; 		 //plane 1 point @10 
     -1531.0959,	       1312.6448,	      -1451.6241 ; 		 //plane 2 point @11 
      2032.9485,	       1517.6097,	      -1454.6596 ; 		 //plane 2 point @12 
      2026.9375,	       1600.3813,	       3583.1483 ; 		 //plane 2 point @13 
     -1562.2104,	       1393.0829,	       3532.2738 ; 		 //plane 2 point @14 
     -1531.0959,	       1312.6448,	      -1451.6241 ; 		 //plane 2 point @15 
      2032.9485,	       1517.6097,	      -1454.6596 ; 		 //plane 3 point @16 
      2246.6661,	      -1425.2802,	      -1424.1747 ; 		 //plane 3 point @17 
      2246.6661,	      -1425.2802,	       3650.4984 ; 		 //plane 3 point @18 
      2026.9375,	       1600.3813,	       3583.1483 ; 		 //plane 3 point @19 
      2032.9485,	       1517.6097,	      -1454.6596 ; 		 //plane 3 point @20 
     -1333.4755,	      -1636.2333,	      -1421.0729 ; 		 //plane 4 point @21 
      2246.6661,	      -1425.2802,	      -1424.1747 ; 		 //plane 4 point @22 
      2246.6661,	      -1425.2802,	       3650.4984 ; 		 //plane 4 point @23 
     -1359.2823,	      -1637.7539,	       3599.4746 ; 		 //plane 4 point @24 
     -1333.4755,	      -1636.2333,	      -1421.0729 ; 		 //plane 4 point @25 
     -1531.0959,	       1312.6448,	      -1451.6241 ; 		 //plane 5 point @26 
     -1333.4755,	      -1636.2333,	      -1421.0729 ; 		 //plane 5 point @27 
     -1359.2823,	      -1637.7539,	       3599.4746 ; 		 //plane 5 point @28 
     -1562.2104,	       1393.0829,	       3532.2738 ; 		 //plane 5 point @29 
     -1531.0959,	       1312.6448,	      -1451.6241 ; 		 //plane 5 point @30 
