   Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
ADG             ,  359 59 59 ,   90 02 45,          0,      0.000,      0.000,            0,            0,          0
2               ,  175 18 18 ,   65 15 41,      1.312,      0.000,      0.000,        0.098,       -1.188,      0.549
3               ,  135 46 18 ,   99 27 23,      1.372,      0.000,      0.000,        0.944,       -0.970,     -0.225
4               ,  204 53 24 ,  112 29 54,      1.778,      0.000,      0.000,       -0.691,       -1.490,     -0.680
5               ,   51 05 38 ,  117 31 41,      2.726,      0.000,      0.000,        1.881,        1.518,     -1.260
6               ,   51 05 56 ,  103 32 28,      2.494,      0.000,      0.000,        1.887,        1.523,     -0.584
7               ,   51 06 10 ,   91 57 16,      2.435,      0.000,      0.000,        1.894,        1.528,     -0.083
8               ,   51 06 00 ,   82 44 18,      2.456,      0.000,      0.000,        1.896,        1.530,      0.310
9               ,   51 05 58 ,   69 40 41,      2.603,      0.000,      0.000,        1.900,        1.533,      0.904
10              ,   42 19 57 ,   80 06 44,      2.064,      0.000,      0.000,        1.369,        1.503,      0.354
11              ,   42 19 57 ,   97 20 29,      2.042,      0.000,      0.000,        1.364,        1.497,     -0.261
12              ,   42 19 54 ,  109 47 37,      2.146,      0.000,      0.000,        1.360,        1.493,     -0.727
13              ,   42 19 50 ,  121 08 12,      2.353,      0.000,      0.000,        1.356,        1.489,     -1.217
14              ,   26 07 42 ,  128 08 26,      2.061,      0.000,      0.000,        0.714,        1.455,     -1.273
15              ,   26 07 46 ,  111 31 55,      1.755,      0.000,      0.000,        0.719,        1.466,     -0.644
16              ,   26 07 41 ,   63 41 59,      1.674,      0.000,      0.000,        0.661,        1.348,      0.742
17              ,   26 07 42 ,   59 45 42,      1.916,      0.000,      0.000,        0.729,        1.486,      0.965
18              ,   26 07 40 ,   49 17 18,      2.188,      0.000,      0.000,        0.730,        1.489,      1.427
19              ,    7 36 12 ,   26 49 10,      3.253,      0.000,      0.000,        0.194,        1.455,      2.903
20              ,    0 43 50 ,   43 00 20,      2.106,      0.000,      0.000,        0.018,        1.436,      1.540
21              ,  332 02 20 ,   46 09 06,      2.179,      0.000,      0.000,       -0.737,        1.388,      1.510
22              ,  312 37 56 ,   54 45 00,      2.401,      0.000,      0.000,       -1.442,        1.328,      1.386
23              ,  315 02 27 ,   63 50 32,      2.123,      0.000,      0.000,       -1.346,        1.348,      0.936
24              ,  315 02 23 ,   81 16 12,      1.935,      0.000,      0.000,       -1.351,        1.353,      0.294
25              ,  315 02 18 ,   95 38 27,      1.904,      0.000,      0.000,       -1.339,        1.341,     -0.187
26              ,  315 02 17 ,  122 22 50,      2.027,      0.000,      0.000,       -1.210,        1.211,     -1.086
27              ,  315 02 35 ,  122 28 16,      2.249,      0.000,      0.000,       -1.341,        1.343,     -1.208
28              ,  336 08 47 ,   59 58 02,      1.796,      0.000,      0.000,       -0.629,        1.422,      0.899
29              ,  336 08 42 ,   77 10 18,      1.544,      0.000,      0.000,       -0.609,        1.377,      0.343
30              ,  336 08 38 ,  128 14 55,      3.159,      0.000,      0.000,       -1.003,        2.269,     -1.955
31              ,  336 15 57 ,  124 27 44,      1.821,      0.000,      0.000,       -0.604,        1.375,     -1.031
32              ,  359 32 11 ,  113 07 57,      1.421,      0.000,      0.000,       -0.011,        1.307,     -0.558
33              ,    2 33 18 ,  120 12 09,      1.695,      0.000,      0.000,        0.065,        1.464,     -0.853
34              ,   21 52 52 ,   62 27 43,      1.832,      0.000,      0.000,        0.605,        1.507,      0.847
35              ,   21 52 52 ,  117 18 54,      1.589,      0.000,      0.000,        0.526,        1.310,     -0.729
36              ,   21 52 53 ,  125 18 30,      1.912,      0.000,      0.000,        0.582,        1.448,     -1.105
37              ,   55 35 58 ,  106 30 36,      2.719,      0.000,      0.000,        2.151,        1.473,     -0.773
