   Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
7SVMJA          ,    0 00 03 ,   89 50 44,          0,      0.000,      0.000,            0,            0,          0
2               ,  252 18 08 ,   89 40 49,      2.603,      0.000,      0.000,       -2.480,       -0.791,      0.015
3               ,   79 17 27 ,  144 12 00,      1.731,      0.000,      0.000,        0.995,        0.188,     -1.404
4               ,   83 34 28 ,  144 12 02,      1.730,      0.000,      0.000,        1.006,        0.113,     -1.403
5               ,   81 11 05 ,  145 17 00,      1.710,      0.000,      0.000,        0.962,        0.149,     -1.405
6               ,   77 27 04 ,    6 48 44,      7.947,      0.000,      0.000,        0.920,        0.205,      7.891
7               ,   87 19 11 ,    6 30 38,      7.941,      0.000,      0.000,        0.899,        0.042,      7.890
8               ,   81 30 13 ,    6 05 38,      7.936,      0.000,      0.000,        0.833,        0.124,      7.891
9               ,   25 24 15 ,  101 55 28,      5.737,      0.000,      0.000,        2.408,        5.070,     -1.185
10              ,   20 17 26 ,   96 42 19,      5.441,      0.000,      0.000,        1.874,        5.068,     -0.635
11              ,   25 35 28 ,   88 35 35,      5.626,      0.000,      0.000,        2.429,        5.072,      0.138
12              ,   20 27 47 ,   81 20 26,      5.477,      0.000,      0.000,        1.893,        5.073,      0.825
13              ,   24 46 51 ,   71 52 29,      5.886,      0.000,      0.000,        2.345,        5.078,      1.831
14              ,   20 19 13 ,   63 28 08,      6.054,      0.000,      0.000,        1.881,        5.080,      2.704
15              ,   24 17 54 ,   56 40 13,      6.672,      0.000,      0.000,        2.294,        5.081,      3.666
16              ,   20 44 59 ,   48 52 42,      7.221,      0.000,      0.000,        1.927,        5.087,      4.749
17              ,   24 41 33 ,   43 25 56,      8.139,      0.000,      0.000,        2.338,        5.084,      5.911
18              ,   20 58 13 ,   38 00 28,      8.856,      0.000,      0.000,        1.952,        5.092,      6.978
19              ,   24 52 39 ,   36 00 20,      9.521,      0.000,      0.000,        2.355,        5.078,      7.702
20              ,    9 03 34 ,   33 53 35,      9.217,      0.000,      0.000,        0.809,        5.076,      7.651
21              ,    3 01 38 ,   37 16 46,      8.388,      0.000,      0.000,        0.268,        5.074,      6.674
22              ,    8 18 36 ,   41 16 08,      7.770,      0.000,      0.000,        0.741,        5.072,      5.840
23              ,    3 13 11 ,   46 15 00,      7.032,      0.000,      0.000,        0.285,        5.072,      4.863
24              ,    8 25 03 ,   52 29 50,      6.456,      0.000,      0.000,        0.750,        5.066,      3.930
25              ,    3 15 31 ,   60 02 31,      5.852,      0.000,      0.000,        0.288,        5.062,      2.922
26              ,    8 07 53 ,   66 19 50,      5.583,      0.000,      0.000,        0.723,        5.062,      2.241
27              ,    3 22 34 ,   74 46 09,      5.248,      0.000,      0.000,        0.298,        5.055,      1.379
28              ,    8 11 26 ,   82 46 43,      5.148,      0.000,      0.000,        0.728,        5.055,      0.647
29              ,    3 26 55 ,   91 14 34,      5.061,      0.000,      0.000,        0.304,        5.050,     -0.110
30              ,    9 20 06 ,   98 36 02,      5.180,      0.000,      0.000,        0.831,        5.054,     -0.775
31              ,    3 29 12 ,  104 09 56,      5.216,      0.000,      0.000,        0.308,        5.048,     -1.277
32              ,  351 17 22 ,  103 05 50,      5.232,      0.000,      0.000,       -0.772,        5.037,     -1.186
33              ,  345 26 35 ,  103 06 01,      5.338,      0.000,      0.000,       -1.307,        5.032,     -1.210
34              ,  350 36 34 ,   94 56 16,      5.129,      0.000,      0.000,       -0.834,        5.042,     -0.441
35              ,  345 45 04 ,   87 13 00,      5.206,      0.000,      0.000,       -1.280,        5.040,      0.253
36              ,  350 59 28 ,   79 27 08,      5.198,      0.000,      0.000,       -0.800,        5.047,      0.952
37              ,  345 39 39 ,   72 01 06,      5.468,      0.000,      0.000,       -1.288,        5.039,      1.688
38              ,  351 12 26 ,   64 08 11,      5.683,      0.000,      0.000,       -0.782,        5.054,      2.479
39              ,  346 01 21 ,   57 28 10,      6.169,      0.000,      0.000,       -1.256,        5.047,      3.317
40              ,  351 27 19 ,   50 00 46,      6.676,      0.000,      0.000,       -0.760,        5.058,      4.290
41              ,  345 58 38 ,   45 32 41,      7.300,      0.000,      0.000,       -1.263,        5.055,      5.112
42              ,  350 48 34 ,   41 30 40,      7.738,      0.000,      0.000,       -0.819,        5.063,      5.794
43              ,  346 02 44 ,   38 07 49,      8.444,      0.000,      0.000,       -1.257,        5.060,      6.642
44              ,  350 33 38 ,   34 04 50,      9.168,      0.000,      0.000,       -0.843,        5.068,      7.594
45              ,  345 59 01 ,   34 07 46,      9.297,      0.000,      0.000,       -1.263,        5.061,      7.696
46              ,  334 35 12 ,   35 37 31,      9.549,      0.000,      0.000,       -2.387,        5.024,      7.762
47              ,  332 04 48 ,   39 46 25,      8.882,      0.000,      0.000,       -2.661,        5.021,      6.827
48              ,  334 35 51 ,   43 16 03,      8.120,      0.000,      0.000,       -2.387,        5.027,      5.912
49              ,  330 56 39 ,   47 45 24,      7.758,      0.000,      0.000,       -2.789,        5.021,      5.216
50              ,  334 35 51 ,   52 02 10,      7.056,      0.000,      0.000,       -2.387,        5.025,      4.341
51              ,  331 01 35 ,   57 24 30,      6.814,      0.000,      0.000,       -2.781,        5.022,      3.670
52              ,  334 32 09 ,   62 05 00,      6.300,      0.000,      0.000,       -2.393,        5.026,      2.949
53              ,  330 48 43 ,   67 49 18,      6.206,      0.000,      0.000,       -2.803,        5.017,      2.343
54              ,  334 33 31 ,   74 55 54,      5.756,      0.000,      0.000,       -2.388,        5.019,      1.496
55              ,  330 53 45 ,   82 45 59,      5.798,      0.000,      0.000,       -2.798,        5.026,      0.730
56              ,  334 44 35 ,   90 46 15,      5.549,      0.000,      0.000,       -2.367,        5.018,     -0.075
