Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
 7777            ,    0 00 03 ,   88 19 34,          0,      0.000,      1.400,            0,            0,          0
2   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.61925,	   1.66648,	  -1.68823
3   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.86196,	   1.76545,	  -1.66591
4   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.34051,	  -1.41395,	  -1.68385
5   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.53850,	  -1.54033,	  -1.70392
6   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.61925,	   1.66648,	  -1.68823
7   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.62070,	   1.72409,	   7.59486
8   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.73942,	   1.82097,	   7.63359
9   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.81366,	  -1.40169,	   7.59562
10   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.53850,	  -1.54033,	   7.55644
11   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.62070,	   1.72409,	   7.59486
12   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.86196,	   1.76545,	  -1.66591
13   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.61925,	   1.66648,	  -1.68823
14   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.62070,	   1.72409,	   7.59486
15   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.73942,	   1.82097,	   7.63359
16   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.53887,	   1.82588,	   6.10152
17   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.56853,	   1.78817,	  -0.05727
18   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.30387,	   1.77616,	  -1.22388
19   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.86196,	   1.76545,	  -1.66591
20   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.61925,	   1.66648,	  -1.68823
21   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.53850,	  -1.54033,	  -1.70392
22   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.53850,	  -1.54033,	   7.55644
23   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.62070,	   1.72409,	   7.59486
24   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.61925,	   1.66648,	  -1.68823
25   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.34051,	  -1.41395,	  -1.68385
26   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.53850,	  -1.54033,	  -1.70392
27   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   3.53850,	  -1.54033,	   7.55644
28   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.81366,	  -1.40169,	   7.59562
29   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.60288,	  -1.38125,	   6.08265
30   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.62765,	  -1.38061,	   0.80008
31   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -2.27686,	  -1.38969,	  -0.74751
32   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.34051,	  -1.41395,	  -1.68385
33   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.86196,	   1.76545,	  -1.66591
34   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -1.34051,	  -1.41395,	  -1.68385
