      3619.2540,	       1666.4833,	      -1688.2342 ; 		 //plane 0 point @1 
     -1861.9594,	       1765.4454,	      -1665.9054 ; 		 //plane 0 point @2 
     -1340.5110,	      -1413.9490,	      -1683.8511 ; 		 //plane 0 point @3 
      3538.4968,	      -1540.3346,	      -1703.9178 ; 		 //plane 0 point @4 
      3619.2540,	       1666.4833,	      -1688.2342 ; 		 //plane 0 point @5 
      3620.7047,	       1724.0931,	       7594.8580 ; 		 //plane 1 point @6 
     -1739.4221,	       1820.9738,	       7633.5888 ; 		 //plane 1 point @7 
     -1813.6581,	      -1401.6926,	       7595.6174 ; 		 //plane 1 point @8 
      3538.4968,	      -1540.3346,	       7556.4438 ; 		 //plane 1 point @9 
      3620.7047,	       1724.0931,	       7594.8580 ; 		 //plane 1 point @10 
     -1861.9594,	       1765.4454,	      -1665.9054 ; 		 //plane 2 point @11 
      3619.2540,	       1666.4833,	      -1688.2342 ; 		 //plane 2 point @12 
      3620.7047,	       1724.0931,	       7594.8580 ; 		 //plane 2 point @13 
     -1739.4221,	       1820.9738,	       7633.5888 ; 		 //plane 2 point @14 
     -2538.8726,	       1825.8754,	       6101.5179 ; 		 //plane 2 point @15 
     -2568.5271,	       1788.1720,	        -57.2680 ; 		 //plane 2 point @16 
     -2303.8695,	       1776.1572,	      -1223.8803 ; 		 //plane 2 point @17 
     -1861.9594,	       1765.4454,	      -1665.9054 ; 		 //plane 2 point @18 
      3619.2540,	       1666.4833,	      -1688.2342 ; 		 //plane 3 point @19 
      3538.4968,	      -1540.3346,	      -1703.9178 ; 		 //plane 3 point @20 
      3538.4968,	      -1540.3346,	       7556.4438 ; 		 //plane 3 point @21 
      3620.7047,	       1724.0931,	       7594.8580 ; 		 //plane 3 point @22 
      3619.2540,	       1666.4833,	      -1688.2342 ; 		 //plane 3 point @23 
     -1340.5110,	      -1413.9490,	      -1683.8511 ; 		 //plane 4 point @24 
      3538.4968,	      -1540.3346,	      -1703.9178 ; 		 //plane 4 point @25 
      3538.4968,	      -1540.3346,	       7556.4438 ; 		 //plane 4 point @26 
     -1813.6581,	      -1401.6926,	       7595.6174 ; 		 //plane 4 point @27 
     -2602.8760,	      -1381.2488,	       6082.6516 ; 		 //plane 4 point @28 
     -2627.6542,	      -1380.6069,	        800.0843 ; 		 //plane 4 point @29 
     -2276.8598,	      -1389.6939,	       -747.5063 ; 		 //plane 4 point @30 
     -1340.5110,	      -1413.9490,	      -1683.8511 ; 		 //plane 4 point @31 
     -1861.9594,	       1765.4454,	      -1665.9054 ; 		 //plane 5 point @32 
     -1340.5110,	      -1413.9490,	      -1683.8511 ; 		 //plane 5 point @33 
     -2276.8598,	      -1389.6939,	       -747.5063 ; 		 //plane 5 point @34 
     -2303.8695,	       1776.1572,	      -1223.8803 ; 		 //plane 5 point @35 
     -1861.9594,	       1765.4454,	      -1665.9054 ; 		 //plane 5 point @36 
     -2303.8695,	       1776.1572,	      -1223.8803 ; 		 //plane 6 point @37 
     -2276.8598,	      -1389.6939,	       -747.5063 ; 		 //plane 6 point @38 
     -2627.6542,	      -1380.6069,	        800.0843 ; 		 //plane 6 point @39 
     -2568.5271,	       1788.1720,	        -57.2680 ; 		 //plane 6 point @40 
     -2303.8695,	       1776.1572,	      -1223.8803 ; 		 //plane 6 point @41 
     -2568.5271,	       1788.1720,	        -57.2680 ; 		 //plane 7 point @42 
     -2627.6542,	      -1380.6069,	        800.0843 ; 		 //plane 7 point @43 
     -2602.8760,	      -1381.2488,	       6082.6516 ; 		 //plane 7 point @44 
     -2538.8726,	       1825.8754,	       6101.5179 ; 		 //plane 7 point @45 
     -2568.5271,	       1788.1720,	        -57.2680 ; 		 //plane 7 point @46 
     -2538.8726,	       1825.8754,	       6101.5179 ; 		 //plane 8 point @47 
     -2602.8760,	      -1381.2488,	       6082.6516 ; 		 //plane 8 point @48 
     -1813.6581,	      -1401.6926,	       7595.6174 ; 		 //plane 8 point @49 
     -1739.4221,	       1820.9738,	       7633.5888 ; 		 //plane 8 point @50 
     -2538.8726,	       1825.8754,	       6101.5179 ; 		 //plane 8 point @51 
