   Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
7SYJG           ,    0 00 01 ,   88 58 59,          0,      0.000,      0.000,            0,            0,          0
2               ,   14 38 34 ,   89 12 14,      1.409,      0.000,      0.000,        0.356,        1.363,      0.020
3               ,  198 14 05 ,  146 24 28,      2.006,      0.000,      0.000,       -0.347,       -1.054,     -1.671
4               ,  199 45 01 ,  147 30 08,      1.981,      0.000,      0.000,       -0.360,       -1.002,     -1.671
5               ,  202 23 05 ,  146 32 51,      2.001,      0.000,      0.000,       -0.420,       -1.020,     -1.669
6               ,  199 01 55 ,    4 28 32,      7.618,      0.000,      0.000,       -0.194,       -0.562,      7.595
7               ,  237 50 47 ,    4 28 29,      7.618,      0.000,      0.000,       -0.503,       -0.316,      7.595
8               ,  231 47 25 ,    4 28 29,      7.618,      0.000,      0.000,       -0.467,       -0.368,      7.595
9               ,  308 40 17 ,  116 44 12,      2.506,      0.000,      0.000,       -1.748,        1.399,     -1.128
10              ,  317 57 34 ,  108 14 15,      1.967,      0.000,      0.000,       -1.251,        1.388,     -0.616
11              ,  310 08 07 ,   87 16 45,      2.194,      0.000,      0.000,       -1.675,        1.413,      0.104
12              ,  318 31 44 ,   68 04 07,      2.027,      0.000,      0.000,       -1.245,        1.409,      0.757
13              ,  309 53 38 ,   48 57 39,      2.983,      0.000,      0.000,       -1.726,        1.443,      1.959
14              ,  319 39 04 ,   33 22 38,      3.457,      0.000,      0.000,       -1.231,        1.449,      2.887
15              ,  311 09 25 ,   30 10 01,      4.463,      0.000,      0.000,       -1.689,        1.476,      3.858
16              ,  316 15 55 ,   19 23 51,      6.275,      0.000,      0.000,       -1.441,        1.506,      5.919
17              ,  351 28 18 ,   90 35 28,      1.393,      0.000,      0.000,       -0.207,        1.378,     -0.014
18              ,   12 44 27 ,  107 42 53,      1.472,      0.000,      0.000,        0.309,        1.368,     -0.448
19              ,   12 44 08 ,   60 53 49,      1.630,      0.000,      0.000,        0.314,        1.389,      0.793
20              ,  353 26 10 ,   51 19 25,      1.800,      0.000,      0.000,       -0.161,        1.396,      1.125
21              ,   11 01 29 ,   32 24 02,      2.687,      0.000,      0.000,        0.275,        1.413,      2.269
22              ,  353 20 49 ,   24 47 54,      3.438,      0.000,      0.000,       -0.167,        1.432,      3.121
23              ,   13 27 44 ,   20 53 01,      4.148,      0.000,      0.000,        0.344,        1.438,      3.876
24              ,  351 59 43 ,   21 31 56,      3.967,      0.000,      0.000,       -0.203,        1.442,      3.690
25              ,   15 23 34 ,   19 05 37,      4.582,      0.000,      0.000,        0.398,        1.445,      4.330
26              ,   48 30 12 ,  125 05 53,      2.448,      0.000,      0.000,        1.500,        1.327,     -1.408
27              ,   56 12 38 ,  122 23 05,      2.804,      0.000,      0.000,        1.968,        1.317,     -1.502
28              ,   56 13 01 ,  114 07 30,      2.609,      0.000,      0.000,        1.979,        1.324,     -1.066
29              ,   47 18 39 ,   98 33 30,      2.009,      0.000,      0.000,        1.460,        1.347,     -0.299
30              ,   54 07 48 ,   82 59 21,      2.318,      0.000,      0.000,        1.865,        1.348,      0.283
31              ,   47 53 23 ,   69 56 33,      2.164,      0.000,      0.000,        1.508,        1.363,      0.742
32              ,   53 40 28 ,   53 05 58,      2.898,      0.000,      0.000,        1.867,        1.373,      1.740
33              ,   47 13 45 ,   41 03 41,      3.117,      0.000,      0.000,        1.503,        1.390,      2.350
34              ,   52 17 59 ,   31 13 30,      4.443,      0.000,      0.000,        1.822,        1.408,      3.799
35              ,   45 17 01 ,   23 25 55,      5.094,      0.000,      0.000,        1.440,        1.425,      4.674
36              ,   50 44 16 ,   19 58 28,      6.703,      0.000,      0.000,        1.773,        1.449,      6.299
37              ,   45 36 50 ,   17 59 35,      6.710,      0.000,      0.000,        1.481,        1.450,      6.381
38              ,   66 56 33 ,  114 40 11,      3.643,      0.000,      0.000,        3.046,        1.296,     -1.520
39              ,   69 37 53 ,  105 42 02,      3.891,      0.000,      0.000,        3.511,        1.304,     -1.053
40              ,   66 36 15 ,   94 14 42,      3.318,      0.000,      0.000,        3.037,        1.314,     -0.246
41              ,   69 09 24 ,   82 42 31,      3.761,      0.000,      0.000,        3.486,        1.327,      0.477
42              ,   66 39 30 ,   70 25 49,      3.561,      0.000,      0.000,        3.081,        1.330,      1.193
43              ,   68 23 17 ,   58 43 36,      4.322,      0.000,      0.000,        3.434,        1.360,      2.243
44              ,   65 55 36 ,   50 16 57,      4.339,      0.000,      0.000,        3.047,        1.361,      2.773
45              ,   67 35 48 ,   41 26 52,      5.553,      0.000,      0.000,        3.399,        1.401,      4.163
46              ,   65 33 57 ,   33 50 56,      5.996,      0.000,      0.000,        3.041,        1.382,      4.980
47              ,  347 51 45 ,  106 31 16,      2.279,      0.000,      0.000,       -0.459,        2.136,     -0.648
48              ,  337 38 11 ,   86 27 30,      2.334,      0.000,      0.000,       -0.886,        2.154,      0.144
49              ,  347 34 51 ,   67 16 53,      2.398,      0.000,      0.000,       -0.476,        2.160,      0.926
50              ,  337 48 56 ,   54 40 56,      2.891,      0.000,      0.000,       -0.891,        2.184,      1.671
51              ,  347 14 32 ,   39 44 15,      3.517,      0.000,      0.000,       -0.497,        2.193,      2.705
52              ,  337 47 44 ,   31 29 25,      4.608,      0.000,      0.000,       -0.910,        2.228,      3.929
53              ,  346 10 42 ,   25 56 50,      5.251,      0.000,      0.000,       -0.549,        2.231,      4.722
54              ,  337 57 21 ,   24 32 53,      5.848,      0.000,      0.000,       -0.912,        2.252,      5.319
55              ,   19 45 01 ,   19 07 21,      7.266,      0.000,      0.000,        0.804,        2.240,      6.865
56              ,   27 39 09 ,   21 11 35,      6.952,      0.000,      0.000,        1.166,        2.226,      6.482
57              ,   20 19 11 ,   24 27 32,      5.701,      0.000,      0.000,        0.820,        2.213,      5.189
58              ,   27 10 35 ,   28 40 52,      5.145,      0.000,      0.000,        1.128,        2.196,      4.513
59              ,   19 09 49 ,   35 42 22,      3.960,      0.000,      0.000,        0.759,        2.183,      3.216
60              ,   28 06 44 ,   48 15 14,      3.283,      0.000,      0.000,        1.154,        2.160,      2.186
61              ,   19 36 23 ,   57 10 37,      2.721,      0.000,      0.000,        0.767,        2.154,      1.475
62              ,   28 25 19 ,   72 43 44,      2.542,      0.000,      0.000,        1.155,        2.135,      0.755
63              ,   18 46 07 ,   86 12 30,      2.260,      0.000,      0.000,        0.725,        2.135,      0.149
64              ,   28 35 04 ,  105 33 20,      2.492,      0.000,      0.000,        1.149,        2.108,     -0.668
65              ,   79 35 34 ,  114 38 00,      3.568,      0.000,      0.000,        3.190,        0.586,     -1.487
66              ,   89 31 26 ,  106 29 09,      3.323,      0.000,      0.000,        3.186,        0.026,     -0.943
67              ,   79 53 26 ,   95 07 28,      3.249,      0.000,      0.000,        3.185,        0.568,     -0.290
68              ,   88 54 30 ,   82 43 32,      3.202,      0.000,      0.000,        3.176,        0.061,      0.405
69              ,   78 16 00 ,   84 09 07,      3.258,      0.000,      0.000,        3.173,        0.659,      0.332
70              ,   88 05 33 ,   56 45 18,      3.775,      0.000,      0.000,        3.155,        0.105,      2.069
71              ,   83 25 40 ,   52 07 54,      4.028,      0.000,      0.000,        3.159,        0.364,      2.473
72              ,   87 53 22 ,   51 50 41,      4.007,      0.000,      0.000,        3.149,        0.116,      2.476
73              ,   79 04 13 ,   26 53 08,      7.010,      0.000,      0.000,        3.112,        0.601,      6.252
74              ,   87 07 16 ,   26 11 27,      7.023,      0.000,      0.000,        3.096,        0.156,      6.302
75              ,   87 01 08 ,   24 33 25,      7.446,      0.000,      0.000,        3.090,        0.161,      6.772
76              ,   82 28 56 ,   24 33 24,      7.515,      0.000,      0.000,        3.096,        0.409,      6.835
77              ,   82 21 51 ,   22 59 52,      7.988,      0.000,      0.000,        3.093,        0.415,      7.353
78              ,   85 38 17 ,   22 38 24,      8.045,      0.000,      0.000,        3.088,        0.236,      7.425
79              ,   93 53 20 ,  108 43 13,      4.173,      0.000,      0.000,        3.944,       -0.268,     -1.339
80              ,  100 21 11 ,  108 45 55,      4.207,      0.000,      0.000,        3.919,       -0.716,     -1.353
81              ,   94 10 51 ,   99 42 18,      4.004,      0.000,      0.000,        3.936,       -0.288,     -0.675
82              ,   99 50 16 ,   91 49 36,      3.973,      0.000,      0.000,        3.913,       -0.678,     -0.127
83              ,   93 35 48 ,   83 37 27,      3.958,      0.000,      0.000,        3.926,       -0.247,      0.440
84              ,   99 49 39 ,   74 51 43,      4.100,      0.000,      0.000,        3.899,       -0.675,      1.071
85              ,   94 02 43 ,   56 54 35,      4.658,      0.000,      0.000,        3.893,       -0.275,      2.543
86              ,  100 35 10 ,   50 28 08,      5.090,      0.000,      0.000,        3.859,       -0.721,      3.240
87              ,   92 23 25 ,   26 48 13,      8.509,      0.000,      0.000,        3.834,       -0.160,      7.595
88              ,   99 44 29 ,   27 06 24,      8.516,      0.000,      0.000,        3.824,       -0.657,      7.581
89              ,  114 09 48 ,  112 23 05,      4.031,      0.000,      0.000,        3.400,       -1.526,     -1.535
90              ,  118 22 06 ,  103 10 27,      3.279,      0.000,      0.000,        2.809,       -1.517,     -0.747
91              ,  114 24 57 ,   92 30 13,      3.684,      0.000,      0.000,        3.352,       -1.522,     -0.161
92              ,  118 54 54 ,   80 39 55,      3.150,      0.000,      0.000,        2.721,       -1.503,      0.511
93              ,  113 47 12 ,   72 12 24,      3.914,      0.000,      0.000,        3.410,       -1.503,      1.196
94              ,  118 50 12 ,   59 12 33,      3.588,      0.000,      0.000,        2.700,       -1.487,      1.837
95              ,  114 29 41 ,   53 00 04,      4.490,      0.000,      0.000,        3.263,       -1.487,      2.702
96              ,  117 39 34 ,   48 08 38,      4.259,      0.000,      0.000,        2.809,       -1.472,      2.842
97              ,  114 11 51 ,   47 06 54,      4.941,      0.000,      0.000,        3.302,       -1.484,      3.363
98              ,  121 36 11 ,   30 07 00,      5.550,      0.000,      0.000,        2.372,       -1.459,      4.800
99              ,  115 52 41 ,   28 25 24,      7.114,      0.000,      0.000,        3.047,       -1.478,      6.257
100             ,  157 31 04 ,   13 22 43,      6.578,      0.000,      0.000,        0.582,       -1.406,      6.399
101             ,  159 54 26 ,   16 11 39,      5.284,      0.000,      0.000,        0.506,       -1.384,      5.074
102             ,  163 11 48 ,   19 33 36,      4.297,      0.000,      0.000,        0.416,       -1.377,      4.049
103             ,  128 40 40 ,   29 20 55,      4.639,      0.000,      0.000,        1.775,       -1.421,      4.044
104             ,  131 10 21 ,   33 07 20,      3.971,      0.000,      0.000,        1.633,       -1.428,      3.325
105             ,  140 35 11 ,   36 51 09,      3.084,      0.000,      0.000,        1.174,       -1.429,      2.468
106             ,  169 16 09 ,   28 11 09,      3.000,      0.000,      0.000,        0.264,       -1.392,      2.644
107             ,  175 22 02 ,   43 39 32,      2.063,      0.000,      0.000,        0.115,       -1.419,      1.492
108             ,  147 48 09 ,   42 37 01,      2.491,      0.000,      0.000,        0.899,       -1.427,      1.833
109             ,  135 37 25 ,   62 44 06,      2.297,      0.000,      0.000,        1.428,       -1.459,      1.052
110             ,  137 08 04 ,   89 21 35,      2.001,      0.000,      0.000,        1.361,       -1.467,      0.022
111             ,  164 16 31 ,   89 21 29,      1.497,      0.000,      0.000,        0.406,       -1.441,      0.017
112             ,  164 16 09 ,  112 11 36,      1.627,      0.000,      0.000,        0.408,       -1.450,     -0.614
113             ,  139 36 16 ,  110 09 36,      2.058,      0.000,      0.000,        1.252,       -1.471,     -0.709
114             ,  199 06 27 ,  118 39 50,      1.725,      0.000,      0.000,       -0.495,       -1.430,     -0.827
115             ,  182 51 43 ,   87 38 49,      1.430,      0.000,      0.000,       -0.071,       -1.427,      0.059
116             ,  207 03 54 ,   80 30 43,      1.606,      0.000,      0.000,       -0.721,       -1.411,      0.265
117             ,  175 23 32 ,   58 49 16,      1.674,      0.000,      0.000,        0.115,       -1.428,      0.867
118             ,  207 44 03 ,   53 55 01,      1.971,      0.000,      0.000,       -0.741,       -1.410,      1.161
119             ,  189 15 16 ,   42 44 12,      2.105,      0.000,      0.000,       -0.230,       -1.410,      1.546
120             ,  212 15 50 ,   33 31 41,      2.947,      0.000,      0.000,       -0.869,       -1.376,      2.456
121             ,  193 01 47 ,   24 38 48,      3.387,      0.000,      0.000,       -0.318,       -1.376,      3.078
122             ,  213 56 31 ,   23 27 25,      4.080,      0.000,      0.000,       -0.907,       -1.347,      3.743
