   Point ID     ,  Hz.(� ' "),  V.(� ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
7SYJPAG         ,    0 00 01 ,   89 52 19,          0,      0.000,      0.000,            0,            0,          0
2               ,    9 01 24 ,   89 54 03,      0.975,      0.000,      0.000,        0.153,        0.962,      0.002
3               ,  204 57 50 ,  136 34 14,      2.074,      0.000,      0.000,       -0.602,       -1.293,     -1.506
4               ,  206 32 44 ,  137 05 59,      2.057,      0.000,      0.000,       -0.626,       -1.253,     -1.507
5               ,  208 05 20 ,  136 26 38,      2.079,      0.000,      0.000,       -0.674,       -1.264,     -1.506
6               ,  204 52 53 ,    8 55 49,      7.834,      0.000,      0.000,       -0.512,       -1.103,      7.739
7               ,  209 04 15 ,    8 48 55,      7.832,      0.000,      0.000,       -0.583,       -1.049,      7.739
8               ,  210 49 40 ,    9 09 39,      7.839,      0.000,      0.000,       -0.640,       -1.072,      7.739
9               ,  287 04 05 ,   96 46 28,      3.432,      0.000,      0.000,       -3.258,        1.000,     -0.405
10              ,  289 18 54 ,   86 53 01,      3.070,      0.000,      0.000,       -2.892,        1.014,      0.167
11              ,  287 33 26 ,   75 47 51,      3.444,      0.000,      0.000,       -3.183,        1.007,      0.845
12              ,  290 01 36 ,   61 40 12,      3.300,      0.000,      0.000,       -2.729,        0.995,      1.566
13              ,  287 38 49 ,   54 19 17,      4.147,      0.000,      0.000,       -3.210,        1.021,      2.419
14              ,  289 43 56 ,   45 29 06,      4.161,      0.000,      0.000,       -2.793,        1.002,      2.917
15              ,  288 38 41 ,   38 18 41,      5.135,      0.000,      0.000,       -3.016,        1.018,      4.029
16              ,  289 49 16 ,   32 56 39,      5.442,      0.000,      0.000,       -2.784,        1.004,      4.567
17              ,  287 57 22 ,   30 53 43,      6.504,      0.000,      0.000,       -3.177,        1.030,      5.581
18              ,  289 30 14 ,   27 03 58,      6.654,      0.000,      0.000,       -2.854,        1.011,      5.926
19              ,  288 00 53 ,   25 22 40,      7.906,      0.000,      0.000,       -3.222,        1.048,      7.143
20              ,  289 47 59 ,   21 52 24,      8.195,      0.000,      0.000,       -2.873,        1.034,      7.605
21              ,  299 52 57 ,   14 51 24,      7.752,      0.000,      0.000,       -1.723,        0.990,      7.493
22              ,  310 20 46 ,   11 48 37,      7.682,      0.000,      0.000,       -1.198,        1.018,      7.519
23              ,  301 38 56 ,   17 17 39,      6.345,      0.000,      0.000,       -1.606,        0.990,      6.058
24              ,  309 30 31 ,   16 21 53,      5.506,      0.000,      0.000,       -1.197,        0.987,      5.283
25              ,  301 35 59 ,   21 59 46,      5.024,      0.000,      0.000,       -1.603,        0.986,      4.658
26              ,  309 24 33 ,   24 22 26,      3.747,      0.000,      0.000,       -1.195,        0.982,      3.413
27              ,  301 56 28 ,   30 52 45,      3.624,      0.000,      0.000,       -1.578,        0.984,      3.110
