Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
 7777            ,    0 00 03 ,   88 19 34,          0,      0.000,      1.400,            0,            0,          0
2   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.21894,	   1.38107,	  -1.50608
3   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.14277,	   1.31591,	  -1.55398
4   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   1.56046,	  -1.87006,	  -1.54252
5   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.29210,	  -1.82350,	  -1.49915
6   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.21894,	   1.38107,	  -1.50608
7   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.21724,	   1.45533,	   7.77358
8   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.13102,	   1.39034,	   7.72752
9   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.11238,	  -1.87536,	   7.70720
10   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.29210,	  -1.82350,	   7.75367
11   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.21724,	   1.45533,	   7.77358
12   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.14277,	   1.31591,	  -1.55398
13   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.21894,	   1.38107,	  -1.50608
14   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,  -3.21724,	   1.45533,	   7.77358
15   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.13102,	   1.39034,	   7.72752
16   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.91744,	   1.36857,	   6.19496
17   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.87707,	   1.31962,	   0.01763
18   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.60636,	   1.31395,	  -1.09914
19   ,  236 06 23 ,  119 35 54,      2.876,      0.000,      0.000,   2.14277,	   1.31591,	  -1.55398
