     -3218.9378,	       1381.0695,	      -1506.0827 ; 		 //plane 0 point @1 
      2142.7729,	       1315.9077,	      -1553.9752 ; 		 //plane 0 point @2 
      1560.4573,	      -1870.0647,	      -1542.5186 ; 		 //plane 0 point @3 
     -3292.1034,	      -1823.5020,	      -1499.1497 ; 		 //plane 0 point @4 
     -3218.9378,	       1381.0695,	      -1506.0827 ; 		 //plane 0 point @5 
     -3217.2424,	       1455.3269,	       7773.5828 ; 		 //plane 1 point @6 
      2131.0180,	       1390.3422,	       7727.5178 ; 		 //plane 1 point @7 
      2112.3821,	      -1875.3607,	       7707.2039 ; 		 //plane 1 point @8 
     -3292.1034,	      -1823.5020,	       7753.6666 ; 		 //plane 1 point @9 
     -3217.2424,	       1455.3269,	       7773.5828 ; 		 //plane 1 point @10 
      2142.7729,	       1315.9077,	      -1553.9752 ; 		 //plane 2 point @11 
     -3218.9378,	       1381.0695,	      -1506.0827 ; 		 //plane 2 point @12 
     -3217.2424,	       1455.3269,	       7773.5828 ; 		 //plane 2 point @13 
      2131.0180,	       1390.3422,	       7727.5178 ; 		 //plane 2 point @14 
      2917.4450,	       1368.5737,	       6194.9595 ; 		 //plane 2 point @15 
      2877.0738,	       1319.6158,	         17.6275 ; 		 //plane 2 point @16 
      2606.3554,	       1313.9475,	      -1099.1352 ; 		 //plane 2 point @17 
      2142.7729,	       1315.9077,	      -1553.9752 ; 		 //plane 2 point @18 
     -3218.9378,	       1381.0695,	      -1506.0827 ; 		 //plane 3 point @19 
     -3292.1034,	      -1823.5020,	      -1499.1497 ; 		 //plane 3 point @20 
     -3292.1034,	      -1823.5020,	       7753.6666 ; 		 //plane 3 point @21 
     -3217.2424,	       1455.3269,	       7773.5828 ; 		 //plane 3 point @22 
     -3218.9378,	       1381.0695,	      -1506.0827 ; 		 //plane 3 point @23 
      1560.4573,	      -1870.0647,	      -1542.5186 ; 		 //plane 4 point @24 
     -3292.1034,	      -1823.5020,	      -1499.1497 ; 		 //plane 4 point @25 
     -3292.1034,	      -1823.5020,	       7753.6666 ; 		 //plane 4 point @26 
      2112.3821,	      -1875.3607,	       7707.2039 ; 		 //plane 4 point @27 
      2893.3790,	      -1882.8548,	       6185.4725 ; 		 //plane 4 point @28 
      2859.1543,	      -1882.5264,	        900.9494 ; 		 //plane 4 point @29 
      2488.6215,	      -1878.9709,	       -630.9478 ; 		 //plane 4 point @30 
      1560.4573,	      -1870.0647,	      -1542.5186 ; 		 //plane 4 point @31 
      2142.7729,	       1315.9077,	      -1553.9752 ; 		 //plane 5 point @32 
      1560.4573,	      -1870.0647,	      -1542.5186 ; 		 //plane 5 point @33 
      2488.6215,	      -1878.9709,	       -630.9478 ; 		 //plane 5 point @34 
      2606.3554,	       1313.9475,	      -1099.1352 ; 		 //plane 5 point @35 
      2142.7729,	       1315.9077,	      -1553.9752 ; 		 //plane 5 point @36 
      2606.3554,	       1313.9475,	      -1099.1352 ; 		 //plane 6 point @37 
      2488.6215,	      -1878.9709,	       -630.9478 ; 		 //plane 6 point @38 
      2859.1543,	      -1882.5264,	        900.9494 ; 		 //plane 6 point @39 
      2877.0738,	       1319.6158,	         17.6275 ; 		 //plane 6 point @40 
      2606.3554,	       1313.9475,	      -1099.1352 ; 		 //plane 6 point @41 
      2877.0738,	       1319.6158,	         17.6275 ; 		 //plane 7 point @42 
      2859.1543,	      -1882.5264,	        900.9494 ; 		 //plane 7 point @43 
      2893.3790,	      -1882.8548,	       6185.4725 ; 		 //plane 7 point @44 
      2917.4450,	       1368.5737,	       6194.9595 ; 		 //plane 7 point @45 
      2877.0738,	       1319.6158,	         17.6275 ; 		 //plane 7 point @46 
      2917.4450,	       1368.5737,	       6194.9595 ; 		 //plane 8 point @47 
      2893.3790,	      -1882.8548,	       6185.4725 ; 		 //plane 8 point @48 
      2112.3821,	      -1875.3607,	       7707.2039 ; 		 //plane 8 point @49 
      2131.0180,	       1390.3422,	       7727.5178 ; 		 //plane 8 point @50 
      2917.4450,	       1368.5737,	       6194.9595 ; 		 //plane 8 point @51 
