The data.txt and guide.txt are CORRECT. 
All planes of the figure were successfully generated. 
The figure were rotated to anpha = beta = 0. 
All segments belong the Figure were identified SUCCESSFULLY. 
All segments belong the Figure were identified SUCCESSFULLY. 
Position      Area(m2)          Volume(m3)
   -47      -1553        0.014972             0.000007 
   -46      -1552        0.061422             0.000046 
   -45      -1551        0.139358             0.000146 
   -44      -1550        0.248781             0.000340 
   -43      -1549        0.389690             0.000659 
   -42      -1548        0.562087             0.001135 
   -41      -1547        0.765970             0.001799 
   -40      -1546        1.001340             0.002683 
   -39      -1545        1.268197             0.003818 
   -38      -1544        1.566541             0.005235 
   -37      -1543        1.896371             0.006967 
   -36      -1542        2.253459             0.009041 
   -35      -1541        2.614224             0.011475 
   -34      -1540        2.975023             0.014270 
   -33      -1539        3.335854             0.017425 
   -32      -1538        3.696718             0.020942 
   -31      -1537        4.057615             0.024819 
   -30      -1536        4.418545             0.029057 
   -29      -1535        4.779508             0.033656 
   -28      -1534        5.140504             0.038616 
   -27      -1533        5.501533             0.043937 
   -26      -1532        5.862595             0.049619 
   -25      -1531        6.223690             0.055662 
   -24      -1530        6.584817             0.062066 
   -23      -1529        6.945978             0.068832 
   -22      -1528        7.307172             0.075958 
   -21      -1527        7.668398             0.083446 
   -20      -1526        8.029658             0.091295 
   -19      -1525        8.390950             0.099505 
   -18      -1524        8.752276             0.108077 
   -17      -1523        9.113634             0.117010 
   -16      -1522        9.475025             0.126304 
   -15      -1521        9.836450             0.135960 
   -14      -1520       10.197907             0.145977 
   -13      -1519       10.559397             0.156356 
   -12      -1518       10.920920             0.167096 
   -11      -1517       11.282476             0.178198 
   -10      -1516       11.644065             0.189661 
    -9      -1515       12.005687             0.201486 
    -8      -1514       12.367342             0.213672 
    -7      -1513       12.729030             0.226221 
    -6      -1512       13.090751             0.239131 
    -5      -1511       13.452505             0.252402 
    -4      -1510       13.814291             0.266036 
    -3      -1509       14.176111             0.280031 
    -2      -1508       14.537964             0.294388 
    -1      -1507       14.899849             0.309107 
     0      -1506       15.261591             0.324187 
     1      -1505       15.593380             0.339615 
     2      -1504       15.873441             0.355348 
     3      -1503       16.101772             0.371336 
     4      -1502       16.278374             0.387526 
     5      -1501       16.403247             0.403867 
     6      -1500       16.476390             0.420307 
     7      -1499       16.498384             0.436794 
     8      -1498       16.501677             0.453294 
     9      -1497       16.504970             0.469797 
    10      -1496       16.508264             0.486304 
    11      -1495       16.511557             0.502814 
    12      -1494       16.514850             0.519327 
    13      -1493       16.518144             0.535844 
    14      -1492       16.521437             0.552363 
    15      -1491       16.524731             0.568886 
    16      -1490       16.528024             0.585413 
    17      -1489       16.531318             0.601943 
    18      -1488       16.534611             0.618476 
    19      -1487       16.537905             0.635012 
    20      -1486       16.541198             0.651551 
    21      -1485       16.544492             0.668094 
    22      -1484       16.547785             0.684640 
    23      -1483       16.551079             0.701190 
    24      -1482       16.554372             0.717742 
    25      -1481       16.557666             0.734298 
    26      -1480       16.560959             0.750858 
    27      -1479       16.564253             0.767420 
    28      -1478       16.567547             0.783986 
    29      -1477       16.570840             0.800555 
    30      -1476       16.574134             0.817128 
    31      -1475       16.577427             0.833704 
    32      -1474       16.580721             0.850283 
    33      -1473       16.584015             0.866865 
    34      -1472       16.587309             0.883451 
    35      -1471       16.590602             0.900040 
    36      -1470       16.593896             0.916632 
    37      -1469       16.597190             0.933228 
    38      -1468       16.600483             0.949826 
    39      -1467       16.603777             0.966429 
    40      -1466       16.607071             0.983034 
    41      -1465       16.610365             0.999643 
    42      -1464       16.613659             1.016255 
    43      -1463       16.616952             1.032870 
    44      -1462       16.620246             1.049489 
    45      -1461       16.623540             1.066111 
    46      -1460       16.626834             1.082736 
    47      -1459       16.630128             1.099364 
    48      -1458       16.633422             1.115996 
    49      -1457       16.636716             1.132631 
    50      -1456       16.640009             1.149269 
    51      -1455       16.643303             1.165911 
    52      -1454       16.646597             1.182556 
    53      -1453       16.649891             1.199204 
    54      -1452       16.653185             1.215856 
    55      -1451       16.656479             1.232511 
    56      -1450       16.659773             1.249169 
    57      -1449       16.663067             1.265830 
    58      -1448       16.666361             1.282495 
    59      -1447       16.669655             1.299163 
    60      -1446       16.672949             1.315834 
    61      -1445       16.676243             1.332509 
    62      -1444       16.679537             1.349187 
    63      -1443       16.682832             1.365868 
    64      -1442       16.686126             1.382552 
    65      -1441       16.689420             1.399240 
    66      -1440       16.692714             1.415931 
    67      -1439       16.696008             1.432626 
    68      -1438       16.699302             1.449323 
    69      -1437       16.702596             1.466024 
    70      -1436       16.705891             1.482728 
    71      -1435       16.709185             1.499436 
    72      -1434       16.712479             1.516147 
    73      -1433       16.715773             1.532861 
    74      -1432       16.719067             1.549578 
    75      -1431       16.722362             1.566299 
    76      -1430       16.725656             1.583023 
    77      -1429       16.728950             1.599750 
    78      -1428       16.732245             1.616481 
    79      -1427       16.735539             1.633215 
    80      -1426       16.738833             1.649952 
    81      -1425       16.742127             1.666692 
    82      -1424       16.745422             1.683436 
    83      -1423       16.748716             1.700183 
    84      -1422       16.752011             1.716934 
    85      -1421       16.755305             1.733687 
    86      -1420       16.758599             1.750444 
